"row.ID","row.m.z","row.retention.time","S41_pos.mzML","S42_pos.mzML","S43_pos.mzML","S46_pos.mzML","S21_pos.mzML","S22_pos.mzML","S23_pos.mzML","S24_pos.mzML","S26_pos.mzML","S27_pos.mzML","S28_pos.mzML","S29_pos.mzML","S30_pos.mzML","S31_pos.mzML","S32_pos.mzML","S34_pos.mzML","S35_pos.mzML","S36_pos.mzML","S37_pos.mzML","S38_pos.mzML","S39_pos.mzML","S40_pos.mzML","S01_pos.mzML","S02_pos.mzML","S03_pos.mzML","S04_pos.mzML","S05_pos.mzML","S06_pos.mzML","S07_pos.mzML","S08_pos.mzML","S09_pos.mzML","S10_pos.mzML","S11_pos.mzML","S12_pos.mzML","S13_pos.mzML","S14_pos.mzML","S15_pos.mzML","S16_pos.mzML","S17_pos.mzML","S18_pos.mzML","S19_pos.mzML","S20_pos.mzML"
9492,61.0078772969186,17.037668,219566.36,227601,218672.38,201262.7,228139.62,240373.36,215843.78,218690.23,237898.05,201476.6,221274.47,214470.4,218458.58,231239.38,185085.72,222925.69,242562.12,216155.83,207324.4,219542.5,214837.73,207746.75,230325.66,211453.7,198622.1,191055.95,217589.03,221748.27,208908.33,215122.67,184671.52,206179.66,176046.84,212319.38,211414.53,198210.22,214379.6,210755.39,207927.64,188083.42,219691.28,199975.73
8838,64.0165044567696,16.960972,14015866,14458641,8558763,12657584,11708670,14123902,13298154,18038740,9586324,12845794,13243043,12727573,13283915,12250208,15609064,10442261,13455403,13548603,12902435,14943867,9307371,13126637,12421171,11780891,15980240,17395214,13747083,13354659,13655037,11613466,11933933,11710389,12856770,11509433,13141078,11814352,15450506,12714186,13645420,13649126,12299553,12046724
8651,64.0165094873065,16.596018,3614324,4761890.5,1250985.2,1617202.5,2487054.5,562583.9,2209891.8,465957.62,3573437.2,3817976.2,2468370.8,1491103.6,1020826.75,803251.75,629747.56,1004241.25,428483.53,213465.97,1638608.9,1020764.1,388631.62,1890663.8,397583.34,2916307.5,687017.44,1292102.9,188481.6,1235698.8,6031958,2486736.5,598905.75,207647.31,1258340.5,526273.9,2781179.2,3389404.2,1616207.8,3495946.8,634414.3,2040065.2,3083659.5,620042.9
8752,64.016509297886,16.772211,347645.12,1661941.1,831861.6,704868.06,860941.3,374663.2,1780592.5,640653.7,763001.4,1180659.5,383675.06,1862782,1431886.5,328494.8,373086,778055.3,595034,1727014.8,689125.06,544737.25,1204984.6,225616.88,1484202.8,1193403.4,624486.2,948888,463215.22,1369399.8,613441.44,1372492.1,1068852.6,2168119.5,1478283.2,3204167,1242758.1,857282.44,809069.06,764985.4,882936.44,238892.81,1974236.8,919014.3
8316,64.0165115846978,16.369516,1962473.5,379941.03,806435.94,260779.06,871525.94,983019.94,1585106.4,1131038.6,2402780.5,2050701.9,435751.4,1583740.2,325065.12,527733.44,3110775.8,1084582.4,341074.53,178286.28,799608.06,500287.5,208981.9,910451,794411,714018.9,1313914.6,2066833.4,1294171,556973.7,1365687.1,2491895.5,226711.25,3004626.2,2559100,320609.78,931881.7,1005427.8,688490.25,545418.6,180385.06,532070.75,407521.88,353290.06
7641,64.016511056888,15.754411,1082205.6,473756.62,314198.9,1780689.6,1111489.5,1358643.6,3705625.8,2860225.2,1503444,1175759.9,991854.4,197872.4,1687892.9,758520,1370749,2032919.5,1163649.2,209504.75,1450760.1,786451.5,1427770.6,1312852,2179942.5,973693.44,1049570.5,421263.6,2408942.5,981301.5,1575971.1,2086564.9,600021.25,2420685.2,1920490.2,1539525,1112347.4,1636983.9,608252.8,978110.94,406136.7,417400.1,897552.94,1003427.5
8009,64.0165158549608,16.09447,489155.94,1872919.5,211131.08,805194.4,698880.75,326093.4,289270.03,726631.25,251171.45,759687.7,265328.6,256758.4,258108.31,365544.47,2040321.8,381691.53,322637.97,169311.03,410738.75,140505.75,170956.52,2985237,436927.03,255881.89,389458.56,205991.94,337149.25,256497.69,138557.62,382510.34,201256.11,540136.7,636387.2,286063.53,214711.22,155369.38,889374.56,511665.28,288240.16,714971.2,455102.75,725878.56
6115,67.0549207338053,15.0014105,96909.9,98922.88,98250.516,116176.25,100285.1,92430.99,107239.74,108494.805,106470.96,94706.336,94861.58,103721.805,111010.195,102021.586,109462.875,99870.51,95900.54,109153.85,109498.71,87851.07,83171.266,86008.15,91154.35,99286.97,91608.57,102963.12,108820.97,123201.44,99023.805,106149.53,76718.484,110927.664,102983.35,97163.26,105078.15,93167.02,122894.17,113569.414,115347.44,105683.38,74159.06,106312.086
8994,69.0454065011122,16.93597,209556.52,178278.8,182726.53,184680.61,178268.9,155973.64,165605.12,140374.8,163686.28,148774.38,191487.48,175717.23,185596.58,202113.48,140709.42,157656.75,273490.47,217155.7,146132.86,200022.9,134556.52,183332.58,208358.58,127996.8,163907.84,162759.56,180674.98,165198.4,124236.734,155416.64,105258.62,177249.22,181053.55,168452.3,195561.44,127767.27,212455.61,172273.02,228698.97,137824.39,247581.11,218047.44
9331,69.9941496870416,17.029404,166248.48,164195.56,169938.8,164681.78,182970.45,181396,183589.48,175786.58,183223.14,167482.78,177067.44,162797.19,169538.97,170797.9,174267.31,185678.69,154444.1,159366.16,160541.7,167563.75,165143.31,162827.67,166087.17,158911.92,162797.77,160851.05,166105.36,164446.03,170882.83,170556.72,163693.5,170745.8,148953.48,168006.89,172270.25,158545.75,171370.61,174859.45,160939.86,154464.22,159653.33,152829.55
