row ID,row m/z,row retention time,Blank_neg.mzML Peak area,S01_neg.mzML Peak area,S02_neg.mzML Peak area,S03_neg.mzML Peak area,S04_neg.mzML Peak area,S05_neg.mzML Peak area,S06_neg.mzML Peak area,S07_neg.mzML Peak area,S08_neg.mzML Peak area,S09_neg.mzML Peak area,S10_neg.mzML Peak area,S11_neg.mzML Peak area,S12_neg.mzML Peak area,S13_neg.mzML Peak area,S14_neg.mzML Peak area,S15_neg.mzML Peak area,S16_neg.mzML Peak area,S17_neg.mzML Peak area,S18_neg.mzML Peak area,S19_neg.mzML Peak area,S20_neg.mzML Peak area,S21_neg.mzML Peak area,S22_neg.mzML Peak area,S23_neg.mzML Peak area,S24_neg.mzML Peak area,S25_neg.mzML Peak area,S26_neg.mzML Peak area,S27_neg.mzML Peak area,S28_neg.mzML Peak area,S29_neg.mzML Peak area,S30_neg.mzML Peak area,S31_neg.mzML Peak area,S32_neg.mzML Peak area,S34_neg.mzML Peak area,S35_neg.mzML Peak area,S36_neg.mzML Peak area,S37_neg.mzML Peak area,S38_neg.mzML Peak area,S39_neg.mzML Peak area,S40_neg.mzML Peak area,S41_neg.mzML Peak area,S42_neg.mzML Peak area,S43_neg.mzML Peak area,S44_neg.mzML Peak area,S45_neg.mzML Peak area,S46_neg.mzML Peak area,S47_neg.mzML Peak area,S48_neg.mzML Peak area,S49_neg.mzML Peak area,S50_neg.mzML Peak area,
6205,66.0083072915818,16.726099,311356.94,137087.11,92849.34,33773.42,130227.14,172836.22,385978.4,92784.34,490697.06,105066.96,127700.016,151616.72,151250.19,36957.66,489397.28,111361.69,176731.84,182411.34,53232.684,351891.25,120965.5,248553.5,213901.7,86451.2,268985.03,115313.95,145171.36,172101.2,100032.55,207308.89,207761.81,403876.9,189174.81,248442.02,96526.29,61947.242,238542.25,24208.729,180465.4,85766.695,307947.84,273511.25,77478.71,370259.8,230032.97,245966.66,221287.6,153075.3,53795.35,162268.84,
4034,83.02361715561561,15.898128,1802823.6,855396.75,2674450.0,395220.8,1917056.6,900478.9,1098224.2,599444.9,3046767.0,2379648.8,1049881.2,2169260.8,2219395.8,1592723.9,1637726.6,1472805.1,857429.7,651085.3,2533973.0,2908011.2,4517599.0,1122582.6,3419192.2,782582.75,1966544.8,2010934.4,3518719.2,1673285.6,1184117.5,1864001.0,2199733.2,2052330.0,2012899.2,1890238.2,819447.94,342647.78,1395478.5,808898.25,5597238.0,1559659.8,1891662.5,919926.06,4087472.2,1605646.9,1052232.9,2898916.5,2175726.8,939367.7,352336.6,1054205.8,
3564,83.0236203032718,15.6313,5435700.0,980975.0,345771.34,547549.3,799425.7,3607664.0,1249012.9,744747.8,294819.4,769078.75,523915.53,304484.78,1988220.4,1451771.8,1372865.9,2194094.5,773287.6,1322735.8,810604.75,1343300.8,739464.8,826780.6,1085337.6,1020400.44,487458.44,422319.3,904749.94,821559.8,550415.4,557350.44,404593.66,1876091.0,535920.2,542177.06,3246834.5,2791586.5,1225001.8,4413661.5,291307.5,500648.53,1156590.9,916472.1,265927.6,839063.4,123147.52,374341.34,1317640.5,2556616.5,1182297.4,1568737.4,
6267,83.02362201383865,16.636652,4151024.8,2792843.2,625231.9,1097348.6,412020.8,745938.4,2603976.5,632551.9,2880442.5,1256623.6,1130224.4,398128.34,1628723.6,2255551.2,1343506.2,2797497.2,1855127.8,959053.0,2047271.9,1339402.2,2909880.5,1815518.5,1328455.6,724738.7,242274.14,1451062.4,1977706.0,1601715.9,2843145.0,600557.5,1152551.4,1634331.1,713961.1,770209.06,668280.6,725651.6,1018518.2,2516635.0,672038.1,993190.9,697595.3,448247.8,2045208.0,550286.75,799772.4,1565608.6,782385.5,570635.8,721315.3,681906.75,
3407,83.02362214815932,15.403147,537842.1,291048.8,269967.03,609604.8,92070.16,65444.582,384063.6,551493.6,418251.0,639813.2,497393.56,250956.73,491572.4,318782.7,542382.6,474448.78,232347.83,688511.6,723866.56,871126.2,422069.75,403204.0,694914.94,393657.03,78664.92,1071006.6,535665.6,1227225.0,1213208.9,233522.78,306676.25,330784.44,789594.44,505961.97,580286.6,474136.62,139161.27,160187.22,1183500.0,599749.4,353159.47,458204.97,407349.75,222101.52,533431.7,556288.8,485526.25,293927.6,706769.06,247087.03,
3137,83.02362316893753,15.1884165,809612.8,696694.2,396278.53,208810.78,310799.28,277958.78,362881.84,230225.94,267334.06,146928.45,151920.8,200317.1,197375.4,323000.5,301430.94,167388.67,381206.38,303171.12,165758.08,1582980.4,274704.7,419872.72,190592.33,226300.4,462212.56,164605.89,253033.53,399532.22,183984.16,455992.97,322771.8,297708.3,188737.08,268107.12,375724.53,638721.75,326822.12,420144.47,355751.84,517069.44,67639.92,236117.94,387472.4,266986.06,348626.44,294862.84,191349.34,416101.47,360068.22,229648.31,
5112,83.02362315268805,16.195824,576717.4,1233156.4,282532.66,3913368.0,1938355.9,633605.7,1763594.5,881351.6,1085041.4,1081589.4,1117408.9,1257535.1,1168652.4,879561.2,231015.56,891551.3,1646557.0,2006566.4,2054429.4,4955187.0,136230.06,448542.9,1007116.9,2754757.0,434827.5,1887841.4,1677114.2,1439168.1,526756.25,857520.9,1992015.1,1710317.5,698933.4,618754.7,3747295.0,3660013.5,538582.6,793633.7,4956115.0,1028519.6,190285.72,432519.84,1417625.0,1240549.0,1016949.1,76744.29,606606.9,3994802.5,1960600.0,1311565.2,
5545,83.02362274117215,16.438583,803662.44,1296139.0,1450480.6,111419.164,386410.6,1478816.5,1506056.6,101629.28,714486.3,411949.75,998362.0,797189.6,1445558.8,491884.94,756072.4,529065.4,412342.3,582671.0,225653.6,598752.9,2517786.8,1820005.8,1994212.4,142570.48,1536885.2,411076.4,256147.69,461462.75,81430.28,157700.31,785477.94,2419587.0,252510.02,2385292.5,683659.06,2544720.0,1661406.1,965504.9,263821.2,2138835.5,2387775.8,1820157.2,1352035.2,791851.6,261866.42,2294285.8,717580.2,337658.7,168979.78,1731830.8,
6929,83.02362920129067,16.899805,469353.38,661289.8,132692.27,341006.75,374465.6,607581.1,688439.4,764418.25,832620.94,555029.5,800427.94,761005.1,806367.06,151902.03,407971.28,97228.19,624502.0,396766.03,760620.4,916413.25,756124.9,331144.25,333616.34,491370.06,309494.97,478385.4,459574.78,341103.38,675056.94,513929.06,546967.9,174591.86,689655.06,459560.06,429580.94,392159.38,432348.88,191340.81,357816.66,72825.734,294210.3,109581.14,370529.12,76029.14,592318.94,338533.03,82116.6,450866.62,593050.44,458242.4,
2995,83.02362636414239,14.965072,229213.62,166691.25,187034.77,147288.2,20591.33,129999.37,156136.66,220102.19,184424.12,255082.97,153229.3,140415.47,136632.73,151323.05,162992.75,66464.65,173319.27,268862.8,126830.94,136104.03,146478.4,251991.03,203243.25,70768.555,104779.22,105994.77,150930.39,208525.55,202635.22,101617.94,159987.92,158102.05,39522.04,177991.92,257405.38,443885.56,623015.06,321154.6,248892.6,88940.89,236068.03,153250.84,332600.88,270344.28,214419.88,128344.33,168429.08,203195.48,305772.25,101104.18,
