filename,sample ID,Group,Sample_Type
S41_pos.mzML,41,Healthy,Sample
S42_pos.mzML,42,Healthy,Sample
S43_pos.mzML,43,Healthy,Sample
S44_pos.mzML,44,INGNORE,INGNORE
S45_pos.mzML,45,INGNORE,INGNORE
S46_pos.mzML,46,Healthy,Sample
S47_pos.mzML,47,INGNORE,INGNORE
S48_pos.mzML,48,INGNORE,INGNORE
S49_pos.mzML,49,INGNORE,INGNORE
S50_pos.mzML,50,INGNORE,INGNORE
S21_pos.mzML,21,PR1,Sample
S22_pos.mzML,22,PR1,Sample
S23_pos.mzML,23,PR1,Sample
S24_pos.mzML,24,PR1,Sample
S26_pos.mzML,26,PR1,Sample
S27_pos.mzML,27,PR1,Sample
S28_pos.mzML,28,PR1,Sample
S29_pos.mzML,29,PR1,Sample
S30_pos.mzML,30,PR1,Sample
S31_pos.mzML,31,PR2,Sample
S32_pos.mzML,32,PR2,Sample
S34_pos.mzML,34,PR2,Sample
S35_pos.mzML,35,PR2,Sample
S36_pos.mzML,36,PR2,Sample
S37_pos.mzML,37,PR2,Sample
S38_pos.mzML,38,PR2,Sample
S39_pos.mzML,39,PR2,Sample
S40_pos.mzML,40,PR2,Sample
Blank_pos.mzML,Blank,Blank,Blank
S01_pos.mzML,1,TR1,Sample
S02_pos.mzML,2,TR1,Sample
S03_pos.mzML,3,TR1,Sample
S04_pos.mzML,4,TR1,Sample
S05_pos.mzML,5,TR1,Sample
S06_pos.mzML,6,TR1,Sample
S07_pos.mzML,7,TR1,Sample
S08_pos.mzML,8,TR1,Sample
S09_pos.mzML,9,TR1,Sample
S10_pos.mzML,10,TR1,Sample
S11_pos.mzML,11,TR2,Sample
S12_pos.mzML,12,TR2,Sample
S13_pos.mzML,13,TR2,Sample
S14_pos.mzML,14,TR2,Sample
S15_pos.mzML,15,TR2,Sample
S16_pos.mzML,16,TR2,Sample
S17_pos.mzML,17,TR2,Sample
S18_pos.mzML,18,TR2,Sample
S19_pos.mzML,19,TR2,Sample
S20_pos.mzML,20,TR2,Sample
