"feature","Healthy","TR1","TR2","MeanDecreaseAccuracy","MeanDecreaseGini"
"5288_200.0935_16.07",1.85021033733688,4.31908225509794,2.78569691464256,4.59771245300998,0.460436922004724
"3572_120.0554_15.59",1.00100150250438,1.42499910937583,1.73992085887642,2.42269798161012,0.193561953406071
"5880_325.1842_16.41",0,1.96716908127314,1.90714150170511,2.2858585391551,0.0825750772962847
"6766_191.0567_16.88",0,1.80586049744792,1.41705050316284,2.07835297082584,0.0518330173094879
"5332_227.1046_16.25",1.41705050316284,1.37457856297529,0,2.00171386283868,0.071040129736105
"89_242.9433_0.54",0,1.00100150250438,1.65958391281122,2.0012879881754,0.106239746115597
"90_394.8906_0.55",1.8966081045272,0,0,1.99972599622304,0.0771240828315132
"4224_147.0665_15.9",1.00100150250438,1.00100150250438,1.34406227991274,1.99277761540145,0.0678550227550228
"4922_264.1002_16.13",-0.954867524562422,2.51844024585799,1.43502406027763,1.93293551170639,0.190766920506394
"64_146.9601_0.5",1.34406227991274,1.00100150250438,1.00100150250438,1.92706327349733,0.145457159111958
"73_174.9552_0.52",2.37231066612029,2.17385866681311,-0.688412279319,1.87228799115343,0.184732771786177
"5910_311.1687_16.14",0,1.41705050316284,1.47763531141385,1.83532816696135,0.0403251633986928
"933_129.0181_0.69",1.41705050316284,1.69975302666866,0,1.74468509170976,0.0742958809164692
"6693_133.0508_16.85",-1.00100150250438,1.73727046020804,1.00100150250438,1.73519599273896,0.0536441058941059
"7046_225.0612_16.98",0,0.781345384897492,1.00100150250438,1.71958719068622,0.0425897167847632
"3738_121.0507_15.64",0,0.873826017588386,2.14227651178574,1.70201979392449,0.109443291039885
"6731_163.0616_16.97",0,1.71058924980998,1.40275209380409,1.67770621729712,0.0266307692307692
"2219_329.2334_12.21",0,1.40275209380409,1.34406227991274,1.66911011857018,0.0295116959064328
"6628_252.1002_16.84",0,1.40275209380409,1.63736530665978,1.6259448449559,0.043763702963703
"6899_106.0397_16.89",-1.00100150250438,1.00100150250438,1.65958391281122,1.60333128857869,0.0525409978909979
"4658_265.1479_16.07",1.00100150250438,1.00100150250438,1.38942503594182,1.58914967422461,0.0400171717171717
"5697_170.0463_16.4",1.00100150250438,1.40275209380409,1.34406227991274,1.559204385071,0.0888343852913512
"7175_471.1146_17.06",-1.00100150250438,1.48284066559631,1.26693979201741,1.44604589993471,0.107278912728139
"4100_163.0616_15.73",1.00100150250438,0,1.00100150250438,1.41705050316284,0.0654928220901905
"5371_353.2004_16.33",0,1.00100150250438,1.38942503594182,1.41705050316284,0.0115526315789474
"3476_223.0733_15.48",0,1.34406227991274,0,1.415440166742,0.0212190476190476
"2456_309.0745_13.56",1.00100150250438,0,1.00100150250438,1.415440166742,0.0118102240896359
"3805_130.0399_15.68",0,1.71058924980998,-1.00100150250438,1.41459540782567,0.0216832442067736
"5838_130.0399_16.45",0,1.00100150250438,1.00100150250438,1.41459540782567,0.00933333333333333
"4459_211.0732_16.07",0,1.00100150250438,1.00100150250438,1.41459540782567,0.02305
"6883_90.0083_16.79",0,1.00100150250438,1.00100150250438,1.41285987182396,0.0159487257840199
"5112_83.0236_16.2",0,1.41705050316284,0,1.40998991860812,0.0381787878787879
"5776_107.035_16.48",1.00100150250438,0,1.00100150250438,1.40998991860812,0.0255395382395382
"2957_131.0352_14.93",0,1.00100150250438,1.00100150250438,1.40998991860812,0.028190289449113
"3696_186.0777_15.6",0,1.00100150250438,1.28959193642382,1.40606442787545,0.0234595238095238
"6686_157.051_16.69",1.00100150250438,-1.00100150250438,1.38062136715865,1.40275209380409,0.0199873015873016
"6429_239.1047_16.7",1.00100150250438,1.00100150250438,0,1.39540341548455,0.0231027874086698
"5429_184.0621_16.34",0,0,1.41705050316284,1.38942503594182,0.0268381618381618
"4975_226.0843_16.13",0,1.00100150250438,1.00100150250438,1.38942503594182,0.016
"121_462.8784_0.55",1.34406227991274,0,1.00100150250438,1.38717144135827,0.076019298245614
"2258_243.16_12.56",1.00100150250438,1.34406227991274,0,1.38458279965625,0.0162888888888889
"3149_136.0505_15.21",0,0,1.41705050316284,1.38317566693416,0.0348540293040293
"2674_345.1092_14.27",-1.00100150250438,1.00100150250438,1.17832947503798,1.37457856297529,0.047604187315952
"5566_141.0196_16.4",0,1.41705050316284,1.00100150250438,1.36692904431769,0.0130909090909091
"5762_196.0622_16.5",1.41705050316284,0,1.00100150250438,1.36232155017094,0.0248
"3285_311.1686_15.36",1.26693979201741,0,0,1.35925207343156,0.0274025210084034
"6317_145.0508_16.67",1.00100150250438,0,1.38942503594182,1.34406227991274,0.0330567765567766
"3704_387.1562_15.59",0,1.38942503594182,1.00100150250438,1.28959193642382,0.0258614035087719
"4286_117.0194_16",0,1.35925207343156,0.912080181998984,1.23623031893013,0.0575492618492619
"5283_107.035_16.29",1.00100150250438,-1.00100150250438,1.72300386905937,1.17110266986506,0.0869739879487558
"99_310.9309_0.56",1.63736530665978,0.343037530015732,-0.356280466065889,1.16949901546745,0.176545263508421
"6133_131.0351_16.69",-1.00100150250438,1.40834895880057,1.00100150250438,1.12553697750883,0.0515372598162072
"6596_198.0778_16.68",0,-0.585406251914576,1.70266414755955,1.05697096139949,0.0321380952380952
"3931_118.0398_15.87",-0.632708666137081,0.691218551891324,1.12867805763399,1.02465940083047,0.130126129134024
"4251_213.0888_15.82",1.00100150250438,1.09452520692097,0,1.01522507538771,0.0412188034188034
"4142_117.0194_15.81",0,1.00100150250438,0,1.00100150250438,0.0163196803196803
"6534_121.0507_16.61",-1.00100150250438,0,1.00100150250438,1.00100150250438,0.0145191409897292
"6599_141.0196_16.64",0,1.00100150250438,0,1.00100150250438,0.016021978021978
"5710_145.0508_16.38",0,1.00100150250438,0,1.00100150250438,0.0425413116123642
"4102_223.0733_15.78",0,1.00100150250438,0,1.00100150250438,0.0035
"6080_223.0733_16.53",0,1.00100150250438,0,1.00100150250438,0.0167333333333333
"2341_329.2334_12.97",0,1.00100150250438,0,1.00100150250438,0.00842857142857143
"4034_83.0236_15.9",0,0,1.00100150250438,1.00100150250438,0.0129669762641899
"3617_90.0083_15.66",0,1.00100150250438,0,1.00100150250438,0.00342857142857143
"2904_106.0397_14.86",0,0,1.00100150250438,1.00100150250438,0.00333333333333333
"5242_110.0346_16.27",0,0,1.00100150250438,1.00100150250438,0.0381333333333333
"3416_110.0347_15.43",0,0,1.00100150250438,1.00100150250438,0.02855
"6240_117.0194_16.63",0,1.00100150250438,0,1.00100150250438,0.0071025641025641
"5696_120.0191_16.41",0,0,1.00100150250438,1.00100150250438,0.0103030303030303
