"feature","Healthy","TR1","TR2","MeanDecreaseAccuracy","MeanDecreaseGini"
"9208_190.4892_17.02",0,0,2.65204950016431,2.49394692617897,0.131831653640477
"3729_185.1147_7.69",2.66446832984185,1.41705050316284,1.00100150250438,2.39173555088744,0.147949643717136
"3571_547.332_7",2.24733287487747,1.60420113133121,1.00100150250438,2.31856502646859,0.142235520241712
"9027_89.069_16.96",-1.34406227991274,1.80582630473033,0.817041456918251,2.21145531265969,0.146769560504855
"6970_399.3075_15.59",1.41705050316284,1.12281614111005,1.72842140580061,2.09964850725648,0.1038
"1827_132.0655_0.65",1.73727046020804,1.99436331561544,-0.290045344077152,2.07878669134514,0.139184183996258
"5820_399.2714_14.85",1.67131567616219,1.29996262661172,1.99962043856541,2.05250494636831,0.0820157231657232
"3572_564.3585_7.01",2.00804832225625,-0.277371435197549,2.05496616767895,2.02482564530133,0.142963544556579
"7429_130.159_15.66",1.38942503594182,0,1.41705050316284,2.00583404759031,0.0414944444444444
"6120_232.1693_15",0.817041456918251,1.98212491753243,1.76281598554168,1.98043909944553,0.114257936507937
"4770_244.2268_13.62",1.00100150250438,1.9956684335841,1.72842140580061,1.95155839566962,0.0846357142857143
"9204_173.0671_17.02",-1.00100150250438,1.94881009766875,1.63679426555161,1.95100583342755,0.056706666175242
"6093_127.1118_15",2.00804832225625,1.00100150250438,0,1.95074485255521,0.0320764411027569
"6096_132.0807_14.91",1.9042342233658,1.00100150250438,0,1.89587227978952,0.105424371758273
"3233_116.1072_5.26",1.34406227991274,1.26693979201741,1.41705050316284,1.89250373537836,0.0534930735930736
"6090_152.1069_14.89",1.00100150250438,1.41705050316284,1.63593971248684,1.87764485948875,0.0739141025641026
"7656_170.1174_15.69",1.41705050316284,1.73048326707831,1.98770612744662,1.87088675996989,0.0689315782256959
"3678_652.4106_7.48",1.67131567616219,1.41705050316284,0,1.86509497747188,0.0627394591304808
"655_97.0288_0.5",1.57532347087875,1.57532347087875,-1.00100150250438,1.85912391379688,0.0662841991341991
"6117_114.0915_14.9",1.67131567616219,0.817041456918251,1.41705050316284,1.78780742628968,0.0531293297345929
"3728_107.0706_7.69",1.67131567616219,0,0,1.73556617742716,0.0854383458646616
"9346_112.0181_17.03",0,1.37457856297529,1.00100150250438,1.73141574945718,0.095253697283109
"4657_300.2892_13.27",1.41705050316284,0,1.00100150250438,1.72556799401829,0.0431891330891331
"6102_111.0807_14.9",0,1.00100150250438,1.41705050316284,1.7252612186663,0.0499837852206273
"2069_202.1071_0.69",1.41705050316284,0,1.00100150250438,1.71693248262297,0.0529217194570136
"3726_142.07_7.69",1.73727046020804,0,1.41705050316284,1.71459504531897,0.0533053822338652
"2297_172.977_0.79",1.00100150250438,1.00100150250438,1.40275209380409,1.70163194268022,0.0686324929971989
"8967_217.1044_16.88",1.26693979201741,1.17832947503798,0,1.66761262070533,0.0273280748663102
"3426_476.306_6.44",1.41705050316284,1.40834895880057,0,1.6636153460499,0.0816965811965812
"6105_118.0653_14.9",1.00100150250438,0,1.72842140580061,1.63736530665978,0.0493294117647059
"3526_525.2877_6.73",1.63736530665978,1.53110198069386,0.0526317247418217,1.62906998239233,0.114458995579584
"8485_603.9165_16.49",0,1.72842140580061,1.00100150250438,1.62224508584611,0.0286275019098549
"3281_388.2536_5.56",0,1.40275209380409,1.38942503594182,1.62038773572979,0.103122172272172
"9260_103.0506_17.03",0,1.72005229038445,0.937408460674488,1.59243528103053,0.0608459996144207
"3730_163.1328_7.69",1.73727046020804,0,1.00100150250438,1.58013792551274,0.0407777777777778
"5462_484.3838_14.45",0,1.72702014086136,1.00100150250438,1.54764436363398,0.0344
"6114_97.1016_15",0,1.27205462828696,1.70266414755955,1.50634919164031,0.110702549084902
"4124_227.125_11.28",2.29230197460211,-2.06457456082453,2.29823408687561,1.50167163606094,0.245140915225126
"868_88.0237_0.5",1.34406227991274,1.00100150250438,-1.00100150250438,1.41705050316284,0.0797789778848602
"988_110.0579_0.59",1.00100150250438,0,1.00100150250438,1.41705050316284,0.0373555555555555
"9737_155.9905_17.42",0,0,1.34406227991274,1.41705050316284,0.0470020202020202
"6108_312.2527_14.9",1.00100150250438,1.00100150250438,1.30206927713678,1.41705050316284,0.0352372549019608
"4660_371.3262_13.27",0,1.00100150250438,1.00100150250438,1.41705050316284,0.0122272727272727
"9465_171.0054_17.04",1.00100150250438,0.817041456918251,1.69732465414114,1.41625413490227,0.0456666666666667
"9343_111.0204_17.03",0,0,1.38942503594182,1.415440166742,0.0282685314685315
"6391_340.2841_15.2",1.00100150250438,0,1.00100150250438,1.41459540782567,0.00976666666666667
