"feature","Healthy","PR1","MeanDecreaseAccuracy","MeanDecreaseGini"
"73_174.9552_0.52",3.08215900976282,3.07821804248168,3.14719102940961,0.255771428571429
"89_242.9433_0.54",2.91111254869791,2.88200195748041,2.99872293863193,0.151714285714286
"99_310.9309_0.56",2.71384882594477,2.8894695738956,2.74193540977443,0.133571428571429
"5551_183.9335_16.41",1.8966081045272,1.93637769300683,1.9956684335841,0.0698571428571429
"5931_147.0301_16.58",1.8966081045272,1.9715804023779,1.95407605715998,0.0398
"2957_131.0352_14.93",1.63736530665978,1.9085167972476,1.90989776129852,0.0810238095238095
"2738_106.0397_14.48",1.73727046020804,1.73727046020804,1.73727046020804,0.0866857142857143
"10_336.8588_0.04",1.41705050316284,1.69975302666866,1.7252612186663,0.0882795093795094
"132_530.8655_0.56",1.61006778528067,1.40275209380409,1.70743011656623,0.0503549783549784
"64_146.9601_0.5",1.71058924980998,1.63736530665978,1.68656932779622,0.127542857142857
"1793_209.0789_7.98",1.72005229038445,1.59403178247675,1.65958391281122,0.043047619047619
"4121_120.0191_15.99",1.00100150250438,1.13282179098831,1.61487990419686,0.0476904761904762
"3739_145.0508_15.62",1.26693979201741,1.33663038763663,1.51099471303875,0.0766
"4415_147.0302_16.01",1.00100150250438,1.37457856297529,1.41705050316284,0.049
"5696_120.0191_16.41",1.41705050316284,1.00100150250438,1.40275209380409,0.0502047619047619
"933_129.0181_0.69",1.00100150250438,1.41705050316284,1.38062136715865,0.0921379509379509
"4654_184.0621_16.08",1.1523199683309,1.36973450269748,1.30653678057142,0.0667857142857143
"5112_83.0236_16.2",1.00100150250438,1.00100150250438,1.00100150250438,0.0270095238095238
"5545_83.0236_16.44",1.00100150250438,1.00100150250438,1.00100150250438,0.0631428571428571
"6214_104.0241_16.66",1.00100150250438,1.00100150250438,1.00100150250438,0.0334285714285714
"2990_106.0397_15.08",0,1.00100150250438,1.00100150250438,0.00642857142857143
"6899_106.0397_16.89",0,1.00100150250438,1.00100150250438,0.015384126984127
"3041_109.0394_15.12",0,1.00100150250438,1.00100150250438,0.00342857142857143
"5625_109.0394_16.43",0,1.00100150250438,1.00100150250438,0.00633333333333333
"4794_120.0554_16.17",0,1.00100150250438,1.00100150250438,0.0164571428571429
