"feature","Healthy","TR1","MeanDecreaseAccuracy","MeanDecreaseGini"
"89_242.9433_0.54",2.76656071130241,2.86930013044884,2.89998404739061,0.153028571428571
"5288_200.0935_16.07",2.76656071130241,2.74119135954871,2.8135167051271,0.165409523809524
"99_310.9309_0.56",2.36278927480112,2.24434236912142,2.38655414422999,0.112857142857143
"132_530.8655_0.56",2.1932960518294,2.10766723394333,2.15767495544525,0.118393939393939
"73_174.9552_0.52",1.9042342233658,1.99968982286484,1.98956948819236,0.211714285714286
"64_146.9601_0.5",1.9042342233658,1.91939817108553,1.93082866514831,0.0756904761904762
"3267_107.035_15.28",1.41705050316284,1.99031926457252,1.93022859120546,0.0444380952380952
"5545_83.0236_16.44",1.63736530665978,1.75142361026015,1.91705277867896,0.0861454545454545
"121_462.8784_0.55",1.66911011857018,1.88495900889183,1.8591347941951,0.102515873015873
"6902_277.0092_16.89",1.41705050316284,1.70266414755955,1.73125425442964,0.0611238095238095
"7146_338.8591_17.03",0,1.68222465460995,1.73125425442964,0.0294444444444444
"5411_121.0507_16.29",1.63736530665978,1.60420113133121,1.69591939289598,0.0569350649350649
"90_394.8906_0.55",1.63736530665978,1.67131567616219,1.67594568898395,0.0525238095238095
"6905_145.0509_16.89",1.41705050316284,1.71058924980998,1.6736523783343,0.036
"7151_484.7896_17.04",1.34406227991274,1.72842140580061,1.67365237833429,0.0400952380952381
"4286_117.0194_16",1.41705050316284,1.41705050316284,1.41705050316284,0.0759428571428571
"5776_107.035_16.48",1.40275209380409,1.38942503594182,1.39540341548455,0.0851428571428572
"6628_252.1002_16.84",1.34406227991274,1.40275209380409,1.38942503594182,0.0223809523809524
"5328_120.0191_16.21",1.00100150250438,1.41120774204966,1.34406227991274,0.0172380952380952
"2677_221.1542_14.3",1.38942503594182,1.21446541889315,1.31533410441164,0.0297333333333333
"2312_331.2491_12.81",1.0516125038101,1.40275209380409,1.31301812891287,0.0638095238095238
"6929_83.0236_16.9",1.34406227991274,1.00100150250438,1.30206927713678,0.0946666666666667
"5710_145.0508_16.38",1.00100150250438,1.30206927713678,1.26693979201741,0.0734141414141414
"5715_110.0346_16.47",1.34406227991274,1.00100150250438,1.2381387735405,0.0409285714285714
"6267_83.0236_16.64",0,1.00100150250438,1.00100150250438,0.00333333333333333
"3617_90.0083_15.66",1.00100150250438,0,1.00100150250438,0.00363636363636364
"4088_92.024_15.93",0,1.00100150250438,1.00100150250438,0.00363636363636364
"6567_92.024_16.71",0,1.00100150250438,1.00100150250438,0.0370522366522366
"3123_110.0347_15.18",1.00100150250438,0,1.00100150250438,0.003
"6078_122.0347_16.65",1.00100150250438,1.00100150250438,1.00100150250438,0.0233142857142857
"3628_122.0347_15.6",1.00100150250438,1.00100150250438,1.00100150250438,0.0372
"6554_124.014_16.78",0,1.00100150250438,1.00100150250438,0.00333333333333333
"3411_130.0399_15.51",1.00100150250438,0,1.00100150250438,0.00363636363636364
"4862_134.0348_16.17",1.00100150250438,0,1.00100150250438,0.003
"4986_136.0505_16.13",1.00100150250438,1.00100150250438,1.00100150250438,0.0176571428571429
"5566_141.0196_16.4",0,1.00100150250438,1.00100150250438,0.0209350649350649
"5862_144.0557_16.66",0,1.00100150250438,1.00100150250438,0.00964502164502165
"4415_147.0302_16.01",0,1.00100150250438,1.00100150250438,0.0179904761904762
"4224_147.0665_15.9",1.00100150250438,1.00100150250438,1.00100150250438,0.0183636363636364
"3753_147.0665_15.65",0,1.00100150250438,1.00100150250438,0.003
