"feature","Healthy","TR1","MeanDecreaseAccuracy","MeanDecreaseGini"
"3729_185.1147_7.69",3.08215900976282,3.08618590507853,3.15762482503017,0.117064935064935
"6096_132.0807_14.91",2.29230197460211,2.31317376982737,2.32764893547387,0.0851428571428571
"3426_476.306_6.44",2.1932960518294,2.21621323898751,2.22043453607746,0.102285714285714
"3730_163.1328_7.69",2.24733287487747,2.19433037718499,2.21452842349267,0.102571428571429
"3571_547.332_7",2.14793159805948,2.1888423828823,2.19153860844798,0.116571428571429
"9346_112.0181_17.03",2.14793159805948,2.12004437429114,2.17818700614796,0.116571428571429
"3726_142.07_7.69",2.1932960518294,1.83432209561763,2.03941911969738,0.0614285714285714
"9497_102.0377_17.04",1.9042342233658,1.96716908127314,2.00233299831626,0.0451428571428571
"3616_613.3399_7.25",2.00804832225625,1.8634136124667,1.92191420137527,0.0771428571428572
"3728_107.0706_7.69",1.63736530665978,1.71058924980998,1.73727046020804,0.0748
"3572_564.3585_7.01",1.63736530665978,1.71058924980998,1.73727046020804,0.0508571428571429
"9315_140.9854_17.03",1.71058924980998,1.66911011857018,1.73125425442964,0.0637142857142857
"4657_300.2892_13.27",1.34406227991274,1.73727046020804,1.67770621729712,0.0837523809523809
"868_88.0237_0.5",1.67131567616219,1.5357008339997,1.59361982334115,0.0551428571428571
"655_97.0288_0.5",1.73727046020804,1.35313542919689,1.46900393164433,0.0814285714285714
"6751_385.1532_15.37",1.00100150250438,1.34406227991274,1.41705050316284,0.0124285714285714
"3424_459.2793_6.44",1.41705050316284,1.41705050316284,1.41705050316284,0.0219428571428571
"1827_132.0655_0.65",1.34406227991274,1.40275209380409,1.41705050316284,0.0497142857142857
"3509_520.3323_6.73",1.41705050316284,1.41705050316284,1.41705050316284,0.0805714285714286
"7907_226.1798_15.9",1.40275209380409,1.41705050316284,1.41389939741034,0.0188571428571429
"2289_74.0607_0.74",1.41705050316284,1.40834895880057,1.41285987182396,0.0494285714285714
"8967_217.1044_16.88",1.34406227991274,1.41705050316284,1.41120774204966,0.0965714285714286
"3319_432.2799_6.11",1.34406227991274,1.41705050316284,1.41120774204966,0.0387142857142857
"6075_210.1098_14.92",1.41705050316284,1.37457856297529,1.3976941536882,0.0360634920634921
