"feature","PR1","PR2","MeanDecreaseAccuracy","MeanDecreaseGini"
"2457_377.0619_13.56",3.33629543761453,3.14133488713894,3.43604240862004,0.273240838401365
"5296_120.0554_16.36",2.44785838080216,1.9042342233658,2.38283893402786,0.100645272271588
"5880_325.1842_16.41",1.73727046020804,1.9715804023779,2.13843694087631,0.0390041449778292
"3966_161.046_15.73",1.57907338816128,1.9452448253312,2.09514026831097,0.170404230272651
"2651_239.0671_14.2",1.41705050316284,1.41705050316284,1.98749908318499,0.0231923076923077
"6373_159.0666_16.64",1.66911011857018,1.67131567616219,1.96783656910174,0.0619330210724948
"5677_252.1002_16.37",1.87252380311179,1.74312578675213,1.92211323585653,0.165577665609245
"3898_265.1479_15.71",1.43207843374308,1.77840861595146,1.79554943045825,0.079044019138756
"4903_186.1128_16.05",1.72702014086136,1.71058924980998,1.7252612186663,0.0543394675499939
"6932_297.1529_16.92",1.94881009766875,1.54915903222682,1.71471978346096,0.0838213856319119
"6971_116.0241_16.92",-0.0842157893838719,1.94464227070597,1.70121248149761,0.0667041327093959
"6368_171.0667_16.69",1.37457856297529,1.72005229038445,1.69777736652246,0.0508154582259845
"2904_106.0397_14.86",1.59498545743212,1.73727046020804,1.67131567616219,0.0971887819782556
"7163_174.9553_17.04",1.00100150250438,1.53110198069386,1.65657390480643,0.0420535026377132
"3731_110.0346_15.63",0.965639310310675,1.45316367112982,1.63961862764725,0.134659018759019
"2164_229.1442_11.83",1.63736530665978,1.00100150250438,1.5711215775312,0.0096952380952381
"3086_265.1479_15.11",1.41389939741034,1.21446541889315,1.4694282841101,0.15573264221159
"2610_331.0936_14.06",1.00100150250438,1.00100150250438,1.41705050316284,0.0072
"6724_118.0398_16.7",1.24710926351988,1.00100150250438,1.41508404800271,0.0223492822966507
"4322_238.0844_16.01",1.37457856297529,1.38942503594182,1.41285987182396,0.0161978021978022
"2254_209.1542_12.54",1.40275209380409,1.38942503594182,1.41196901362904,0.00974545454545455
"5931_147.0301_16.58",0,1.34406227991274,1.40275209380409,0.0248943769680612
"6599_141.0196_16.64",0,1.30206927713678,1.3976941536882,0.0389324535114009
"6961_461.1592_16.93",1.00100150250438,1.38942503594182,1.37021526937856,0.0248822966507177
"6981_158.0462_16.92",1.00100150250438,1.41705050316284,1.34406227991274,0.0191779448621554
"5728_191.0567_16.39",1.40834895880057,1.00100150250438,1.34406227991274,0.00622222222222222
"2285_528.1487_12.68",1.41120774204966,1.00100150250438,1.31926632682314,0.0245651629072682
"7123_441.0339_17.01",1.34406227991274,1.00100150250438,1.30993429144589,0.0159832658569501
"4133_109.0394_15.84",0.616549872285765,1.70266414755955,1.26881996848753,0.123722475769844
"4705_188.0934_16.04",1.41705050316284,1.00100150250438,1.26693979201741,0.0325032581453634
"6929_83.0236_16.9",1.34406227991274,1.00100150250438,1.26693979201741,0.023922305764411
