"feature","PR1","PR2","MeanDecreaseAccuracy","MeanDecreaseGini"
"3728_107.0706_7.69",2.94422497105136,2.42549832026244,2.82294635971569,0.112025641025641
"5375_204.1381_14.33",2.60658966736418,2.54830433591856,2.80910753922104,0.182633333333333
"3730_163.1328_7.69",2.38362576281703,2.57434106099909,2.56950916590301,0.179955555555556
"2803_98.5124_3.03",2.49914594565722,2.25821465489402,2.46997880911667,0.0966545454545455
"4649_549.079_13.24",2.14227651178574,1.96874807739539,2.33021311728184,0.125205339105339
"9836_182.985_17.43",2.19227911341159,2.12058326058102,2.23633673306927,0.148330846930847
"9456_106.0291_17.04",1.91939817108553,2.094651310341,2.15729241435196,0.0787142857142857
"3726_142.07_7.69",1.77711878107481,2.15349837581048,1.98534962786445,0.166539005439005
"9536_143.0107_17.04",1.62305718048253,1.99031926457252,1.89565562831152,0.0516479076479076
"3729_185.1147_7.69",1.63736530665978,1.96874807739539,1.89250373537836,0.0715888888888889
"7220_136.0215_15.47",1.7909316053173,1.41705050316284,1.81800338664116,0.150466378066378
"9180_220.5381_17.01",1.72005229038445,1.38942503594182,1.67131567616219,0.0676910866910867
"2464_125.071_0.97",1.26693979201741,1.66911011857018,1.66911011857018,0.0606254856254856
"5959_587.3573_14.93",1.38942503594182,1.38942503594182,1.55881296757934,0.0383287157287157
"5392_235.169_14.37",1.51099471303875,1.26693979201741,1.49162998289931,0.0524444444444444
"9886_186.9561_17.38",1.41705050316284,0,1.41705050316284,0.0215919191919192
"9467_167.0126_17.04",1.00100150250438,1.00100150250438,1.41705050316284,0.0251111111111111
"5310_267.1715_14.24",1.40275209380409,0,1.41705050316284,0.0558630924630925
"5290_398.2144_14.13",1.41705050316284,0,1.41705050316284,0.0291
"6478_228.232_15.25",1.00100150250438,1.00100150250438,1.41285987182396,0.0461666666666667
"8917_155.129_16.89",1.40275209380409,0,1.40834895880057,0.0873174603174603
"8623_105.0426_16.64",1.21446541889315,0,1.3976941536882,0.0811064491064491
"9465_171.0054_17.04",1.41705050316284,1.00100150250438,1.39540341548455,0.0143888888888889
"9173_242.0489_17.01",1.38942503594182,1.00100150250438,1.37457856297529,0.0477460317460317
"4524_214.2526_12.81",1.34406227991274,1.00100150250438,1.37021526937856,0.0989920634920635
"5128_315.1949_14.1",1.00100150250438,1.00100150250438,1.36692904431769,0.00666666666666667
"9027_89.069_16.96",1.00100150250438,1.40275209380409,1.31926632682314,0.0206923076923077
"5584_716.4357_14.6",1.34406227991274,1.00100150250438,1.31926632682314,0.0419188034188034
"6088_368.2192_14.89",1.40275209380409,1.00100150250438,1.31533410441164,0.0176414141414141
"5913_81.0705_14.91",1.41705050316284,1.00100150250438,1.30993429144589,0.0484920634920635
"6097_142.1226_15",1.34406227991274,1.00100150250438,1.21446541889315,0.0104358974358974
"5488_262.1289_14.48",0.839772956084863,0.95930481595582,1.21390791175393,0.126446753246753
"7183_595.9191_15.39",1.00100150250438,1.02456038190624,1.14983460298544,0.0427494949494949
"5904_153.0909_14.9",1.00100150250438,1.00100150250438,1.00100150250438,0.0126
"9444_286.9056_17.04",1.00100150250438,1.00100150250438,1.00100150250438,0.0036
"6990_420.2136_15.47",1.00100150250438,1.00100150250438,1.00100150250438,0.0073030303030303
"8651_64.0165_16.6",0,1.00100150250438,1.00100150250438,0.0134444444444444
"8316_64.0165_16.37",0,1.00100150250438,1.00100150250438,0.00622222222222222
"9510_81.5211_17.04",1.00100150250438,0,1.00100150250438,0.00333333333333333
"1554_84.0449_0.64",1.00100150250438,1.00100150250438,1.00100150250438,0.0155301587301587
"6113_93.0703_14.9",1.00100150250438,1.00100150250438,1.00100150250438,0.0134444444444444
"9269_94.5458_17.03",1.00100150250438,1.00100150250438,1.00100150250438,0.0108888888888889
"7103_101.0713_15.5",0,1.00100150250438,1.00100150250438,0.0162974358974359
"5418_101.0713_14.43",1.00100150250438,1.00100150250438,1.00100150250438,0.00693333333333333
"9499_102.5328_17.04",0,1.00100150250438,1.00100150250438,0.0304606060606061
"5894_109.1014_15",0,1.00100150250438,1.00100150250438,0.0143492063492064
"9346_112.0181_17.03",0,1.00100150250438,1.00100150250438,0.0108888888888889
"9342_113.0169_17.03",1.00100150250438,1.00100150250438,1.00100150250438,0.0036
"9126_116.0708_17",1.00100150250438,1.00100150250438,1.00100150250438,0.0428
"9238_120.0256_17.03",1.00100150250438,0,1.00100150250438,0.00355555555555556
"2251_122.0966_0.72",1.00100150250438,0,1.00100150250438,0.0213581973581974
"9503_123.0455_17.04",1.00100150250438,1.00100150250438,1.00100150250438,0.0134444444444444
"7429_130.159_15.66",1.00100150250438,0,1.00100150250438,0.00363636363636364
