"feature","TR1","TR2","MeanDecreaseAccuracy","MeanDecreaseGini"
"5288_200.0935_16.07",3.14269081783294,3.33139534526935,3.63080525198223,0.290935797535798
"5880_325.1842_16.41",1.88805142721398,2.06929293395456,2.51960360389285,0.111055233655234
"6741_159.0666_16.85",1.00100150250438,1.66911011857018,1.9840867719454,0.0409191919191919
"4922_264.1002_16.13",1.69732465414114,1.71351027480322,1.87222032193943,0.10754242979243
"3738_121.0507_15.64",1.25712103157781,1.81433194989159,1.76645930134506,0.149732128982129
"7123_441.0339_17.01",1.57055865400082,1.34406227991274,1.71693248262297,0.0547714795008912
"5566_141.0196_16.4",1.00100150250438,1.51336724400254,1.67594568898395,0.0422791208791209
"6133_131.0351_16.69",1.57532347087875,1.00100150250438,1.63709324845684,0.0351212121212121
"6862_165.0197_16.89",1.40834895880057,1.41705050316284,1.63263917927766,0.0366080808080808
"6693_133.0508_16.85",1.52521068427715,0.713906429172124,1.52860649988727,0.222342483660131
"4659_210.0779_16.07",1.40275209380409,0,1.41705050316284,0.0288974358974359
"2610_331.0936_14.06",1.00100150250438,1.00100150250438,1.41705050316284,0.00533333333333333
"2677_221.1542_14.3",1.40275209380409,0,1.40606442787545,0.0319897435897436
"3114_186.0777_15.18",0,1.40834895880057,1.3976941536882,0.0134025974025974
"5774_198.0778_16.42",1.00100150250438,1.00100150250438,1.39540341548455,0.0195619047619048
"2944_585.3434_14.93",1.38942503594182,1.00100150250438,1.37457856297529,0.034475641025641
"5469_223.0733_16.35",0,1.40275209380409,1.36232155017094,0.0178035742035742
"6148_237.0891_16.67",1.41120774204966,1.00100150250438,1.34406227991274,0.059421978021978
"5318_118.0398_16.29",1.00100150250438,1.41705050316284,1.34406227991274,0.0194
"4536_491.3587_15.98",1.30206927713678,1.00100150250438,1.34406227991274,0.0187833333333333
"5723_159.0666_16.37",1.00100150250438,1.41705050316284,1.30993429144589,0.0520519813519813
"3285_311.1686_15.36",1.34406227991274,1.00100150250438,1.29662538565291,0.0502666666666667
"3549_107.035_15.5",1.40834895880057,1.00100150250438,1.27628264877874,0.0178088235294118
"5816_118.0398_16.45",1.00100150250438,1.41120774204966,1.24481087234148,0.0479004662004662
"4088_92.024_15.93",0.447303065060821,1.53013199632796,1.18539705027519,0.0338622710622711
"6499_158.0462_16.67",1.51311124960369,0.152502116934704,1.14176274291608,0.0672286223580341
"2300_447.1343_12.78",1.34406227991274,0.0229961146517391,1.06858896749591,0.0522
"4100_163.0616_15.73",0.944297255790942,1.27479390329869,1.05748858153009,0.041525863025863
"4658_265.1479_16.07",1.06870851763668,0.898751602307019,1.05316234464355,0.0795367965367965
"3564_83.0236_15.63",1.00100150250438,1.00100150250438,1.00100150250438,0.0032
"4497_90.0083_16.11",0,1.00100150250438,1.00100150250438,0.00888888888888889
"4374_93.008_15.91",0,1.00100150250438,1.00100150250438,0.0166666666666667
"2771_106.0397_14.73",1.00100150250438,0,1.00100150250438,0.006
"3267_107.035_15.28",0,1.00100150250438,1.00100150250438,0.0124666666666667
"6456_108.019_16.65",1.00100150250438,0,1.00100150250438,0.00723636363636364
"4133_109.0394_15.84",1.00100150250438,1.00100150250438,1.00100150250438,0.0130110722610723
"3536_109.0394_15.48",0,1.00100150250438,1.00100150250438,0.0144857142857143
"6212_110.0346_16.67",1.00100150250438,1.00100150250438,1.00100150250438,0.00872727272727273
"4552_116.0241_16.08",1.00100150250438,0,1.00100150250438,0.012984126984127
"4142_117.0194_15.81",1.00100150250438,1.00100150250438,1.00100150250438,0.010647619047619
"3666_120.0191_15.67",1.00100150250438,1.00100150250438,1.00100150250438,0.029615873015873
"4121_120.0191_15.99",0,1.00100150250438,1.00100150250438,0.0293393939393939
"7005_121.0507_16.96",1.00100150250438,0,1.00100150250438,0.00363636363636364
"3382_122.0347_15.43",1.00100150250438,1.00100150250438,1.00100150250438,0.00888888888888889
"4635_128.0341_16.05",0,1.00100150250438,1.00100150250438,0.0219523809523809
"5073_130.0399_16.24",1.00100150250438,1.00100150250438,1.00100150250438,0.0120952380952381
"6624_132.0555_16.85",1.00100150250438,0,1.00100150250438,0.0036
"3443_132.0555_15.42",0,1.00100150250438,1.00100150250438,0.0036
"3756_133.0508_15.65",1.00100150250438,1.00100150250438,1.00100150250438,0.0158571428571429
"5637_133.0508_16.42",1.00100150250438,1.00100150250438,1.00100150250438,0.0177272727272727
"6559_134.0348_16.67",1.00100150250438,1.00100150250438,1.00100150250438,0.0225307692307692
"4086_134.0348_15.94",1.00100150250438,0,1.00100150250438,0.00433333333333333
"3118_134.0348_15.18",0,1.00100150250438,1.00100150250438,0.00355555555555556
"6710_140.0243_16.89",0,1.00100150250438,1.00100150250438,0.0370793650793651
"4024_144.0556_15.76",0,1.00100150250438,1.00100150250438,0.0104727272727273
"2962_145.0509_14.94",1.00100150250438,1.00100150250438,1.00100150250438,0.00872727272727273
"6106_145.9225_16.63",1.00100150250438,1.00100150250438,1.00100150250438,0.0103247863247863
"6834_147.0301_16.76",1.00100150250438,0,1.00100150250438,0.0179247863247863
"6238_147.0665_16.62",0,1.00100150250438,1.00100150250438,0.0036
"3139_148.0506_15.19",1.00100150250438,0,1.00100150250438,0.0126
"7074_148.0506_16.98",1.00100150250438,1.00100150250438,1.00100150250438,0.00872727272727272
"3989_157.051_15.89",1.00100150250438,1.00100150250438,1.00100150250438,0.00685714285714286
"3117_157.051_15.15",1.00100150250438,1.00100150250438,1.00100150250438,0.00942857142857143
"3093_159.0667_15.17",1.00100150250438,0,1.00100150250438,0.00369230769230769
"4842_170.0463_16.08",1.00100150250438,1.00100150250438,1.00100150250438,0.0252549450549451
"6368_171.0667_16.69",1.00100150250438,0,1.00100150250438,0.0110666666666667
"5669_171.0667_16.43",0,1.00100150250438,1.00100150250438,0.0231632867132867
"4504_171.0667_16.07",1.00100150250438,1.00100150250438,1.00100150250438,0.0136042780748663
"3268_172.062_15.45",1.00100150250438,1.00100150250438,1.00100150250438,0.0084
"5704_172.062_16.42",0,1.00100150250438,1.00100150250438,0.0102923076923077
"73_174.9552_0.52",0,1.00100150250438,1.00100150250438,0.00376470588235294
"5551_183.9335_16.41",1.00100150250438,0,1.00100150250438,0.00342857142857143
"6341_184.062_16.67",1.00100150250438,0,1.00100150250438,0.0130307692307692
"4903_186.1128_16.05",1.00100150250438,0,1.00100150250438,0.00559440559440559
"1601_186.1128_6.25",0,1.00100150250438,1.00100150250438,0.00654545454545455
"3736_191.0567_15.91",0,1.00100150250438,1.00100150250438,0.0104727272727273
"5728_191.0567_16.39",0,1.00100150250438,1.00100150250438,0.0134363636363636
"4310_196.0622_16.07",1.00100150250438,1.00100150250438,1.00100150250438,0.0199930735930736
"5323_198.0778_16.17",1.00100150250438,0,1.00100150250438,0.0226095238095238
"4102_223.0733_15.78",1.00100150250438,0,1.00100150250438,0.00855555555555556
"6729_238.0843_16.74",1.00100150250438,1.00100150250438,1.00100150250438,0.0104935064935065
"4322_238.0844_16.01",0,1.00100150250438,1.00100150250438,0.0157762237762238
"2877_249.1495_14.84",0,1.00100150250438,1.00100150250438,0.00376470588235294
"4103_252.1002_15.98",0,1.00100150250438,1.00100150250438,0.00975
"1738_261.1343_7.58",-1.00100150250438,1.40275209380409,1.00100150250438,0.019669696969697
"3898_265.1479_15.71",1.00100150250438,0,1.00100150250438,0.0241692307692308
"2627_265.1479_14.19",0,1.00100150250438,1.00100150250438,0.00363636363636364
"2452_266.1034_13.54",1.00100150250438,0,1.00100150250438,0.00369230769230769
"6902_277.0092_16.89",1.00100150250438,0,1.00100150250438,0.0192333333333333
"2339_293.176_12.95",1.00100150250438,0,1.00100150250438,0.00676923076923077
"6932_297.1529_16.92",1.00100150250438,1.00100150250438,1.00100150250438,0.0349954545454545
"2375_301.0579_13.19",0,1.00100150250438,1.00100150250438,0.0084
"4214_311.1686_15.75",1.00100150250438,1.00100150250438,1.00100150250438,0.0173571095571096
"2119_329.2334_11.46",1.00100150250438,1.00100150250438,1.00100150250438,0.0031025641025641
"7162_336.8589_17.04",1.00100150250438,1.00100150250438,1.00100150250438,0.0376929292929293
"2535_339.1998_13.86",0,1.00100150250438,1.00100150250438,0.00942857142857143
"5371_353.2004_16.33",0,1.00100150250438,1.00100150250438,0.00923076923076923
"7256_377.0856_17.17",1.00100150250438,0,1.00100150250438,0.0131619047619048
"2238_387.2866_12.49",0,1.00100150250438,1.00100150250438,0.00363636363636364
"6909_410.1617_16.9",1.00100150250438,1.00100150250438,1.00100150250438,0.0128
"7099_426.1255_17",1.00100150250438,1.00100150250438,1.00100150250438,0.016
"2168_431.2286_11.88",1.00100150250438,1.00100150250438,1.00100150250438,0.0201714285714286
"2943_648.3386_14.93",1.00100150250438,0,1.00100150250438,0.00266666666666667
"3129_145.0509_15.15",0.979004488736991,0.534675270017429,0.940244508776204,0.0951703518703519
"5931_147.0301_16.58",0.200008000480032,1.40275209380409,0.895542337988707,0.0322380952380952
"7376_190.9278_17.4",0,1.28959193642382,0.782835304063752,0.041450061050061
"6721_120.0191_16.64",-0.447303065060821,1.41705050316284,0.778248712695303,0.0228952380952381
"3931_118.0398_15.87",0.745770424554471,0.585406251914576,0.760185165046757,0.119512665112665
"3086_265.1479_15.11",-0.0877439826198084,1.34406227991274,0.730686546807177,0.0679199310493428
"4249_186.0777_15.84",1.00100150250438,-0.0842157893838719,0.728275327715277,0.0357448717948718
"5429_184.0621_16.34",1.0834369961997,0.200008000480032,0.711101622652889,0.0613443667443667
"5711_158.0462_16.42",1.00100150250438,0.343037530015732,0.691425052225119,0.0353201465201465
"2326_241.1443_12.89",0,0.343037530015732,0.691425052225119,0.0493724386724387
"4190_225.089_15.85",1.34406227991274,0.156177571144113,0.680187928158983,0.0532031746031746
"4286_117.0194_16",0.781345384897492,0.343037530015732,0.640446931723768,0.0522
"4862_134.0348_16.17",-0.156177571144113,1.00100150250438,0.632708666137081,0.0410166666666667
"5659_669.458_16.44",0.156177571144113,1.00100150250438,0.632708666137081,0.0195641025641026
"3372_171.0667_15.5",0.585406251914576,1.00100150250438,0.578686099060607,0.0136787878787879
"2241_315.1813_12.5",0,0.390626324554399,0.57754281555789,0.0336952380952381
"6191_227.1046_16.65",-1.34406227991274,1.31505324815229,0.569987973380641,0.113132767232767
"6628_252.1002_16.84",0.557258983818637,0.585406251914576,0.569743263255696,0.0358153846153846
"2216_305.082_12.24",1.00100150250438,0,0.526297938074085,0.0171656565656566
"3696_186.0777_15.6",0,1.00100150250438,0.525370681277841,0.0395638805638806
"3572_120.0554_15.59",-0.946730179882422,1.5268732687183,0.518900004170536,0.166947807747808
"3419_147.0665_15.44",-0.200008000480032,1.00100150250438,0.515475415815177,0.0472666666666667
"7088_175.0617_16.99",0.343037530015732,1.00100150250438,0.482011822970341,0.0222333333333333
"3145_147.0666_15.21",0.318243223151098,0.557258983818637,0.415299008719826,0.0360080808080808
"2083_242.1759_11.11",0,0.492485368784836,0.400646880707026,0.0231837153043035
"5591_132.0555_16.4",-0.200008000480032,0.68631738948861,0.381369752912315,0.0208714285714286
"3805_130.0399_15.68",1.00100150250438,0,0.372155736591365,0.0148222222222222
"2702_233.1544_14.37",0,0.31803152611957,0.372155736591365,0.0161025641025641
"6899_106.0397_16.89",-0.447303065060821,1.00100150250438,0.343037530015732,0.0292928571428571
"6905_145.0509_16.89",-0.341921696588424,0.557258983818637,0.292811287205044,0.100248196248196
"4986_136.0505_16.13",0,0.343037530015732,0.277371435197549,0.0245904761904762
"6829_134.0348_16.92",0.662556837391603,0.447303065060821,0.262630978825355,0.0565133598427716
"5287_147.0665_16.32",1.00100150250438,-0.277371435197549,0.245784422643061,0.0164593406593407
"7303_117.9274_17.19",1.00100150250438,-1.00100150250438,0.232507845818998,0.0489047619047619
"2251_253.1445_12.54",-1.00100150250438,1.00100150250438,0.200008000480032,0.0117019607843137
"5910_311.1687_16.14",1.00100150250438,-0.200008000480032,0.156177571144113,0.0360500388500389
"2942_621.3204_14.93",0.468624165678062,-0.343037530015732,0.128038978949756,0.0302769230769231
"6790_170.0463_16.72",1.00100150250438,-1.00100150250438,0.0940729193457544,0.0226547619047619
"6839_116.0241_16.65",-0.390626324554399,1.00100150250438,0.0938654779050456,0.0564726450020568
"4689_135.9698_16.08",0.277371435197549,-0.200008000480032,0.0830460525871121,0.00675
"1785_137.0233_7.97",0.614140635474326,-1.41705050316284,0.0450182090928963,0.0905636363636364
"6205_66.0083_16.73",0,0,0,0
"3407_83.0236_15.4",0,0,0,0.0168888888888889
"5112_83.0236_16.2",0,0,0,0.00342857142857143
"6929_83.0236_16.9",0,0,0,0
"2995_83.0236_14.97",0,0,0,0.0139692307692308
"4597_84.0076_16.03",0,0,0,0.0192761904761905
"3617_90.0083_15.66",0,0,0,0
"3812_90.0083_15.86",0,0,0,0.0036
"5358_90.0083_16.34",0,0,0,0.00993650793650794
"3537_92.024_15.56",0,0,0,0
"4458_92.024_16.17",0,0,0,0.0036
"5890_92.024_16.47",0,0,0,0
"6441_99.9244_16.87",0,0,0,0
"2990_106.0397_15.08",0,0,0,0
"3169_106.0397_15.42",0,0,0,0
"6723_106.0397_16.65",0,0,0,0
"4014_106.0397_15.97",0,0,0,0.0063030303030303
"3589_106.0397_15.63",0,0,0,0.00363636363636364
"2904_106.0397_14.86",0,0,0,0.00721428571428572
"4991_106.0397_16.25",0,0,0,0.00266666666666667
"2738_106.0397_14.48",0,0,0,0.00369230769230769
"4929_107.035_16.06",0,0,0,0.00633333333333333
"6517_107.035_16.69",0,0,0,0
"7069_107.035_16.98",0,0,0,0.0122352941176471
"4616_108.019_16.07",0,0,0,0.00654545454545455
"5625_109.0394_16.43",0,0,0,0.00366666666666667
"4188_110.0346_15.96",0,0,0,0
"5242_110.0346_16.27",0,0,0,0.0112666666666667
"6988_112.9843_16.96",0,0,0,0
"4092_116.0241_15.86",0,0,0,0.0156444444444444
"5731_116.0241_16.39",0,0,0,0.00363636363636364
"2938_116.9199_14.92",0,0,0,0.00916767676767677
"5590_117.0194_16.35",0,0,0,0.00676923076923077
"5328_120.0191_16.21",0,0,0,0
"4033_120.0554_15.92",0,0,0,0
"6777_120.0554_16.63",0.200008000480032,0.277371435197549,0,0.0314666666666667
"3125_120.0554_15.18",0,0,0,0.0035
"3130_121.0507_15.19",0,0,0,0.00654545454545455
"3410_121.0507_15.44",0,0,0,0.0130285714285714
"3918_121.0507_15.86",0,0,0,0.0123428571428571
"6078_122.0347_16.65",0,0,0,0.00371428571428572
"3628_122.0347_15.6",0,0,0,0.00342857142857143
"6800_122.0347_16.86",0,0,0,0
"933_129.0181_0.69",0,0,0,0.00366666666666667
"5838_130.0399_16.45",0,0,0,0.003
"6927_131.0351_16.89",0,0,0,0
"3375_131.0351_15.38",0,0,0,0.00921212121212121
"2957_131.0352_14.93",0,0,0,0.00676923076923077
"4275_132.0555_15.86",0,0,0,0
"5891_132.0555_16.62",0,0,0,0
"3823_132.0555_15.68",0,0,0,0.0126358974358974
"3133_132.0555_15.16",0,0,0,0
"4025_133.0508_15.86",0,0,0,0.00371428571428572
"3450_133.0508_15.43",0,0,0,0.017269696969697
"6464_133.9224_16.88",0,0,0,0
"3643_134.0348_15.68",0,0,0,0
"5760_134.0348_16.39",0,0,0,0.0041025641025641
"4777_135.0664_16.08",0,0,0,0
"3149_136.0505_15.21",0,0,0,0
"5937_140.0243_16.58",0,0,0,0
"6599_141.0196_16.64",0,0,0,0
"5044_141.0196_16.29",0,0,0,0
"6507_143.0352_16.67",0,0,0,0.003
"5609_143.0353_16.41",0,0,0,0.0105754901960784
"4107_145.0508_15.97",0,0,0,0
"5710_145.0508_16.38",0,0,0,0
"3739_145.0508_15.62",0,0,0,0.00355555555555556
"4872_145.0508_16.14",0,0,0,0
"3392_145.0509_15.39",-1.00100150250438,1.00100150250438,0,0.0133333333333333
"5563_145.9225_16.43",0,0,0,0
"64_146.9601_0.5",0,0,0,0.006
