"feature","TR1","TR2","MeanDecreaseAccuracy","MeanDecreaseGini"
"9264_115.5572_17.03",2.47424536269968,2.59138993119204,2.60517292895247,0.207530913530913
"5894_109.1014_15",2.14758057446752,1.87319322468516,2.22796283740816,0.123695900178253
"7220_136.0215_15.47",1.97217139432157,2.1518957133585,2.1344891881303,0.108049816849817
"9208_190.4892_17.02",1.67131567616219,1.37457856297529,1.95951049449722,0.0645680097680098
"4124_227.125_11.28",2.22100152573259,0.069843370277156,1.9508853850477,0.124949106449106
"7169_305.1566_15.57",1.51336724400254,1.89151967428218,1.78923115967859,0.108853102453102
"9346_112.0181_17.03",1.40275209380409,1.31533410441164,1.72525898800173,0.082614763014763
"9497_102.0377_17.04",1.41705050316284,1.41705050316284,1.72005229038445,0.0755576923076923
"4770_244.2268_13.62",1.57055865400082,1.73125425442964,1.70213972374095,0.0894298812298812
"6562_468.389_15.3",1.00100150250438,1.66911011857018,1.63736530665978,0.0504525252525252
"6970_399.3075_15.59",1.98212491753243,0.979004488736991,1.62377696074163,0.0941379953379953
"9204_173.0671_17.02",1.66911011857018,1.41705050316284,1.61650676484363,0.0463212121212121
"6997_398.2319_15.47",1.66911011857018,1.41120774204966,1.59361982334115,0.0524880952380952
"9010_150.1124_16.95",1.40275209380409,1.32167404080039,1.57319391847939,0.0496
"8455_623.4517_16.47",1.44867140731108,1.26492841362908,1.51695921010818,0.0988204295704296
"2803_98.5124_3.03",1.11886305992103,1.69975302666866,1.47916477154204,0.0936127872127872
"8992_114.0664_16.94",0,1.40834895880057,1.41705050316284,0.00921212121212121
"6262_270.2787_15.12",1.00100150250438,1.17832947503798,1.41705050316284,0.0207030303030303
"8826_393.2968_16.82",0,1.40834895880057,1.41705050316284,0.0228155844155844
"8593_471.8379_16.58",1.38942503594182,1.40275209380409,1.41705050316284,0.0333333333333333
"5751_614.4466_14.79",1.40834895880057,1.40275209380409,1.41705050316284,0.054
"8363_74.0971_16.35",1.40275209380409,0,1.41389939741034,0.0295904761904762
"6786_756.5522_15.34",1.00100150250438,1.00100150250438,1.41389939741034,0.0132363636363636
"9310_167.9861_17.03",0,1.41705050316284,1.41285987182396,0.0137904761904762
"9203_232.065_17.02",0,1.34406227991274,1.41285987182396,0.0204095238095238
"4385_455.2245_11.98",1.00100150250438,1.40275209380409,1.40834895880057,0.0175333333333333
"9439_160.9834_17.03",1.00100150250438,1.00100150250438,1.40606442787545,0.0206363636363636
"9099_130.0863_16.99",1.41705050316284,1.34406227991274,1.40275209380409,0.0190268398268398
"3193_321.1306_4.87",1.40834895880057,1.00100150250438,1.40275209380409,0.015725641025641
"9481_154.0048_17.04",1.36692904431769,0,1.38942503594182,0.0356611832611833
"3281_388.2536_5.56",0.912080181998984,1.63736530665978,1.38942503594182,0.0552853146853147
"3880_341.2431_8.42",1.00100150250438,1.37457856297529,1.37021526937856,0.0144571428571429
"7307_581.8927_15.44",1.00100150250438,1.41705050316284,1.36692904431769,0.0416439393939394
"9299_95.0442_17.03",1.41120774204966,1.00100150250438,1.36436948635955,0.0146952380952381
"8993_131.1179_16.94",1.00100150250438,1.40275209380409,1.34406227991274,0.0665045177045177
"4654_603.3368_13.27",1.40275209380409,1.00100150250438,1.34406227991274,0.0243192307692308
"9753_172.9562_17.38",1.40275209380409,1.00100150250438,1.31926632682314,0.0149809523809524
"5787_321.166_14.83",1.37457856297529,1.00100150250438,1.31533410441164,0.0253111111111111
"6141_419.276_15.01",1.00100150250438,1.40275209380409,1.28017115862345,0.0117285714285714
"7694_105.0426_15.75",1.41705050316284,0.447303065060821,1.22077430771471,0.0163454545454545
"7656_170.1174_15.69",0.629057000898925,1.51311124960369,1.16168379840212,0.130164801864802
"1827_132.0655_0.65",1.16433058883943,1.07023692029098,1.1182766164029,0.0774525252525252
"3928_533.3402_8.99",0,1.10321719328961,1.06887154929707,0.0751945165945166
