"feature","PR2","TR2","MeanDecreaseAccuracy","MeanDecreaseGini"
"6971_116.0241_16.92",3.32103854886734,3.15022334640167,3.5855787860999,0.285188888888889
"3129_145.0509_15.15",3.29278286588849,3.07849595385036,3.47804563908736,0.26997155534524
"4188_110.0346_15.96",2.82161643801401,3.2637744217698,3.39110856954294,0.219920559557402
"3572_120.0554_15.59",3.18203946294616,3.06704931019632,3.33088133241063,0.188817429938483
"4486_213.0889_16.06",2.57058933231633,2.55431021413545,2.6286641246514,0.104049543439017
"6829_134.0348_16.92",2.18799862421071,2.34268161187223,2.48151245304883,0.146845890951154
"3044_130.0399_15.15",2.13590231998507,2.48333258497134,2.40910698458397,0.171108444187392
"6464_133.9224_16.88",1.75581548160456,1.88818177252232,2.22248481090374,0.162650030671083
"5723_159.0666_16.37",2.05496616767895,2.27342072681803,2.22024346304432,0.135903299624352
"4107_145.0508_15.97",1.84181618949605,2.1667569500872,2.16991650286077,0.131412499780921
"6806_225.089_16.89",1.95680892498054,1.86925865623398,1.99971833073722,0.0945635031635032
"2631_106.0397_14.17",2.20329295049396,0.905275016545724,1.90211576819775,0.0865897763055658
"3093_159.0667_15.17",1.60420113133121,1.94464227070597,1.89250999606338,0.072030643917486
"4888_174.0776_16.06",1.00100150250438,1.69066636031517,1.70265052719347,0.0370169654906497
"4459_211.0732_16.07",1.63593971248684,1.30206927713678,1.70265052719347,0.0548118372855215
"6558_155.0353_16.71",0.502841788752732,1.94326063941941,1.68603738137713,0.127091987544619
"6628_252.1002_16.84",1.38942503594182,1.72842140580061,1.67131567616219,0.0507651506388349
"3676_172.062_15.62",1.67594568898395,1.72005229038445,1.66911011857018,0.0201476126212968
"3705_116.0241_15.63",0.924168828617333,2.21621323898751,1.62015200513306,0.0944430145877514
"5288_200.0935_16.07",1.00100150250438,1.63593971248684,1.51857954095646,0.0685386800334169
"2250_471.1272_12.53",1.51099471303875,1.00100150250438,1.46467048509149,0.0248261562998405
"3285_311.1686_15.36",1.41705050316284,1.41705050316284,1.41705050316284,0.0243454790823212
"6741_159.0666_16.85",0,1.38942503594182,1.40275209380409,0.00988095238095238
"2555_315.254_13.74",0,1.40834895880057,1.40275209380409,0.0213570850202429
"3562_131.0351_15.62",1.00100150250438,1.00100150250438,1.38942503594182,0.0495407107512371
"5520_108.019_16.45",1.00100150250438,1.37457856297529,1.38458279965625,0.0562649818018239
"3738_121.0507_15.64",1.41705050316284,1.30206927713678,1.38062136715865,0.0256019138755981
"2469_286.1085_13.61",1.00100150250438,1.41120774204966,1.38062136715865,0.0193734592892488
"6809_393.1718_16.92",1.00100150250438,1.40834895880057,1.34406227991274,0.00976923076923077
"6788_117.0194_16.85",1.00100150250438,0.128038978949756,1.34406227991274,0.0242526315789474
"2738_106.0397_14.48",1.40275209380409,1.00100150250438,1.31926632682314,0.0408453604874658
"3145_147.0666_15.21",1.80502586389371,0.551845262839284,1.31903948775479,0.190358095705464
"2904_106.0397_14.86",1.00100150250438,1.40275209380409,1.31533410441164,0.0406229419703104
"4025_133.0508_15.86",1.00100150250438,1.37457856297529,1.31533410441164,0.0101079365079365
"3269_92.024_15.33",1.00100150250438,1.00100150250438,1.26693979201741,0.0163929824561404
"4141_158.0462_15.87",1.08995467245257,1.12633652176724,1.26617601032778,0.0897497788760947
"1738_261.1343_7.58",1.00100150250438,1.00100150250438,1.00100150250438,0.0142556390977444
"5358_90.0083_16.34",1.00100150250438,1.00100150250438,1.00100150250438,0.0124019138755981
"6441_99.9244_16.87",1.00100150250438,0,1.00100150250438,0.00566666666666667
"4991_106.0397_16.25",1.00100150250438,0,1.00100150250438,0.0100454545454545
"3549_107.035_15.5",1.00100150250438,1.00100150250438,1.00100150250438,0.0117811802232855
"5715_110.0346_16.47",1.00100150250438,0,1.00100150250438,0.0197460317460317
"6988_112.9843_16.96",1.00100150250438,1.00100150250438,1.00100150250438,0.0114619883040936
"7303_117.9274_17.19",0,1.00100150250438,1.00100150250438,0.0102666666666667
"5318_118.0398_16.29",1.00100150250438,0,1.00100150250438,0.0141133603238866
"4836_121.0507_16.06",0,1.00100150250438,1.00100150250438,0.00355555555555556
"4635_128.0341_16.05",1.00100150250438,0,1.00100150250438,0.0195331738437002
"3756_133.0508_15.65",0,1.00100150250438,1.00100150250438,0.0214736842105263
"3450_133.0508_15.43",0,1.00100150250438,1.00100150250438,0.023529631771737
"3643_134.0348_15.68",0,1.00100150250438,1.00100150250438,0.00387878787878788
"4777_135.0664_16.08",1.00100150250438,0,1.00100150250438,0.00333333333333333
"6599_141.0196_16.64",1.00100150250438,1.00100150250438,1.00100150250438,0.0486185884291148
"6449_145.9225_16.88",1.00100150250438,1.00100150250438,1.00100150250438,0.0421458190931875
"4013_155.0353_15.99",1.00100150250438,0,1.00100150250438,0.0103692307692308
"5017_155.0353_16.23",1.00100150250438,1.00100150250438,1.00100150250438,0.00366666666666667
"4989_161.0823_16.07",1.00100150250438,0,1.00100150250438,0.0121263157894737
"5697_170.0463_16.4",0,1.00100150250438,1.00100150250438,0.00355555555555556
"6461_172.062_16.71",0,1.00100150250438,1.00100150250438,0.00654545454545455
"6340_174.0776_16.71",1.00100150250438,1.00100150250438,1.00100150250438,0.00722222222222222
"73_174.9552_0.52",1.00100150250438,0,1.00100150250438,0.012280701754386
"5429_184.0621_16.34",1.00100150250438,0,1.00100150250438,0.00266666666666667
"4249_186.0777_15.84",1.00100150250438,0,1.00100150250438,0.006
"7141_192.9282_17.03",1.00100150250438,0,1.00100150250438,0.00366666666666667
"4310_196.0622_16.07",1.00100150250438,1.00100150250438,1.00100150250438,0.0312758820127241
"6975_198.0778_16.93",0,1.00100150250438,1.00100150250438,0.0281506388348494
"2254_209.1542_12.54",1.00100150250438,0,1.00100150250438,0.0404955722639933
"6390_211.0732_16.69",1.00100150250438,1.00100150250438,1.00100150250438,0.0204674763832659
"5160_213.0889_16.25",0,1.00100150250438,1.00100150250438,0.0221707602339181
"3503_225.089_15.51",0,1.00100150250438,1.00100150250438,0.00654545454545455
"3921_227.1046_15.72",1.00100150250438,1.00100150250438,1.00100150250438,0.00931746031746031
"6729_238.0843_16.74",0,1.00100150250438,1.00100150250438,0.0137619047619048
"4322_238.0844_16.01",0,1.00100150250438,1.00100150250438,0.00559440559440559
"4864_238.0844_16.12",1.00100150250438,1.00100150250438,1.00100150250438,0.0203147869674185
"2651_239.0671_14.2",0,1.00100150250438,1.00100150250438,0.00676923076923077
"5819_239.1048_16.51",0,1.00100150250438,1.00100150250438,0.0101818181818182
"7078_239.1048_16.98",0,1.00100150250438,1.00100150250438,0.0167247863247863
"2390_239.1287_13.27",1.00100150250438,0,1.00100150250438,0.00369230769230769
"2326_241.1443_12.89",1.00100150250438,1.00100150250438,1.00100150250438,0.0103074162679426
"2083_242.1759_11.11",1.00100150250438,1.00100150250438,1.00100150250438,0.0153272727272727
"4103_252.1002_15.98",1.00100150250438,1.00100150250438,1.00100150250438,0.0295609793715057
"6524_265.1479_16.91",0,1.00100150250438,1.00100150250438,0.0121263157894737
"2333_269.1218_12.94",0,1.00100150250438,1.00100150250438,0.00355555555555556
"2430_271.1915_13.43",1.00100150250438,0,1.00100150250438,0.0036
"6856_275.0113_16.89",1.00100150250438,1.00100150250438,1.00100150250438,0.0193762237762238
"2603_277.1445_14.04",0,1.00100150250438,1.00100150250438,0.00622222222222222
"2339_293.176_12.95",0,1.00100150250438,1.00100150250438,0.0140793650793651
"6065_293.1793_16.6",1.00100150250438,1.00100150250438,1.00100150250438,0.0151428571428571
"2216_305.082_12.24",1.00100150250438,1.00100150250438,1.00100150250438,0.00669230769230769
"4305_309.1741_16.04",1.00100150250438,1.00100150250438,1.00100150250438,0.0064
"5910_311.1687_16.14",0,1.00100150250438,1.00100150250438,0.0159450549450549
"2219_329.2334_12.21",1.00100150250438,1.00100150250438,1.00100150250438,0.0101010101010101
"2229_329.2334_12.42",0,1.00100150250438,1.00100150250438,0.0095025641025641
"6934_337.1845_16.91",1.00100150250438,0,1.00100150250438,0.006
"7147_340.8543_17.03",0,1.00100150250438,1.00100150250438,0.004
"90_394.8906_0.55",1.00100150250438,1.00100150250438,1.00100150250438,0.0153473684210526
"2273_413.2182_12.62",0,1.00100150250438,1.00100150250438,0.0101010101010101
"7156_466.8168_17.04",0,1.00100150250438,1.00100150250438,0.00369230769230769
"7175_471.1146_17.06",0,1.00100150250438,1.00100150250438,0.0224499325236167
"7150_486.7877_17.03",1.00100150250438,0,1.00100150250438,0.0184019138755981
"4536_491.3587_15.98",1.00100150250438,0,1.00100150250438,0.0180436090225564
"2285_528.1487_12.68",1.34406227991274,-1.00100150250438,1.00100150250438,0.0183285714285714
"2942_621.3204_14.93",-1.00100150250438,1.37457856297529,1.00100150250438,0.0369004936583884
"4659_210.0779_16.07",1.00100150250438,0.896978973247055,0.969405711335146,0.0442247664616086
"6240_117.0194_16.63",1.00100150250438,0.929278138329161,0.905275016545724,0.0429859649122807
"3322_186.0777_15.39",1.41705050316284,-1.00100150250438,0.895542337988707,0.0167887445887446
"5371_353.2004_16.33",1.21446541889315,0.557258983818637,0.822979183683351,0.0330412048220098
"5838_130.0399_16.45",1.38942503594182,-1.00100150250438,0.754094392254841,0.0399963241436926
"4423_398.2335_15.93",0.817041456918251,0.57754281555789,0.72799238491593,0.0417414141414141
"2391_195.1384_13.27",0.447303065060821,1.00100150250438,0.707644899002377,0.0402307692307692
"933_129.0181_0.69",-0.128038978949756,1.40275209380409,0.632708666137081,0.0406771030139451
"6238_147.0665_16.62",1.00100150250438,-0.200008000480032,0.538617728378097,0.01879005205321
"3711_184.0621_15.61",1.00100150250438,0.447303065060821,0.525370681277841,0.020711004784689
"5075_182.0464_16.17",1.00100150250438,0.343037530015732,0.515475415815177,0.0221670084301663
"6373_159.0666_16.64",1.00100150250438,0.343037530015732,0.447303065060821,0.0405325586694008
"6080_223.0733_16.53",-0.447303065060821,1.00100150250438,0.447303065060821,0.047961763382816
"4642_227.1046_16.06",-0.156177571144113,0.853423763113301,0.443694297295509,0.0393989139515455
"6133_131.0351_16.69",1.35313542919689,-0.653031673350682,0.407892900335858,0.134614076566708
"6839_116.0241_16.65",0,1.00100150250438,0.393219955743109,0.0708293168819485
"1906_161.0209_8.97",-0.156177571144113,1.00100150250438,0.372155736591365,0.0192522214627478
"121_462.8784_0.55",-0.156177571144113,1.00100150250438,0.372155736591365,0.0212610313662945
"3114_186.0777_15.18",1.07026883177989,-1.00100150250438,0.364122473730366,0.0905263157894737
"3118_134.0348_15.18",0.242549893096765,0.317442404988937,0.279512287087928,0.0613066576698156
"1795_187.0968_7.99",1.00100150250438,0.200008000480032,0.245784422643061,0.0164657097288676
"5931_147.0301_16.58",0,0.548419234180929,0.23927118241051,0.0410617920091604
"5696_120.0191_16.41",0,-0.200008000480032,0.200008000480032,0.019353961827646
"4922_264.1002_16.13",0.156177571144113,0.200008000480032,0.175417001390643,0.0180987468671679
"6293_191.0567_16.66",0.68631738948861,-0.128038978949756,0.174584552421611,0.0383016632490317
"5783_131.0351_16.48",-0.557258983818637,0.781345384897492,0.135137602973647,0.0138358974358974
"6686_157.051_16.69",-1.00100150250438,1.00100150250438,0.128038978949756,0.0146666666666667
"3380_159.0667_15.43",-0.200008000480032,0.557258983818637,0.122171267821672,0.0452852130325815
"3525_157.051_15.61",0.200008000480032,0,0.0830460525871121,0.0825161236424394
"6205_66.0083_16.73",0,0,0,0
"3564_83.0236_15.63",0,0,0,0.00363636363636364
"6267_83.0236_16.64",0,0,0,0.0153473684210526
"3407_83.0236_15.4",0,0,0,0.00355555555555556
"3137_83.0236_15.19",0,0,0,0.0036
"5112_83.0236_16.2",0,0,0,0.0126923076923077
"2995_83.0236_14.97",0,0,0,0
"3617_90.0083_15.66",0,0,0,0
"6270_90.0083_16.61",0,0,0,0.00557275541795666
"4497_90.0083_16.11",0,0,0,0
"4088_92.024_15.93",0,0,0,0
"6567_92.024_16.71",0,0,0,0.00266666666666667
