"feature","PR2","TR2","MeanDecreaseAccuracy","MeanDecreaseGini"
"3728_107.0706_7.69",3.3670972398053,3.42354246005637,3.52286844153521,0.243390784653943
"3730_163.1328_7.69",3.51000395502454,3.1946880628062,3.39893125410267,0.21600701754386
"3729_185.1147_7.69",3.34788431044075,3.36592243657705,3.39631091088356,0.218288304093567
"3726_142.07_7.69",2.46390144883707,2.46612030808263,2.65407528587038,0.153552791068581
"5604_672.4097_14.62",2.38988826537769,2.35130624128104,2.42812873070921,0.126969377990431
"6108_312.2527_14.9",2.2107259333977,2.39713682804706,2.39604320392244,0.133349196417617
"9273_164.0667_17.03",2.41078902998295,1.92109155283846,2.35941155996808,0.116597554492291
"4124_227.125_11.28",2.23418383236379,2.32045198050965,2.31183636362186,0.152527796764639
"9271_94.0455_17.03",1.96874807739539,1.72005229038445,2.15387383710015,0.0772959064327486
"5557_449.2868_14.57",1.53879591007008,2.14750280859792,2.0882255250141,0.0744593149540518
"8617_680.4791_16.62",1.28959193642382,1.69079032287611,1.88217550052611,0.0657122438964544
"6114_97.1016_15",1.69975302666866,1.76154909316895,1.79056590584833,0.0478157894736842
"7574_136.0215_15.72",1.66911011857018,1.41705050316284,1.69777736652246,0.052577504366978
"5584_716.4357_14.6",1.00100150250438,1.63736530665978,1.65958391281122,0.03151888053467
"9479_123.5451_17.04",1.40834895880057,1.66911011857018,1.6425834999374,0.0343034859876965
"8865_305.1565_16.89",1.66911011857018,1.00100150250438,1.63263917927766,0.0452557150451887
"5620_195.1742_14.64",1.21446541889315,1.62118493265393,1.615848401751,0.057744316674038
"6078_107.0858_14.9",1.41705050316284,1.57532347087875,1.58180718623052,0.0378223881381776
"5719_91.5051_14.77",1.23278418180384,1.21446541889315,1.54345918213192,0.117317786891471
"6089_123.1169_14.89",1.12867805763399,1.52302725859494,1.49181393761415,0.10382572982573
"8455_623.4517_16.47",1.21446541889315,1.36692904431769,1.41705050316284,0.0141339366515837
"5418_101.0713_14.43",1.41705050316284,1.40275209380409,1.41285987182396,0.0613041695146958
"5894_109.1014_15",1.34406227991274,1.40275209380409,1.41285987182396,0.0428774208247892
"7963_305.1566_16.08",1.00100150250438,1.00100150250438,1.41285987182396,0.022200956937799
"7052_615.9561_15.46",1.00100150250438,1.00100150250438,1.41285987182396,0.0130666666666667
"9341_74.5311_17.03",1.00100150250438,1.00100150250438,1.41120774204966,0.0222280701754386
"9566_215.9833_17.05",1.34406227991274,1.38942503594182,1.41120774204966,0.0155844155844156
"9444_286.9056_17.04",1.40834895880057,1.38942503594182,1.40275209380409,0.0204436090225564
"8552_523.8511_16.55",1.00100150250438,1.41705050316284,1.40275209380409,0.0240967190704033
"9456_106.0291_17.04",0,1.41705050316284,1.3976941536882,0.0497536405115353
"5884_135.0804_14.9",1.41705050316284,1.34406227991274,1.3976941536882,0.0525979634400687
"6391_340.2841_15.2",1.40834895880057,1.28959193642382,1.38942503594182,0.0407544759334233
"9471_125.9862_17.04",1.40275209380409,1.00100150250438,1.36692904431769,0.0372598162071846
"6970_399.3075_15.59",1.34406227991274,1.00100150250438,1.36692904431769,0.0217293233082707
"9492_61.0079_17.04",1.09239069129793,1.41120774204966,1.34406227991274,0.0631227415858995
"9337_91.0063_17.03",1.00100150250438,1.41705050316284,1.34406227991274,0.0229122456490878
"9323_165.0672_17.03",1.67770621729712,0.758372514974895,1.32008758358595,0.0774372142477406
"5036_399.3576_13.97",1.00100150250438,1.40834895880057,1.31926632682314,0.0188955465587045
"4380_111.0394_11.97",1.63736530665978,0.835691599793125,1.25893896973563,0.0686896471949103
"8343_130.159_16.29",1.25554088652719,0.912080181998984,1.15001074682492,0.0687845371003266
"3735_696.4367_7.7",0.569987973380641,1.40275209380409,1.06291167435256,0.0424912280701754
"7892_469.3866_15.98",1.41120774204966,1.2381387735405,1.05241286967923,0.0520716803664172
"6742_141.9833_15.38",1.00100150250438,1.00100150250438,1.00100150250438,0.00622222222222222
"6927_452.3575_15.43",1.00100150250438,1.00100150250438,1.00100150250438,0.0149707602339181
"9511_70.0132_17.04",0,1.00100150250438,1.00100150250438,0.00896969696969697
"9351_70.9919_17.03",0,1.00100150250438,1.00100150250438,0.00355555555555556
