row.ID,row.m.z,row.retention.time,p_value,statistic,p_adjusted_BH,mean_change_group1,mean_change_group2,log2_fold_change_of_change,significance,label
4922,264.100234,16.12601,0.006233035,79,1,2.89E-05,-2.94E-06,3.299944677,Significant,NA
2631,106.0396958,14.173291,0.012763008,14,1,-7.58E-05,0.000183529,-1.275416275,Significant,NA
3044,130.0398729,15.151573,0.012763008,14,1,-3.98E-05,0.00031825,-2.998779026,Significant,NA
3114,186.0777358,15.175608,0.012763008,14,1,-3.31E-05,6.57E-05,-0.986978538,Significant,NA
6839,116.0241061,16.646412,0.024744672,17,1,-0.000456359,0.000965094,-1.080504101,Significant,NA
6971,116.0240989,16.918753,0.024744672,17,1,-1.50E-05,0.000112415,-2.905632901,Significant,NA
3705,116.0241162,15.631828,0.030486157,18,1,-0.000239705,0.000389468,-0.700255833,Significant,NA
4635,128.0341071,16.046707,0.030486157,72,1,1.20E-05,-7.91E-05,-2.723106696,Significant,NA
5723,159.0666397,16.367802,0.030486157,72,1,0.000959119,-0.000529033,0.858355051,Significant,NA
6829,134.0348301,16.91507,0.037336416,19,1,-0.000114697,0.000176381,-0.620887867,Significant,NA
4086,134.0348119,15.9440365,0.045455295,70,1,0.000709685,-0.000342889,1.04944455,Significant,NA
3129,145.0508998,15.152887,0.045455295,20,1,-6.95E-05,0.000267777,-1.945009214,Significant,NA
5288,200.09349,16.073454,0.045455295,70,1,0.000223908,-0.000147883,0.598465422,Significant,NA
4423,398.2335444,15.932391,0.045455295,70,1,1.27E-06,-3.05E-05,-4.579106536,Significant,NA
3978,107.0349806,15.738287,0.055013832,21,1,0.000292836,0.002557747,3.126702553,Not Significant,NA
3123,110.0346588,15.180128,0.055013832,69,1,-2.67E-05,-0.000189669,2.827065592,Not Significant,NA
1785,137.0232769,7.9731965,0.055013832,21,1,-0.000308033,0.0002963,0.056019076,Not Significant,NA
3525,157.0509583,15.612209,0.06619258,22,1,-0.000457106,0.000333708,0.453933078,Not Significant,NA
