row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,mean_change_difference,fold_change,log2_fold_change
4922,264.100234032208,16.12601,0.006233034969733782,79,19,1,1,0.7555555555555555,2.893933785509199e-5,-2.939470025129233e-6,-3.187880788022122e-5,NA,NA
2631,106.039695845106,14.173291,0.012763007532641236,14,19,1,1,-0.6888888888888889,-7.581839752709917e-5,1.8352915388428773e-4,2.5934755141138687e-4,NA,NA
3044,130.039872940493,15.151573,0.012763007532641236,14,19,1,1,-0.6888888888888889,-3.981610776066e-5,3.1825040728935606e-4,3.580665150500161e-4,NA,NA
3114,186.077735804051,15.175608,0.012763007532641236,14,19,1,1,-0.6888888888888889,-3.312648201007051e-5,6.565468723219122e-5,9.878116924226173e-5,NA,NA
6839,116.024106107155,16.646412,0.02474467204639894,17,19,1,1,-0.6222222222222222,-4.563593243823599e-4,9.650941243921079e-4,0.0014214534487744677,NA,NA
6971,116.024098856242,16.918753,0.02474467204639894,17,19,1,1,-0.6222222222222222,-1.5002908959748784e-5,1.124152736397995e-4,1.274181825995483e-4,NA,NA
3705,116.024116235761,15.631828,0.030486156935263378,18,19,1,1,-0.6,-2.3970484662422047e-4,3.894681061904929e-4,6.291729528147133e-4,NA,NA
4635,128.03410707055,16.046707,0.030486156935263378,72,19,1,1,0.6000000000000001,1.1983567599367003e-5,-7.913427981369778e-5,-9.111784741306478e-5,NA,NA
5723,159.066639700585,16.367802,0.030486156935263378,72,19,1,1,0.6000000000000001,9.591188221790236e-4,-5.290333741146268e-4,-0.0014881521962936504,NA,NA
6829,134.034830119376,16.91507,0.037336415920662856,19,19,1,1,-0.5777777777777777,-1.1469729565189198e-4,1.7638140653367072e-4,2.910787021855627e-4,NA,NA
4086,134.034811917158,15.9440365,0.045455294849058483,70,19,1,1,0.5555555555555556,7.096846562545179e-4,-3.4288856797809166e-4,-0.0010525732242326095,NA,NA
3129,145.050899763861,15.152887,0.045455294849058483,20,19,1,1,-0.5555555555555556,-6.954638350277702e-5,2.6777670900620445e-4,3.373230925089815e-4,NA,NA
5288,200.093489995006,16.073454,0.045455294849058483,70,19,1,1,0.5555555555555556,2.23908148349281e-4,-1.4788316319072335e-4,-3.7179131154000436e-4,NA,NA
4423,398.233544377516,15.932391,0.045455294849058483,70,19,1,1,0.5555555555555556,1.273799777662779e-6,-3.047225906959407e-5,-3.174605884725685e-5,NA,NA
3978,107.034980577743,15.738287,0.055013832353979046,21,19,1,1,-0.5333333333333333,2.9283637786910513e-4,0.002557747068255681,0.002264910690386576,NA,NA
3123,110.034658847682,15.180128,0.055013832353979046,69,19,1,1,0.5333333333333334,-2.6728764163705182e-5,-1.8966904746442074e-4,-1.6294028330071555e-4,NA,NA
1785,137.023276938483,7.9731965,0.055013832353979046,21,19,1,1,-0.5333333333333333,-3.08033080523338e-4,2.962995973579328e-4,6.043326778812708e-4,NA,NA
