"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"6205_66.0083_16.73","PC1",-0.0297440082732836,84.0433996909661,9.16751873142161,0.16069,0.16069
"6205_66.0083_16.73","PC2",0.0300057455206065,24.9238544740313,4.99237964041511,0.04766,0.20835
"6205_66.0083_16.73","PC3",0.02923053299057,22.6062938699506,4.75460764626805,0.04322,0.25157
"6205_66.0083_16.73","PC4",0.00360649262237884,21.3176315125529,4.61710206867391,0.04076,0.29233
"6205_66.0083_16.73","PC5",-0.00155322937947433,18.5931828283124,4.31198131122022,0.03555,0.32789
"6205_66.0083_16.73","PC6",-0.0638409529115129,17.4134849390875,4.17294679322508,0.0333,0.36118
"6205_66.0083_16.73","PC7",-0.0418379497223721,16.9022584168347,4.11123563139291,0.03232,0.3935
"6205_66.0083_16.73","PC8",0.0561917396826358,15.3905226203356,3.9230756582477,0.02943,0.42293
"6205_66.0083_16.73","PC9",-0.0146473086678053,15.093157607456,3.88499132656123,0.02886,0.45179
"6205_66.0083_16.73","PC10",-0.0147990373928641,14.7938248155555,3.84627414721773,0.02829,0.48007
"6205_66.0083_16.73","PC11",-0.0571769295695233,13.6214913343524,3.69073046081022,0.02604,0.50612
"6205_66.0083_16.73","PC12",-0.0197373350035533,13.0180812249036,3.6080578189524,0.02489,0.53101
"6205_66.0083_16.73","PC13",0.020898353816238,12.6570233999612,3.55767106404755,0.0242,0.55521
"6205_66.0083_16.73","PC14",0.0093454820302792,12.1694536972766,3.48847440828746,0.02327,0.57848
"6205_66.0083_16.73","PC15",0.0106852591367396,11.7116270494509,3.42222545275014,0.02239,0.60087
"6205_66.0083_16.73","PC16",-0.0467109827828856,11.4044169835556,3.37704263869374,0.02181,0.62268
"6205_66.0083_16.73","PC17",-0.116586313324856,11.343050796534,3.36794459522927,0.02169,0.64436
"6205_66.0083_16.73","PC18",0.00421065047129015,10.8518747116754,3.29421837644006,0.02075,0.66511
"6205_66.0083_16.73","PC19",0.0603253514258431,10.6301199526653,3.26038647289938,0.02033,0.68544
"6205_66.0083_16.73","PC20",0.0291211106319458,10.3989610054262,3.22474200602563,0.01988,0.70532
"6205_66.0083_16.73","PC21",-0.0554808177777233,9.52180874670893,3.08574281927528,0.01821,0.72353
