"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"6205_66.0083_16.73","PC1",-0.0588508713449179,96.0200885693322,9.79898405802011,0.18359,0.18359
"6205_66.0083_16.73","PC2",0.00196857172151362,34.0426664926706,5.83460936932976,0.06509,0.24869
"6205_66.0083_16.73","PC3",0.0322891052512629,32.1851664417304,5.67319719750075,0.06154,0.31023
"6205_66.0083_16.73","PC4",0.00167757866392476,29.3040010687993,5.41331701166663,0.05603,0.36626
"6205_66.0083_16.73","PC5",0.0130482382330249,27.8702446957801,5.27922766091595,0.05329,0.41955
"6205_66.0083_16.73","PC6",0.0374464610704404,25.4013570068827,5.0399758934823,0.04857,0.46811
"6205_66.0083_16.73","PC7",0.0690064250246944,25.1304904298314,5.0130320595256,0.04805,0.51616
"6205_66.0083_16.73","PC8",0.0785603454636636,24.2329509288421,4.92269752562984,0.04633,0.5625
"6205_66.0083_16.73","PC9",-0.0362543124058102,22.7735437940715,4.77216342910336,0.04354,0.60604
"6205_66.0083_16.73","PC10",0.0583132924227154,21.3200892539197,4.61736821727699,0.04076,0.64681
"6205_66.0083_16.73","PC11",0.0312144049500365,20.3693717227695,4.5132440353663,0.03895,0.68576
"6205_66.0083_16.73","PC12",0.0130960640806554,19.300544718397,4.39323852282084,0.0369,0.72266
"6205_66.0083_16.73","PC13",0.012301003802564,18.4718769386704,4.29789215065599,0.03532,0.75798
"6205_66.0083_16.73","PC14",-0.0346870828671376,17.5552971803223,4.1899041970339,0.03357,0.79154
"6205_66.0083_16.73","PC15",-0.0048122691458434,15.9136063169195,3.98918617225613,0.03043,0.82197
"6205_66.0083_16.73","PC16",-0.0203885209916128,15.2009566011866,3.89884041750705,0.02906,0.85104
"6205_66.0083_16.73","PC17",-0.0485320502663292,13.9797511298918,3.73895053857253,0.02673,0.87777
"6205_66.0083_16.73","PC18",0.00228659084139314,13.7657972773369,3.71022873652513,0.02632,0.90409
"6205_66.0083_16.73","PC19",0.0531087048331871,13.4252528568123,3.66404869738548,0.02567,0.92976
"6205_66.0083_16.73","PC20",0.00860613576988532,13.0725222075725,3.61559430904139,0.025,0.95475
"6205_66.0083_16.73","PC21",0.0050512002059377,12.2765713311285,3.5037938482634,0.02347,0.97823
"6205_66.0083_16.73","PC22",-0.0916909234957755,11.3878530371328,3.37458931384736,0.02177,1
"6205_66.0083_16.73","PC23",-0.104802319720491,2.30399167509639e-29,4.79999132821757e-15,0,1
"4034_83.0236_15.9","PC1",-0.0106156454552644,96.0200885693322,9.79898405802011,0.18359,0.18359
"4034_83.0236_15.9","PC2",0.0446124515157875,34.0426664926706,5.83460936932976,0.06509,0.24869
"4034_83.0236_15.9","PC3",-0.0684235787886799,32.1851664417304,5.67319719750075,0.06154,0.31023
"4034_83.0236_15.9","PC4",-0.0230605955714298,29.3040010687993,5.41331701166663,0.05603,0.36626
"4034_83.0236_15.9","PC5",-0.0181606615230794,27.8702446957801,5.27922766091595,0.05329,0.41955
"4034_83.0236_15.9","PC6",0.052808848141521,25.4013570068827,5.0399758934823,0.04857,0.46811
"4034_83.0236_15.9","PC7",-0.0877649609831653,25.1304904298314,5.0130320595256,0.04805,0.51616
"4034_83.0236_15.9","PC8",0.0842829568941859,24.2329509288421,4.92269752562984,0.04633,0.5625
"4034_83.0236_15.9","PC9",-0.00230169559883643,22.7735437940715,4.77216342910336,0.04354,0.60604
"4034_83.0236_15.9","PC10",0.0363101403097639,21.3200892539197,4.61736821727699,0.04076,0.64681
"4034_83.0236_15.9","PC11",-0.0333871815163503,20.3693717227695,4.5132440353663,0.03895,0.68576
"4034_83.0236_15.9","PC12",-0.0285289313018588,19.300544718397,4.39323852282084,0.0369,0.72266
"4034_83.0236_15.9","PC13",-0.0475870416799773,18.4718769386704,4.29789215065599,0.03532,0.75798
"4034_83.0236_15.9","PC14",-0.0414470718998124,17.5552971803223,4.1899041970339,0.03357,0.79154
"4034_83.0236_15.9","PC15",-0.0146151871693389,15.9136063169195,3.98918617225613,0.03043,0.82197
"4034_83.0236_15.9","PC16",-0.0217093097163299,15.2009566011866,3.89884041750705,0.02906,0.85104
"4034_83.0236_15.9","PC17",-0.0245645576340384,13.9797511298918,3.73895053857253,0.02673,0.87777
"4034_83.0236_15.9","PC18",-0.0060797907891018,13.7657972773369,3.71022873652513,0.02632,0.90409
"4034_83.0236_15.9","PC19",-0.0431918501647863,13.4252528568123,3.66404869738548,0.02567,0.92976
"4034_83.0236_15.9","PC20",-0.0078170259732819,13.0725222075725,3.61559430904139,0.025,0.95475
"4034_83.0236_15.9","PC21",-0.036535263983107,12.2765713311285,3.5037938482634,0.02347,0.97823
"4034_83.0236_15.9","PC22",-0.0978535646058556,11.3878530371328,3.37458931384736,0.02177,1
"4034_83.0236_15.9","PC23",0.33809807632898,2.30399167509639e-29,4.79999132821757e-15,0,1
"3564_83.0236_15.63","PC1",0.0507562444533326,96.0200885693322,9.79898405802011,0.18359,0.18359
"3564_83.0236_15.63","PC2",-0.0447673879493923,34.0426664926706,5.83460936932976,0.06509,0.24869
"3564_83.0236_15.63","PC3",0.0140536768315723,32.1851664417304,5.67319719750075,0.06154,0.31023
"3564_83.0236_15.63","PC4",0.084387483921118,29.3040010687993,5.41331701166663,0.05603,0.36626
"3564_83.0236_15.63","PC5",0.0145587613419856,27.8702446957801,5.27922766091595,0.05329,0.41955
"3564_83.0236_15.63","PC6",-0.0258126626075646,25.4013570068827,5.0399758934823,0.04857,0.46811
"3564_83.0236_15.63","PC7",0.098811266677771,25.1304904298314,5.0130320595256,0.04805,0.51616
"3564_83.0236_15.63","PC8",-0.0546033232009389,24.2329509288421,4.92269752562984,0.04633,0.5625
"3564_83.0236_15.63","PC9",0.0131862269533069,22.7735437940715,4.77216342910336,0.04354,0.60604
"3564_83.0236_15.63","PC10",0.0366775824889168,21.3200892539197,4.61736821727699,0.04076,0.64681
"3564_83.0236_15.63","PC11",0.00883724504994755,20.3693717227695,4.5132440353663,0.03895,0.68576
"3564_83.0236_15.63","PC12",0.00511887259159499,19.300544718397,4.39323852282084,0.0369,0.72266
"3564_83.0236_15.63","PC13",0.0394442896754766,18.4718769386704,4.29789215065599,0.03532,0.75798
"3564_83.0236_15.63","PC14",0.031737196701807,17.5552971803223,4.1899041970339,0.03357,0.79154
"3564_83.0236_15.63","PC15",0.0197830321442551,15.9136063169195,3.98918617225613,0.03043,0.82197
"3564_83.0236_15.63","PC16",-0.00240564263617385,15.2009566011866,3.89884041750705,0.02906,0.85104
"3564_83.0236_15.63","PC17",0.02056919624904,13.9797511298918,3.73895053857253,0.02673,0.87777
"3564_83.0236_15.63","PC18",0.0302918959763747,13.7657972773369,3.71022873652513,0.02632,0.90409
"3564_83.0236_15.63","PC19",-0.000647131407894019,13.4252528568123,3.66404869738548,0.02567,0.92976
"3564_83.0236_15.63","PC20",-0.00695493841672627,13.0725222075725,3.61559430904139,0.025,0.95475
"3564_83.0236_15.63","PC21",-0.0199533867694868,12.2765713311285,3.5037938482634,0.02347,0.97823
"3564_83.0236_15.63","PC22",0.0390597733776747,11.3878530371328,3.37458931384736,0.02177,1
"3564_83.0236_15.63","PC23",-0.089721832426293,2.30399167509639e-29,4.79999132821757e-15,0,1
"6267_83.0236_16.64","PC1",0.00567838106160907,96.0200885693322,9.79898405802011,0.18359,0.18359
"6267_83.0236_16.64","PC2",-0.0549632184931526,34.0426664926706,5.83460936932976,0.06509,0.24869
"6267_83.0236_16.64","PC3",0.000564362862813732,32.1851664417304,5.67319719750075,0.06154,0.31023
"6267_83.0236_16.64","PC4",0.0241240713147573,29.3040010687993,5.41331701166663,0.05603,0.36626
"6267_83.0236_16.64","PC5",-0.0806767374322804,27.8702446957801,5.27922766091595,0.05329,0.41955
"6267_83.0236_16.64","PC6",-0.0280427549461477,25.4013570068827,5.0399758934823,0.04857,0.46811
"6267_83.0236_16.64","PC7",-0.045725021732468,25.1304904298314,5.0130320595256,0.04805,0.51616
"6267_83.0236_16.64","PC8",0.0459027469963952,24.2329509288421,4.92269752562984,0.04633,0.5625
"6267_83.0236_16.64","PC9",0.0127187089492054,22.7735437940715,4.77216342910336,0.04354,0.60604
"6267_83.0236_16.64","PC10",-0.0896410765720094,21.3200892539197,4.61736821727699,0.04076,0.64681
"6267_83.0236_16.64","PC11",-0.0970039013974953,20.3693717227695,4.5132440353663,0.03895,0.68576
"6267_83.0236_16.64","PC12",0.00676093342058633,19.300544718397,4.39323852282084,0.0369,0.72266
"6267_83.0236_16.64","PC13",0.0373297908570865,18.4718769386704,4.29789215065599,0.03532,0.75798
"6267_83.0236_16.64","PC14",-0.0348044268487048,17.5552971803223,4.1899041970339,0.03357,0.79154
"6267_83.0236_16.64","PC15",0.027241439729823,15.9136063169195,3.98918617225613,0.03043,0.82197
"6267_83.0236_16.64","PC16",0.0011087845320056,15.2009566011866,3.89884041750705,0.02906,0.85104
"6267_83.0236_16.64","PC17",-0.0315615521893498,13.9797511298918,3.73895053857253,0.02673,0.87777
"6267_83.0236_16.64","PC18",-0.0131025904372916,13.7657972773369,3.71022873652513,0.02632,0.90409
"6267_83.0236_16.64","PC19",-0.0360628910037412,13.4252528568123,3.66404869738548,0.02567,0.92976
"6267_83.0236_16.64","PC20",-0.0117854010925211,13.0725222075725,3.61559430904139,0.025,0.95475
"6267_83.0236_16.64","PC21",0.0882381189257028,12.2765713311285,3.5037938482634,0.02347,0.97823
"6267_83.0236_16.64","PC22",0.0356595446952622,11.3878530371328,3.37458931384736,0.02177,1
"6267_83.0236_16.64","PC23",0.256074677182716,2.30399167509639e-29,4.79999132821757e-15,0,1
"3407_83.0236_15.4","PC1",-0.0128802156568601,96.0200885693322,9.79898405802011,0.18359,0.18359
"3407_83.0236_15.4","PC2",0.0460078872612357,34.0426664926706,5.83460936932976,0.06509,0.24869
"3407_83.0236_15.4","PC3",-0.0652282595780979,32.1851664417304,5.67319719750075,0.06154,0.31023
"3407_83.0236_15.4","PC4",-0.0146098436353349,29.3040010687993,5.41331701166663,0.05603,0.36626
"3407_83.0236_15.4","PC5",-0.00310254669358469,27.8702446957801,5.27922766091595,0.05329,0.41955
"3407_83.0236_15.4","PC6",0.0159062458444752,25.4013570068827,5.0399758934823,0.04857,0.46811
"3407_83.0236_15.4","PC7",-0.0406318140106549,25.1304904298314,5.0130320595256,0.04805,0.51616
"3407_83.0236_15.4","PC8",0.011970723788095,24.2329509288421,4.92269752562984,0.04633,0.5625
"3407_83.0236_15.4","PC9",-0.0385853962346444,22.7735437940715,4.77216342910336,0.04354,0.60604
"3407_83.0236_15.4","PC10",-0.117288240724012,21.3200892539197,4.61736821727699,0.04076,0.64681
"3407_83.0236_15.4","PC11",-0.0982001194999966,20.3693717227695,4.5132440353663,0.03895,0.68576
"3407_83.0236_15.4","PC12",0.0582288741803771,19.300544718397,4.39323852282084,0.0369,0.72266
"3407_83.0236_15.4","PC13",0.0106496557582055,18.4718769386704,4.29789215065599,0.03532,0.75798
"3407_83.0236_15.4","PC14",0.00954663490316738,17.5552971803223,4.1899041970339,0.03357,0.79154
"3407_83.0236_15.4","PC15",-0.00346995348904752,15.9136063169195,3.98918617225613,0.03043,0.82197
"3407_83.0236_15.4","PC16",0.00413893376932736,15.2009566011866,3.89884041750705,0.02906,0.85104
"3407_83.0236_15.4","PC17",-0.0354140170813701,13.9797511298918,3.73895053857253,0.02673,0.87777
"3407_83.0236_15.4","PC18",-0.00416686289407358,13.7657972773369,3.71022873652513,0.02632,0.90409
"3407_83.0236_15.4","PC19",0.0692351373882747,13.4252528568123,3.66404869738548,0.02567,0.92976
"3407_83.0236_15.4","PC20",0.00805343929353561,13.0725222075725,3.61559430904139,0.025,0.95475
"3407_83.0236_15.4","PC21",-0.0291862858321262,12.2765713311285,3.5037938482634,0.02347,0.97823
"3407_83.0236_15.4","PC22",0.051767779925027,11.3878530371328,3.37458931384736,0.02177,1
"3407_83.0236_15.4","PC23",-0.0406108491590869,2.30399167509639e-29,4.79999132821757e-15,0,1
"3137_83.0236_15.19","PC1",-0.028686378974701,96.0200885693322,9.79898405802011,0.18359,0.18359
"3137_83.0236_15.19","PC2",0.0296810739171794,34.0426664926706,5.83460936932976,0.06509,0.24869
"3137_83.0236_15.19","PC3",0.0115391698289277,32.1851664417304,5.67319719750075,0.06154,0.31023
"3137_83.0236_15.19","PC4",0.0553585030460013,29.3040010687993,5.41331701166663,0.05603,0.36626
"3137_83.0236_15.19","PC5",-0.00901282877213673,27.8702446957801,5.27922766091595,0.05329,0.41955
"3137_83.0236_15.19","PC6",0.0590196715332484,25.4013570068827,5.0399758934823,0.04857,0.46811
"3137_83.0236_15.19","PC7",-0.0285445012281009,25.1304904298314,5.0130320595256,0.04805,0.51616
"3137_83.0236_15.19","PC8",-0.0952705379148382,24.2329509288421,4.92269752562984,0.04633,0.5625
"3137_83.0236_15.19","PC9",0.0577361948919698,22.7735437940715,4.77216342910336,0.04354,0.60604
"3137_83.0236_15.19","PC10",0.023663995454338,21.3200892539197,4.61736821727699,0.04076,0.64681
"3137_83.0236_15.19","PC11",0.0546454255716549,20.3693717227695,4.5132440353663,0.03895,0.68576
"3137_83.0236_15.19","PC12",-0.0588284525022333,19.300544718397,4.39323852282084,0.0369,0.72266
"3137_83.0236_15.19","PC13",-0.0277924740493704,18.4718769386704,4.29789215065599,0.03532,0.75798
"3137_83.0236_15.19","PC14",-0.0111853013808437,17.5552971803223,4.1899041970339,0.03357,0.79154
"3137_83.0236_15.19","PC15",0.0520336925395006,15.9136063169195,3.98918617225613,0.03043,0.82197
"3137_83.0236_15.19","PC16",0.0184977412314875,15.2009566011866,3.89884041750705,0.02906,0.85104
"3137_83.0236_15.19","PC17",-0.0757403400050409,13.9797511298918,3.73895053857253,0.02673,0.87777
"3137_83.0236_15.19","PC18",-0.0739026796518268,13.7657972773369,3.71022873652513,0.02632,0.90409
"3137_83.0236_15.19","PC19",0.016189066395032,13.4252528568123,3.66404869738548,0.02567,0.92976
"3137_83.0236_15.19","PC20",-0.0222026689618534,13.0725222075725,3.61559430904139,0.025,0.95475
"3137_83.0236_15.19","PC21",0.038803210933875,12.2765713311285,3.5037938482634,0.02347,0.97823
"3137_83.0236_15.19","PC22",0.0121467944461068,11.3878530371328,3.37458931384736,0.02177,1
"3137_83.0236_15.19","PC23",-0.0917968592191637,2.30399167509639e-29,4.79999132821757e-15,0,1
"5112_83.0236_16.2","PC1",0.029492678858227,96.0200885693322,9.79898405802011,0.18359,0.18359
"5112_83.0236_16.2","PC2",0.0580565006522679,34.0426664926706,5.83460936932976,0.06509,0.24869
"5112_83.0236_16.2","PC3",-0.058456630616413,32.1851664417304,5.67319719750075,0.06154,0.31023
"5112_83.0236_16.2","PC4",0.0275510699206116,29.3040010687993,5.41331701166663,0.05603,0.36626
"5112_83.0236_16.2","PC5",0.0821270975510655,27.8702446957801,5.27922766091595,0.05329,0.41955
"5112_83.0236_16.2","PC6",0.0500936075964733,25.4013570068827,5.0399758934823,0.04857,0.46811
"5112_83.0236_16.2","PC7",-0.0356243969223721,25.1304904298314,5.0130320595256,0.04805,0.51616
"5112_83.0236_16.2","PC8",-0.0323161750426145,24.2329509288421,4.92269752562984,0.04633,0.5625
"5112_83.0236_16.2","PC9",-0.000642794129590859,22.7735437940715,4.77216342910336,0.04354,0.60604
"5112_83.0236_16.2","PC10",-0.0197723072262527,21.3200892539197,4.61736821727699,0.04076,0.64681
"5112_83.0236_16.2","PC11",-0.00111710162460471,20.3693717227695,4.5132440353663,0.03895,0.68576
"5112_83.0236_16.2","PC12",-0.00838664502609752,19.300544718397,4.39323852282084,0.0369,0.72266
"5112_83.0236_16.2","PC13",-0.0299409340505253,18.4718769386704,4.29789215065599,0.03532,0.75798
"5112_83.0236_16.2","PC14",-0.0227235605573969,17.5552971803223,4.1899041970339,0.03357,0.79154
"5112_83.0236_16.2","PC15",-0.0755131192388707,15.9136063169195,3.98918617225613,0.03043,0.82197
"5112_83.0236_16.2","PC16",-0.0182690789387842,15.2009566011866,3.89884041750705,0.02906,0.85104
"5112_83.0236_16.2","PC17",0.0468019956411835,13.9797511298918,3.73895053857253,0.02673,0.87777
"5112_83.0236_16.2","PC18",0.0155361498276399,13.7657972773369,3.71022873652513,0.02632,0.90409
"5112_83.0236_16.2","PC19",-0.0189095847224659,13.4252528568123,3.66404869738548,0.02567,0.92976
"5112_83.0236_16.2","PC20",-0.100078234115986,13.0725222075725,3.61559430904139,0.025,0.95475
"5112_83.0236_16.2","PC21",-0.0134014853208149,12.2765713311285,3.5037938482634,0.02347,0.97823
"5112_83.0236_16.2","PC22",0.0710833956267072,11.3878530371328,3.37458931384736,0.02177,1
"5112_83.0236_16.2","PC23",-0.116989272757381,2.30399167509639e-29,4.79999132821757e-15,0,1
"5545_83.0236_16.44","PC1",-0.00816168779874136,96.0200885693322,9.79898405802011,0.18359,0.18359
"5545_83.0236_16.44","PC2",0.00132153575457155,34.0426664926706,5.83460936932976,0.06509,0.24869
"5545_83.0236_16.44","PC3",0.0748704870418918,32.1851664417304,5.67319719750075,0.06154,0.31023
"5545_83.0236_16.44","PC4",-0.0387883237030503,29.3040010687993,5.41331701166663,0.05603,0.36626
"5545_83.0236_16.44","PC5",-0.0178119533147458,27.8702446957801,5.27922766091595,0.05329,0.41955
"5545_83.0236_16.44","PC6",0.0428422313295337,25.4013570068827,5.0399758934823,0.04857,0.46811
"5545_83.0236_16.44","PC7",0.0779257578252809,25.1304904298314,5.0130320595256,0.04805,0.51616
"5545_83.0236_16.44","PC8",0.031469929885163,24.2329509288421,4.92269752562984,0.04633,0.5625
