"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"9492_61.0079_17.04","PC1",0.0514612854962023,143.774299937228,11.9905921428939,0.14306,0.14306
"9492_61.0079_17.04","PC2",0.0082288022109134,101.489583316951,10.0742038552409,0.10098,0.24404
"9492_61.0079_17.04","PC3",-0.011343985750618,78.1307277647967,8.83915877019961,0.07774,0.32179
"9492_61.0079_17.04","PC4",0.0158256195135137,69.3312296551443,8.32653767511709,0.06899,0.39077
"9492_61.0079_17.04","PC5",0.00377079044437771,59.2218532428553,7.6955736136337,0.05893,0.4497
"9492_61.0079_17.04","PC6",-0.0505137474306778,57.9045480843128,7.60950380013787,0.05762,0.50732
"9492_61.0079_17.04","PC7",0.0664695317133619,49.7622364836795,7.05423535783146,0.04951,0.55683
"9492_61.0079_17.04","PC8",-0.0207593276395221,46.7655449837492,6.83853383290229,0.04653,0.60336
"9492_61.0079_17.04","PC9",-0.0332419891322035,41.5393927083848,6.44510610528522,0.04133,0.6447
"9492_61.0079_17.04","PC10",-0.00821838415539604,39.2395818855196,6.26415053183746,0.03904,0.68374
"9492_61.0079_17.04","PC11",0.0576044283701229,37.1267944606612,6.09317605692312,0.03694,0.72068
"9492_61.0079_17.04","PC12",0.000392051376499803,35.184726747206,5.93167149690591,0.03501,0.75569
"9492_61.0079_17.04","PC13",-0.00499858934021774,34.2705714111064,5.8541072257951,0.0341,0.78979
"9492_61.0079_17.04","PC14",0.00437349714290546,32.4498558829729,5.69647749780274,0.03229,0.82208
"9492_61.0079_17.04","PC15",0.000717918090262076,29.4457815462588,5.42639673690182,0.0293,0.85138
"9492_61.0079_17.04","PC16",-0.00247824637349399,26.73834001181,5.17091287992846,0.02661,0.87799
"9492_61.0079_17.04","PC17",0.00515839871829349,26.3318954241486,5.13146133417651,0.0262,0.90419
"9492_61.0079_17.04","PC18",0.00889143154834005,25.720637321386,5.07155176660813,0.02559,0.92978
"9492_61.0079_17.04","PC19",0.00975423043848907,25.0764289159149,5.00763705912428,0.02495,0.95473
"9492_61.0079_17.04","PC20",0.0235036688890335,23.1794583373206,4.81450499400723,0.02306,0.97779
"9492_61.0079_17.04","PC21",0.0149902140082149,22.3165118785948,4.72403555009854,0.02221,1
"9492_61.0079_17.04","PC22",0.033322283019924,1.61382120149931e-28,1.27036262598492e-14,0,1
"8838_64.0165_16.96","PC1",0.0126099333579019,143.774299937228,11.9905921428939,0.14306,0.14306
"8838_64.0165_16.96","PC2",0.0127622320127743,101.489583316951,10.0742038552409,0.10098,0.24404
"8838_64.0165_16.96","PC3",0.0245463378103685,78.1307277647967,8.83915877019961,0.07774,0.32179
"8838_64.0165_16.96","PC4",-0.0369770464844982,69.3312296551443,8.32653767511709,0.06899,0.39077
"8838_64.0165_16.96","PC5",0.00949476830596896,59.2218532428553,7.6955736136337,0.05893,0.4497
"8838_64.0165_16.96","PC6",0.0650609070533737,57.9045480843128,7.60950380013787,0.05762,0.50732
"8838_64.0165_16.96","PC7",-0.0123885185762945,49.7622364836795,7.05423535783146,0.04951,0.55683
"8838_64.0165_16.96","PC8",0.0486379051494784,46.7655449837492,6.83853383290229,0.04653,0.60336
"8838_64.0165_16.96","PC9",0.0102046291575279,41.5393927083848,6.44510610528522,0.04133,0.6447
"8838_64.0165_16.96","PC10",0.0527331535913719,39.2395818855196,6.26415053183746,0.03904,0.68374
"8838_64.0165_16.96","PC11",0.0141047125179421,37.1267944606612,6.09317605692312,0.03694,0.72068
"8838_64.0165_16.96","PC12",-0.0502522575087199,35.184726747206,5.93167149690591,0.03501,0.75569
"8838_64.0165_16.96","PC13",0.00778090772784554,34.2705714111064,5.8541072257951,0.0341,0.78979
"8838_64.0165_16.96","PC14",-0.0131901075197757,32.4498558829729,5.69647749780274,0.03229,0.82208
"8838_64.0165_16.96","PC15",-0.0149386302669528,29.4457815462588,5.42639673690182,0.0293,0.85138
"8838_64.0165_16.96","PC16",-0.0238464883512327,26.73834001181,5.17091287992846,0.02661,0.87799
"8838_64.0165_16.96","PC17",-0.026704578044664,26.3318954241486,5.13146133417651,0.0262,0.90419
"8838_64.0165_16.96","PC18",0.0573292486125737,25.720637321386,5.07155176660813,0.02559,0.92978
"8838_64.0165_16.96","PC19",-0.0379545430895767,25.0764289159149,5.00763705912428,0.02495,0.95473
"8838_64.0165_16.96","PC20",-0.0551816682047579,23.1794583373206,4.81450499400723,0.02306,0.97779
"8838_64.0165_16.96","PC21",-0.00609351163282262,22.3165118785948,4.72403555009854,0.02221,1
"8838_64.0165_16.96","PC22",-0.0718841079725051,1.61382120149931e-28,1.27036262598492e-14,0,1
"8651_64.0165_16.6","PC1",-0.0261834469900566,143.774299937228,11.9905921428939,0.14306,0.14306
"8651_64.0165_16.6","PC2",0.0145047183200854,101.489583316951,10.0742038552409,0.10098,0.24404
"8651_64.0165_16.6","PC3",0.00145658087171215,78.1307277647967,8.83915877019961,0.07774,0.32179
"8651_64.0165_16.6","PC4",-0.0211148143753209,69.3312296551443,8.32653767511709,0.06899,0.39077
"8651_64.0165_16.6","PC5",-0.0582669677797173,59.2218532428553,7.6955736136337,0.05893,0.4497
"8651_64.0165_16.6","PC6",-0.00931743131571721,57.9045480843128,7.60950380013787,0.05762,0.50732
"8651_64.0165_16.6","PC7",-0.020992014900745,49.7622364836795,7.05423535783146,0.04951,0.55683
"8651_64.0165_16.6","PC8",-0.0201581933707946,46.7655449837492,6.83853383290229,0.04653,0.60336
"8651_64.0165_16.6","PC9",-0.0478372101719793,41.5393927083848,6.44510610528522,0.04133,0.6447
"8651_64.0165_16.6","PC10",-0.0274705360923364,39.2395818855196,6.26415053183746,0.03904,0.68374
"8651_64.0165_16.6","PC11",-0.00976496494847415,37.1267944606612,6.09317605692312,0.03694,0.72068
"8651_64.0165_16.6","PC12",0.0134398138148849,35.184726747206,5.93167149690591,0.03501,0.75569
"8651_64.0165_16.6","PC13",0.0453793121197261,34.2705714111064,5.8541072257951,0.0341,0.78979
"8651_64.0165_16.6","PC14",-0.0778951031606215,32.4498558829729,5.69647749780274,0.03229,0.82208
"8651_64.0165_16.6","PC15",0.0409866856842997,29.4457815462588,5.42639673690182,0.0293,0.85138
"8651_64.0165_16.6","PC16",-0.0533327791320294,26.73834001181,5.17091287992846,0.02661,0.87799
"8651_64.0165_16.6","PC17",-0.00903614682716959,26.3318954241486,5.13146133417651,0.0262,0.90419
"8651_64.0165_16.6","PC18",-0.0123916406701996,25.720637321386,5.07155176660813,0.02559,0.92978
"8651_64.0165_16.6","PC19",0.032984809418045,25.0764289159149,5.00763705912428,0.02495,0.95473
"8651_64.0165_16.6","PC20",0.032260069857082,23.1794583373206,4.81450499400723,0.02306,0.97779
"8651_64.0165_16.6","PC21",-0.0275400148353724,22.3165118785948,4.72403555009854,0.02221,1
