"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"9492_61.0079_17.04","PC1",-0.0102598828741018,124.658051651532,11.1650370197117,0.12404,0.12404
"9492_61.0079_17.04","PC2",-0.00851584425817929,88.5851798083811,9.41197002802182,0.08814,0.21218
"9492_61.0079_17.04","PC3",-0.0679989965302388,76.1398862193126,8.72581722357927,0.07576,0.28794
"9492_61.0079_17.04","PC4",-0.0124843037600985,66.6072858299449,8.16132868042605,0.06628,0.35422
"9492_61.0079_17.04","PC5",0.0428374760152055,56.1591450981351,7.49394055875379,0.05588,0.4101
"9492_61.0079_17.04","PC6",0.0752703295938763,52.2819752861368,7.23062758591098,0.05202,0.46212
"9492_61.0079_17.04","PC7",0.0130057919192386,47.3935194963893,6.88429513431762,0.04716,0.50928
"9492_61.0079_17.04","PC8",-0.00180740875786511,44.8331237095219,6.69575415539743,0.04461,0.55389
"9492_61.0079_17.04","PC9",0.0119321361045766,40.9349103098612,6.3980395677005,0.04073,0.59462
"9492_61.0079_17.04","PC10",-0.0172363692329923,38.8674029929822,6.23437270244427,0.03867,0.63329
"9492_61.0079_17.04","PC11",-0.0418305394566104,36.0283630350147,6.00236312088953,0.03585,0.66914
"9492_61.0079_17.04","PC12",0.00914207005793343,34.6702575245895,5.88814550810266,0.0345,0.70364
"9492_61.0079_17.04","PC13",0.00674444591384648,33.9048239274084,5.82278489448205,0.03374,0.73738
"9492_61.0079_17.04","PC14",-0.00414887042401351,31.3525045688865,5.5993307250855,0.0312,0.76857
"9492_61.0079_17.04","PC15",0.00184203016155811,30.1160372570056,5.48780805577287,0.02997,0.79854
"9492_61.0079_17.04","PC16",0.0485087360303629,29.247708290704,5.40811504044654,0.0291,0.82764
"9492_61.0079_17.04","PC17",5.43462656404427e-05,27.701036713256,5.26317743509147,0.02756,0.85521
"9492_61.0079_17.04","PC18",0.0056681932930691,27.1363651046503,5.20925763469713,0.027,0.88221
"9492_61.0079_17.04","PC19",0.0121343442949626,26.3246766417839,5.13075790130307,0.02619,0.9084
"9492_61.0079_17.04","PC20",0.00133282821847297,24.7704293201799,4.9769899859433,0.02465,0.93305
"9492_61.0079_17.04","PC21",0.0385405955066319,23.6655866667112,4.86472883794269,0.02355,0.9566
"9492_61.0079_17.04","PC22",-0.0185884044307142,22.1527756466473,4.70667352241977,0.02204,0.97864
"9492_61.0079_17.04","PC23",0.0200879835041134,21.4689549009655,4.63346035927421,0.02136,1
"9492_61.0079_17.04","PC24",0.181215209174346,1.56749288417035e-28,1.25199556076304e-14,0,1
"8838_64.0165_16.96","PC1",0.0162186877168723,124.658051651532,11.1650370197117,0.12404,0.12404
"8838_64.0165_16.96","PC2",-0.0101190591357957,88.5851798083811,9.41197002802182,0.08814,0.21218
"8838_64.0165_16.96","PC3",0.031916197934606,76.1398862193126,8.72581722357927,0.07576,0.28794
"8838_64.0165_16.96","PC4",0.00946046669546943,66.6072858299449,8.16132868042605,0.06628,0.35422
"8838_64.0165_16.96","PC5",-0.0170498475196773,56.1591450981351,7.49394055875379,0.05588,0.4101
"8838_64.0165_16.96","PC6",-0.0414404939276926,52.2819752861368,7.23062758591098,0.05202,0.46212
"8838_64.0165_16.96","PC7",-0.0183424111225805,47.3935194963893,6.88429513431762,0.04716,0.50928
"8838_64.0165_16.96","PC8",-0.03905892409325,44.8331237095219,6.69575415539743,0.04461,0.55389
"8838_64.0165_16.96","PC9",-0.0384808396322367,40.9349103098612,6.3980395677005,0.04073,0.59462
"8838_64.0165_16.96","PC10",0.0455777622864649,38.8674029929822,6.23437270244427,0.03867,0.63329
"8838_64.0165_16.96","PC11",-0.0580691502197739,36.0283630350147,6.00236312088953,0.03585,0.66914
"8838_64.0165_16.96","PC12",0.00552981929339642,34.6702575245895,5.88814550810266,0.0345,0.70364
"8838_64.0165_16.96","PC13",0.00673913714145327,33.9048239274084,5.82278489448205,0.03374,0.73738
"8838_64.0165_16.96","PC14",0.048468674293288,31.3525045688865,5.5993307250855,0.0312,0.76857
"8838_64.0165_16.96","PC15",0.0731216128670668,30.1160372570056,5.48780805577287,0.02997,0.79854
"8838_64.0165_16.96","PC16",-0.00160368704343883,29.247708290704,5.40811504044654,0.0291,0.82764
"8838_64.0165_16.96","PC17",0.00219119760118107,27.701036713256,5.26317743509147,0.02756,0.85521
"8838_64.0165_16.96","PC18",0.0321579272540071,27.1363651046503,5.20925763469713,0.027,0.88221
"8838_64.0165_16.96","PC19",-0.0129545786999967,26.3246766417839,5.13075790130307,0.02619,0.9084
"8838_64.0165_16.96","PC20",-0.0757205013881405,24.7704293201799,4.9769899859433,0.02465,0.93305
"8838_64.0165_16.96","PC21",0.0190127261985332,23.6655866667112,4.86472883794269,0.02355,0.9566
"8838_64.0165_16.96","PC22",-0.0053201115536527,22.1527756466473,4.70667352241977,0.02204,0.97864
"8838_64.0165_16.96","PC23",0.00263846535772031,21.4689549009655,4.63346035927421,0.02136,1
"8838_64.0165_16.96","PC24",0.00902247943695433,1.56749288417035e-28,1.25199556076304e-14,0,1
"8651_64.0165_16.6","PC1",-0.0107897769392748,124.658051651532,11.1650370197117,0.12404,0.12404
"8651_64.0165_16.6","PC2",0.00373708755335915,88.5851798083811,9.41197002802182,0.08814,0.21218
"8651_64.0165_16.6","PC3",-0.0433078191390535,76.1398862193126,8.72581722357927,0.07576,0.28794
"8651_64.0165_16.6","PC4",-0.00925081372862765,66.6072858299449,8.16132868042605,0.06628,0.35422
"8651_64.0165_16.6","PC5",-0.000517091553206588,56.1591450981351,7.49394055875379,0.05588,0.4101
"8651_64.0165_16.6","PC6",-0.0228037656982201,52.2819752861368,7.23062758591098,0.05202,0.46212
"8651_64.0165_16.6","PC7",0.0170554007910508,47.3935194963893,6.88429513431762,0.04716,0.50928
"8651_64.0165_16.6","PC8",0.0212467184405314,44.8331237095219,6.69575415539743,0.04461,0.55389
"8651_64.0165_16.6","PC9",-0.0153008176977278,40.9349103098612,6.3980395677005,0.04073,0.59462
"8651_64.0165_16.6","PC10",0.00135649577488749,38.8674029929822,6.23437270244427,0.03867,0.63329
