"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"6205_66.0083_16.73","PC1",-0.0546416474010838,107.193591005158,10.3534337784697,0.20496,0.20496
"6205_66.0083_16.73","PC2",0.0201022073992543,39.8485310611427,6.3125692915914,0.07619,0.28115
"6205_66.0083_16.73","PC3",-0.0304796893553735,37.0765352769575,6.08905044132149,0.07089,0.35204
"6205_66.0083_16.73","PC4",0.0215106042532682,34.0718656413783,5.83711106981684,0.06515,0.41719
"6205_66.0083_16.73","PC5",0.0840763743942675,30.8317676130084,5.55263609585649,0.05895,0.47614
"6205_66.0083_16.73","PC6",-0.0375594335419023,29.2944862288945,5.41243810393195,0.05601,0.53215
"6205_66.0083_16.73","PC7",-0.0143854652221409,28.0501140700188,5.29623583972794,0.05363,0.58579
"6205_66.0083_16.73","PC8",0.00508567423480403,26.1984555082706,5.11844268389035,0.05009,0.63588
"6205_66.0083_16.73","PC9",-0.0418060629187864,25.2413501096542,5.02407704057713,0.04826,0.68414
"6205_66.0083_16.73","PC10",-0.0138423562148787,23.0705102707926,4.80317710175178,0.04411,0.72825
"6205_66.0083_16.73","PC11",-0.0391199639335715,22.0089059749929,4.69136504388572,0.04208,0.77034
"6205_66.0083_16.73","PC12",-0.0230497877633756,20.0092558920635,4.47317067548998,0.03826,0.8086
"6205_66.0083_16.73","PC13",-0.0163699072706471,18.8661091327195,4.34351345487953,0.03607,0.84467
"6205_66.0083_16.73","PC14",0.0650821549474863,17.4866768536195,4.18170740889646,0.03344,0.8781
"6205_66.0083_16.73","PC15",-0.021786911286578,16.839372285136,4.10358042264753,0.0322,0.9103
"6205_66.0083_16.73","PC16",-0.0355693809363166,16.5566450179662,4.06898574806625,0.03166,0.94196
"6205_66.0083_16.73","PC17",-0.0100725363497949,16.010569491956,4.00132096837482,0.03061,0.97257
"6205_66.0083_16.73","PC18",0.100658618866821,14.3452585662707,3.78751350707436,0.02743,1
"6205_66.0083_16.73","PC19",-0.178187407081363,1.21927621683309e-29,3.49181359301021e-15,0,1
"4034_83.0236_15.9","PC1",-0.0165694979066418,107.193591005158,10.3534337784697,0.20496,0.20496
"4034_83.0236_15.9","PC2",-0.0444163189108294,39.8485310611427,6.3125692915914,0.07619,0.28115
"4034_83.0236_15.9","PC3",0.109964989899694,37.0765352769575,6.08905044132149,0.07089,0.35204
"4034_83.0236_15.9","PC4",0.00420448110250302,34.0718656413783,5.83711106981684,0.06515,0.41719
"4034_83.0236_15.9","PC5",0.0461992064064412,30.8317676130084,5.55263609585649,0.05895,0.47614
"4034_83.0236_15.9","PC6",-0.0481301048263242,29.2944862288945,5.41243810393195,0.05601,0.53215
"4034_83.0236_15.9","PC7",-0.0367862904557585,28.0501140700188,5.29623583972794,0.05363,0.58579
"4034_83.0236_15.9","PC8",0.0379778373128705,26.1984555082706,5.11844268389035,0.05009,0.63588
"4034_83.0236_15.9","PC9",-0.0302377462203437,25.2413501096542,5.02407704057713,0.04826,0.68414
"4034_83.0236_15.9","PC10",-0.0211246082040169,23.0705102707926,4.80317710175178,0.04411,0.72825
"4034_83.0236_15.9","PC11",-0.0139156917864801,22.0089059749929,4.69136504388572,0.04208,0.77034
"4034_83.0236_15.9","PC12",0.0194355881846827,20.0092558920635,4.47317067548998,0.03826,0.8086
"4034_83.0236_15.9","PC13",-0.0153790602766091,18.8661091327195,4.34351345487953,0.03607,0.84467
"4034_83.0236_15.9","PC14",0.0220432133413928,17.4866768536195,4.18170740889646,0.03344,0.8781
"4034_83.0236_15.9","PC15",0.0170669351503038,16.839372285136,4.10358042264753,0.0322,0.9103
"4034_83.0236_15.9","PC16",-0.00791790312156629,16.5566450179662,4.06898574806625,0.03166,0.94196
"4034_83.0236_15.9","PC17",0.00625938751838101,16.010569491956,4.00132096837482,0.03061,0.97257
"4034_83.0236_15.9","PC18",0.108500794505892,14.3452585662707,3.78751350707436,0.02743,1
"4034_83.0236_15.9","PC19",0.0968976496818961,1.21927621683309e-29,3.49181359301021e-15,0,1
"3564_83.0236_15.63","PC1",0.0541541487636625,107.193591005158,10.3534337784697,0.20496,0.20496
"3564_83.0236_15.63","PC2",0.0484762599196716,39.8485310611427,6.3125692915914,0.07619,0.28115
"3564_83.0236_15.63","PC3",-0.040729226461519,37.0765352769575,6.08905044132149,0.07089,0.35204
"3564_83.0236_15.63","PC4",0.0537256539286221,34.0718656413783,5.83711106981684,0.06515,0.41719
"3564_83.0236_15.63","PC5",0.0142039561188059,30.8317676130084,5.55263609585649,0.05895,0.47614
"3564_83.0236_15.63","PC6",0.0692518771416882,29.2944862288945,5.41243810393195,0.05601,0.53215
"3564_83.0236_15.63","PC7",0.0401467051011863,28.0501140700188,5.29623583972794,0.05363,0.58579
"3564_83.0236_15.63","PC8",-0.0712130079425131,26.1984555082706,5.11844268389035,0.05009,0.63588
"3564_83.0236_15.63","PC9",0.00904587235887388,25.2413501096542,5.02407704057713,0.04826,0.68414
"3564_83.0236_15.63","PC10",0.0256688516949229,23.0705102707926,4.80317710175178,0.04411,0.72825
"3564_83.0236_15.63","PC11",0.0185074082894747,22.0089059749929,4.69136504388572,0.04208,0.77034
"3564_83.0236_15.63","PC12",-0.0315987924540085,20.0092558920635,4.47317067548998,0.03826,0.8086
"3564_83.0236_15.63","PC13",0.00416707825327287,18.8661091327195,4.34351345487953,0.03607,0.84467
"3564_83.0236_15.63","PC14",-0.0377160107096215,17.4866768536195,4.18170740889646,0.03344,0.8781
"3564_83.0236_15.63","PC15",-0.0227935635005764,16.839372285136,4.10358042264753,0.0322,0.9103
"3564_83.0236_15.63","PC16",0.0309244286813922,16.5566450179662,4.06898574806625,0.03166,0.94196
"3564_83.0236_15.63","PC17",-0.0134906106313735,16.010569491956,4.00132096837482,0.03061,0.97257
"3564_83.0236_15.63","PC18",-0.0262419465296289,14.3452585662707,3.78751350707436,0.02743,1
"3564_83.0236_15.63","PC19",-0.0671088927495227,1.21927621683309e-29,3.49181359301021e-15,0,1
"6267_83.0236_16.64","PC1",-0.00195255968730261,107.193591005158,10.3534337784697,0.20496,0.20496
