"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"6205_66.0083_16.73","PC1",0.00420442505640849,95.5383667606171,9.77437295997125,0.18267,0.18267
"6205_66.0083_16.73","PC2",0.0543979336760017,38.3493089785792,6.19268188901862,0.07333,0.256
"6205_66.0083_16.73","PC3",0.0336076325732902,34.1385848829734,5.84282336571742,0.06527,0.32127
"6205_66.0083_16.73","PC4",-0.0526775641792417,31.9614757517094,5.65344812939054,0.06111,0.38239
"6205_66.0083_16.73","PC5",0.0149904432378345,28.9706172522126,5.38243599610925,0.05539,0.43778
"6205_66.0083_16.73","PC6",0.0200017019863283,28.342848315464,5.3238001761396,0.05419,0.49197
"6205_66.0083_16.73","PC7",0.0589532673736601,26.4062962540788,5.13870569833288,0.05049,0.54246
"6205_66.0083_16.73","PC8",-0.0180671140389197,25.6840943702644,5.06794774738892,0.04911,0.59157
"6205_66.0083_16.73","PC9",0.0716591286168456,24.9294184697593,4.99293685817869,0.04767,0.63924
"6205_66.0083_16.73","PC10",-0.0275657994640715,23.4072701977193,4.83810605482345,0.04476,0.68399
"6205_66.0083_16.73","PC11",0.0193757656590086,22.8613873116463,4.78135831240938,0.04371,0.7277
"6205_66.0083_16.73","PC12",-0.0481538979386928,21.8019312692279,4.66925382360264,0.04169,0.76939
"6205_66.0083_16.73","PC13",0.100297387478879,20.532061838566,4.53123182352944,0.03926,0.80865
"6205_66.0083_16.73","PC14",-0.0111082730287639,19.0807078113398,4.36814695395425,0.03648,0.84513
"6205_66.0083_16.73","PC15",-0.04806116947722,18.7155790831227,4.32615060800277,0.03579,0.88092
"6205_66.0083_16.73","PC16",-0.00416443600286823,17.5917532218311,4.19425240320979,0.03364,0.91455
"6205_66.0083_16.73","PC17",0.0902207252705049,16.7584862879768,4.09371301973854,0.03204,0.9466
"6205_66.0083_16.73","PC18",0.0351267213891116,14.8978488936707,3.85977316609029,0.02849,0.97508
"6205_66.0083_16.73","PC19",-0.0458616845183724,13.0319630492409,3.60998103170099,0.02492,1
"6205_66.0083_16.73","PC20",0.269741170373619,1.94705524554755e-29,4.41254489557619e-15,0,1
"4034_83.0236_15.9","PC1",-0.0144011760960167,95.5383667606171,9.77437295997125,0.18267,0.18267
"4034_83.0236_15.9","PC2",0.0431321297371565,38.3493089785792,6.19268188901862,0.07333,0.256
"4034_83.0236_15.9","PC3",0.039718754425318,34.1385848829734,5.84282336571742,0.06527,0.32127
"4034_83.0236_15.9","PC4",-0.00795790322014978,31.9614757517094,5.65344812939054,0.06111,0.38239
"4034_83.0236_15.9","PC5",0.0803776791863906,28.9706172522126,5.38243599610925,0.05539,0.43778
"4034_83.0236_15.9","PC6",-0.0389886013551212,28.342848315464,5.3238001761396,0.05419,0.49197
"4034_83.0236_15.9","PC7",0.0624298845979088,26.4062962540788,5.13870569833288,0.05049,0.54246
"4034_83.0236_15.9","PC8",0.0225943108050756,25.6840943702644,5.06794774738892,0.04911,0.59157
"4034_83.0236_15.9","PC9",-0.00810446086076018,24.9294184697593,4.99293685817869,0.04767,0.63924
"4034_83.0236_15.9","PC10",0.0574266364804712,23.4072701977193,4.83810605482345,0.04476,0.68399
"4034_83.0236_15.9","PC11",0.0173899012447391,22.8613873116463,4.78135831240938,0.04371,0.7277
"4034_83.0236_15.9","PC12",0.0340304454934683,21.8019312692279,4.66925382360264,0.04169,0.76939
"4034_83.0236_15.9","PC13",-0.023765657486294,20.532061838566,4.53123182352944,0.03926,0.80865
"4034_83.0236_15.9","PC14",-0.022069292040464,19.0807078113398,4.36814695395425,0.03648,0.84513
"4034_83.0236_15.9","PC15",-0.0745006320911085,18.7155790831227,4.32615060800277,0.03579,0.88092
"4034_83.0236_15.9","PC16",-0.116825845498275,17.5917532218311,4.19425240320979,0.03364,0.91455
"4034_83.0236_15.9","PC17",-0.026807595722853,16.7584862879768,4.09371301973854,0.03204,0.9466
"4034_83.0236_15.9","PC18",0.0315185738819109,14.8978488936707,3.85977316609029,0.02849,0.97508
"4034_83.0236_15.9","PC19",0.0174753617268871,13.0319630492409,3.60998103170099,0.02492,1
"4034_83.0236_15.9","PC20",-0.0137231908190846,1.94705524554755e-29,4.41254489557619e-15,0,1
"3564_83.0236_15.63","PC1",-0.00133206038557576,95.5383667606171,9.77437295997125,0.18267,0.18267
"3564_83.0236_15.63","PC2",0.0284143362587868,38.3493089785792,6.19268188901862,0.07333,0.256
"3564_83.0236_15.63","PC3",0.0290482514232846,34.1385848829734,5.84282336571742,0.06527,0.32127
"3564_83.0236_15.63","PC4",-0.0541278863165308,31.9614757517094,5.65344812939054,0.06111,0.38239
"3564_83.0236_15.63","PC5",-0.0986435378575018,28.9706172522126,5.38243599610925,0.05539,0.43778
"3564_83.0236_15.63","PC6",-0.0146105213754498,28.342848315464,5.3238001761396,0.05419,0.49197
"3564_83.0236_15.63","PC7",0.0181507609883858,26.4062962540788,5.13870569833288,0.05049,0.54246
"3564_83.0236_15.63","PC8",0.0627094260346441,25.6840943702644,5.06794774738892,0.04911,0.59157
"3564_83.0236_15.63","PC9",-0.0416881481890614,24.9294184697593,4.99293685817869,0.04767,0.63924
"3564_83.0236_15.63","PC10",-0.0766206074903604,23.4072701977193,4.83810605482345,0.04476,0.68399
"3564_83.0236_15.63","PC11",0.0133728859886424,22.8613873116463,4.78135831240938,0.04371,0.7277
"3564_83.0236_15.63","PC12",0.0399243350274846,21.8019312692279,4.66925382360264,0.04169,0.76939
"3564_83.0236_15.63","PC13",0.0392422189148132,20.532061838566,4.53123182352944,0.03926,0.80865
"3564_83.0236_15.63","PC14",0.0171657306046399,19.0807078113398,4.36814695395425,0.03648,0.84513
"3564_83.0236_15.63","PC15",0.0803132541574492,18.7155790831227,4.32615060800277,0.03579,0.88092
"3564_83.0236_15.63","PC16",0.0276612413838575,17.5917532218311,4.19425240320979,0.03364,0.91455
"3564_83.0236_15.63","PC17",-0.0200659381827313,16.7584862879768,4.09371301973854,0.03204,0.9466
"3564_83.0236_15.63","PC18",-0.0492150502956775,14.8978488936707,3.85977316609029,0.02849,0.97508
"3564_83.0236_15.63","PC19",-0.0338519436739544,13.0319630492409,3.60998103170099,0.02492,1
"3564_83.0236_15.63","PC20",-0.337426761633778,1.94705524554755e-29,4.41254489557619e-15,0,1
"6267_83.0236_16.64","PC1",-0.00757429086909821,95.5383667606171,9.77437295997125,0.18267,0.18267
"6267_83.0236_16.64","PC2",0.0403582816197449,38.3493089785792,6.19268188901862,0.07333,0.256
"6267_83.0236_16.64","PC3",-0.0200640184812041,34.1385848829734,5.84282336571742,0.06527,0.32127
"6267_83.0236_16.64","PC4",-0.0549834618227681,31.9614757517094,5.65344812939054,0.06111,0.38239
"6267_83.0236_16.64","PC5",0.0393791600024391,28.9706172522126,5.38243599610925,0.05539,0.43778
"6267_83.0236_16.64","PC6",-0.0643731028797705,28.342848315464,5.3238001761396,0.05419,0.49197
"6267_83.0236_16.64","PC7",-0.0126648582084452,26.4062962540788,5.13870569833288,0.05049,0.54246
"6267_83.0236_16.64","PC8",0.00959192980935977,25.6840943702644,5.06794774738892,0.04911,0.59157
"6267_83.0236_16.64","PC9",-0.0338600172540953,24.9294184697593,4.99293685817869,0.04767,0.63924
"6267_83.0236_16.64","PC10",0.0658324319748621,23.4072701977193,4.83810605482345,0.04476,0.68399
"6267_83.0236_16.64","PC11",-0.00807979958517602,22.8613873116463,4.78135831240938,0.04371,0.7277
"6267_83.0236_16.64","PC12",-0.00445010629146763,21.8019312692279,4.66925382360264,0.04169,0.76939
"6267_83.0236_16.64","PC13",0.115872907660117,20.532061838566,4.53123182352944,0.03926,0.80865
"6267_83.0236_16.64","PC14",-0.0832553277247842,19.0807078113398,4.36814695395425,0.03648,0.84513
"6267_83.0236_16.64","PC15",-0.000428639192936229,18.7155790831227,4.32615060800277,0.03579,0.88092
"6267_83.0236_16.64","PC16",0.0695288301127971,17.5917532218311,4.19425240320979,0.03364,0.91455
"6267_83.0236_16.64","PC17",-0.0303366165924499,16.7584862879768,4.09371301973854,0.03204,0.9466
"6267_83.0236_16.64","PC18",-0.0279506030977931,14.8978488936707,3.85977316609029,0.02849,0.97508
