"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"9492_61.0079_17.04","PC1",-0.0589491921025727,163.70176550899,12.7945990757425,0.16289,0.16289
"9492_61.0079_17.04","PC2",-0.0271149885561432,99.1599857626001,9.95791071272484,0.09867,0.26155
"9492_61.0079_17.04","PC3",-0.0201381435300009,88.3011734561602,9.39687040754315,0.08786,0.34942
"9492_61.0079_17.04","PC4",-0.0113111192062824,74.351522870553,8.62273291193419,0.07398,0.4234
"9492_61.0079_17.04","PC5",0.0179401943431477,63.2331679463559,7.95192856773474,0.06292,0.48632
"9492_61.0079_17.04","PC6",-0.0194540602234279,56.1231789915083,7.49154049521914,0.05584,0.54216
"9492_61.0079_17.04","PC7",-0.0132854686937675,52.8011553961297,7.26644035247863,0.05254,0.5947
"9492_61.0079_17.04","PC8",0.0335496204401869,46.9017280864204,6.84848363409159,0.04667,0.64137
"9492_61.0079_17.04","PC9",-0.0563636083247347,46.2544409994647,6.80106175530444,0.04602,0.68739
"9492_61.0079_17.04","PC10",0.0100645915705702,42.6769211477663,6.53275754546013,0.04246,0.72986
"9492_61.0079_17.04","PC11",0.00781377359892575,40.8358052292441,6.39028991746416,0.04063,0.77049
"9492_61.0079_17.04","PC12",0.00230603596516497,38.0216981049762,6.16617370051932,0.03783,0.80832
"9492_61.0079_17.04","PC13",0.0291962342391645,35.0196370655163,5.91773918532375,0.03485,0.84317
"9492_61.0079_17.04","PC14",-0.00306589986968533,33.6559670821451,5.80137630930326,0.03349,0.87665
"9492_61.0079_17.04","PC15",0.00487013438630768,33.201197010779,5.76204798754566,0.03304,0.90969
"9492_61.0079_17.04","PC16",-0.00822413110948323,32.1469474669066,5.6698278163368,0.03199,0.94168
"9492_61.0079_17.04","PC17",0.0199665617726231,30.6550405097114,5.53669942381844,0.0305,0.97218
"9492_61.0079_17.04","PC18",-0.0188096776222725,27.9586673647732,5.28759561282566,0.02782,1
"9492_61.0079_17.04","PC19",0.0489426033128394,1.73555576213083e-28,1.31740493476031e-14,0,1
"8838_64.0165_16.96","PC1",0.00138829221303838,163.70176550899,12.7945990757425,0.16289,0.16289
"8838_64.0165_16.96","PC2",-0.00301530904616332,99.1599857626001,9.95791071272484,0.09867,0.26155
"8838_64.0165_16.96","PC3",0.0296587913914794,88.3011734561602,9.39687040754315,0.08786,0.34942
"8838_64.0165_16.96","PC4",-0.0250530511847697,74.351522870553,8.62273291193419,0.07398,0.4234
"8838_64.0165_16.96","PC5",-0.0373221911567779,63.2331679463559,7.95192856773474,0.06292,0.48632
"8838_64.0165_16.96","PC6",0.00672757564188942,56.1231789915083,7.49154049521914,0.05584,0.54216
"8838_64.0165_16.96","PC7",0.049647023950917,52.8011553961297,7.26644035247863,0.05254,0.5947
"8838_64.0165_16.96","PC8",-0.0460160043419802,46.9017280864204,6.84848363409159,0.04667,0.64137
"8838_64.0165_16.96","PC9",0.00410065757360042,46.2544409994647,6.80106175530444,0.04602,0.68739
"8838_64.0165_16.96","PC10",0.00366030809859349,42.6769211477663,6.53275754546013,0.04246,0.72986
"8838_64.0165_16.96","PC11",-0.0854451476746922,40.8358052292441,6.39028991746416,0.04063,0.77049
"8838_64.0165_16.96","PC12",0.0244486599227839,38.0216981049762,6.16617370051932,0.03783,0.80832
"8838_64.0165_16.96","PC13",0.0235573977274154,35.0196370655163,5.91773918532375,0.03485,0.84317
"8838_64.0165_16.96","PC14",-0.00639898440576908,33.6559670821451,5.80137630930326,0.03349,0.87665
"8838_64.0165_16.96","PC15",-0.066742353120186,33.201197010779,5.76204798754566,0.03304,0.90969
"8838_64.0165_16.96","PC16",0.0266483287416989,32.1469474669066,5.6698278163368,0.03199,0.94168
"8838_64.0165_16.96","PC17",-0.0256462331953526,30.6550405097114,5.53669942381844,0.0305,0.97218
"8838_64.0165_16.96","PC18",0.0270447532661379,27.9586673647732,5.28759561282566,0.02782,1
"8838_64.0165_16.96","PC19",-0.0608023214123373,1.73555576213083e-28,1.31740493476031e-14,0,1
"8651_64.0165_16.6","PC1",0.0378668377713558,163.70176550899,12.7945990757425,0.16289,0.16289
"8651_64.0165_16.6","PC2",-0.00128498057231243,99.1599857626001,9.95791071272484,0.09867,0.26155
"8651_64.0165_16.6","PC3",-0.00309237227534888,88.3011734561602,9.39687040754315,0.08786,0.34942
"8651_64.0165_16.6","PC4",-0.0221787275396813,74.351522870553,8.62273291193419,0.07398,0.4234
