"sample_name","cluster_order"
"S41_neg.mzML",1
"S21_neg.mzML",2
"S38_neg.mzML",3
"S43_neg.mzML",4
"S28_neg.mzML",5
"S37_neg.mzML",6
"S34_neg.mzML",7
"S31_neg.mzML",8
"S06_neg.mzML",9
"S26_neg.mzML",10
"S19_neg.mzML",11
"S17_neg.mzML",12
"S18_neg.mzML",13
"S05_neg.mzML",14
"S12_neg.mzML",15
"S11_neg.mzML",16
"S32_neg.mzML",17
"S16_neg.mzML",18
"S09_neg.mzML",19
"S15_neg.mzML",20
"S04_neg.mzML",21
"S27_neg.mzML",22
"S30_neg.mzML",23
"S02_neg.mzML",24
"S07_neg.mzML",25
"S10_neg.mzML",26
"S22_neg.mzML",27
"S23_neg.mzML",28
"S29_neg.mzML",29
"S03_neg.mzML",30
"S42_neg.mzML",31
"S24_neg.mzML",32
"S40_neg.mzML",33
"S14_neg.mzML",34
"S25_neg.mzML",35
"S46_neg.mzML",36
"S20_neg.mzML",37
"S13_neg.mzML",38
"S01_neg.mzML",39
"S08_neg.mzML",40
"S36_neg.mzML",41
"S35_neg.mzML",42
"S39_neg.mzML",43
