"sample_name","cluster_order"
"S43_pos.mzML",1
"S11_pos.mzML",2
"S46_pos.mzML",3
"S27_pos.mzML",4
"S24_pos.mzML",5
"S18_pos.mzML",6
"S02_pos.mzML",7
"S04_pos.mzML",8
"S08_pos.mzML",9
"S21_pos.mzML",10
"S10_pos.mzML",11
"S13_pos.mzML",12
"S15_pos.mzML",13
"S09_pos.mzML",14
"S30_pos.mzML",15
"S23_pos.mzML",16
"S34_pos.mzML",17
"S14_pos.mzML",18
"S29_pos.mzML",19
"S16_pos.mzML",20
"S26_pos.mzML",21
"S28_pos.mzML",22
"S32_pos.mzML",23
"S05_pos.mzML",24
"S37_pos.mzML",25
"S40_pos.mzML",26
"S07_pos.mzML",27
"S03_pos.mzML",28
"S17_pos.mzML",29
"S06_pos.mzML",30
"S20_pos.mzML",31
"S01_pos.mzML",32
"S12_pos.mzML",33
"S22_pos.mzML",34
"S38_pos.mzML",35
"S39_pos.mzML",36
"S35_pos.mzML",37
"S36_pos.mzML",38
"S19_pos.mzML",39
"S31_pos.mzML",40
"S41_pos.mzML",41
"S42_pos.mzML",42
