"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"1","PC1",0.0514612854962023,143.774299937228,11.9905921428939,0.14306,0.14306
"1","PC2",0.0082288022109134,101.489583316951,10.0742038552409,0.10098,0.24404
"1","PC3",-0.011343985750618,78.1307277647967,8.83915877019961,0.07774,0.32179
"1","PC4",0.0158256195135137,69.3312296551443,8.32653767511709,0.06899,0.39077
"1","PC5",0.00377079044437771,59.2218532428553,7.6955736136337,0.05893,0.4497
"1","PC6",-0.0505137474306778,57.9045480843128,7.60950380013787,0.05762,0.50732
"1","PC7",0.0664695317133619,49.7622364836795,7.05423535783146,0.04951,0.55683
"1","PC8",-0.0207593276395221,46.7655449837492,6.83853383290229,0.04653,0.60336
"1","PC9",-0.0332419891322035,41.5393927083848,6.44510610528522,0.04133,0.6447
"1","PC10",-0.00821838415539604,39.2395818855196,6.26415053183746,0.03904,0.68374
"1","PC11",0.0576044283701229,37.1267944606612,6.09317605692312,0.03694,0.72068
"1","PC12",0.000392051376499803,35.184726747206,5.93167149690591,0.03501,0.75569
"1","PC13",-0.00499858934021774,34.2705714111064,5.8541072257951,0.0341,0.78979
"1","PC14",0.00437349714290546,32.4498558829729,5.69647749780274,0.03229,0.82208
"1","PC15",0.000717918090262076,29.4457815462588,5.42639673690182,0.0293,0.85138
"1","PC16",-0.00247824637349399,26.73834001181,5.17091287992846,0.02661,0.87799
"1","PC17",0.00515839871829349,26.3318954241486,5.13146133417651,0.0262,0.90419
"1","PC18",0.00889143154834005,25.720637321386,5.07155176660813,0.02559,0.92978
"1","PC19",0.00975423043848907,25.0764289159149,5.00763705912428,0.02495,0.95473
"1","PC20",0.0235036688890335,23.1794583373206,4.81450499400723,0.02306,0.97779
"1","PC21",0.0149902140082149,22.3165118785948,4.72403555009854,0.02221,1
"1","PC22",0.033322283019924,1.61382120149931e-28,1.27036262598492e-14,0,1
"2","PC1",0.0126099333579019,143.774299937228,11.9905921428939,0.14306,0.14306
"2","PC2",0.0127622320127743,101.489583316951,10.0742038552409,0.10098,0.24404
"2","PC3",0.0245463378103685,78.1307277647967,8.83915877019961,0.07774,0.32179
"2","PC4",-0.0369770464844982,69.3312296551443,8.32653767511709,0.06899,0.39077
"2","PC5",0.00949476830596896,59.2218532428553,7.6955736136337,0.05893,0.4497
"2","PC6",0.0650609070533737,57.9045480843128,7.60950380013787,0.05762,0.50732
"2","PC7",-0.0123885185762945,49.7622364836795,7.05423535783146,0.04951,0.55683
"2","PC8",0.0486379051494784,46.7655449837492,6.83853383290229,0.04653,0.60336
"2","PC9",0.0102046291575279,41.5393927083848,6.44510610528522,0.04133,0.6447
"2","PC10",0.0527331535913719,39.2395818855196,6.26415053183746,0.03904,0.68374
"2","PC11",0.0141047125179421,37.1267944606612,6.09317605692312,0.03694,0.72068
"2","PC12",-0.0502522575087199,35.184726747206,5.93167149690591,0.03501,0.75569
"2","PC13",0.00778090772784554,34.2705714111064,5.8541072257951,0.0341,0.78979
"2","PC14",-0.0131901075197757,32.4498558829729,5.69647749780274,0.03229,0.82208
"2","PC15",-0.0149386302669528,29.4457815462588,5.42639673690182,0.0293,0.85138
"2","PC16",-0.0238464883512327,26.73834001181,5.17091287992846,0.02661,0.87799
"2","PC17",-0.026704578044664,26.3318954241486,5.13146133417651,0.0262,0.90419
"2","PC18",0.0573292486125737,25.720637321386,5.07155176660813,0.02559,0.92978
"2","PC19",-0.0379545430895767,25.0764289159149,5.00763705912428,0.02495,0.95473
"2","PC20",-0.0551816682047579,23.1794583373206,4.81450499400723,0.02306,0.97779
"2","PC21",-0.00609351163282262,22.3165118785948,4.72403555009854,0.02221,1
"2","PC22",-0.0718841079725051,1.61382120149931e-28,1.27036262598492e-14,0,1
"3","PC1",-0.0261834469900566,143.774299937228,11.9905921428939,0.14306,0.14306
"3","PC2",0.0145047183200854,101.489583316951,10.0742038552409,0.10098,0.24404
"3","PC3",0.00145658087171215,78.1307277647967,8.83915877019961,0.07774,0.32179
"3","PC4",-0.0211148143753209,69.3312296551443,8.32653767511709,0.06899,0.39077
"3","PC5",-0.0582669677797173,59.2218532428553,7.6955736136337,0.05893,0.4497
"3","PC6",-0.00931743131571721,57.9045480843128,7.60950380013787,0.05762,0.50732
"3","PC7",-0.020992014900745,49.7622364836795,7.05423535783146,0.04951,0.55683
"3","PC8",-0.0201581933707946,46.7655449837492,6.83853383290229,0.04653,0.60336
"3","PC9",-0.0478372101719793,41.5393927083848,6.44510610528522,0.04133,0.6447
"3","PC10",-0.0274705360923364,39.2395818855196,6.26415053183746,0.03904,0.68374
"3","PC11",-0.00976496494847415,37.1267944606612,6.09317605692312,0.03694,0.72068
"3","PC12",0.0134398138148849,35.184726747206,5.93167149690591,0.03501,0.75569
"3","PC13",0.0453793121197261,34.2705714111064,5.8541072257951,0.0341,0.78979
"3","PC14",-0.0778951031606215,32.4498558829729,5.69647749780274,0.03229,0.82208
"3","PC15",0.0409866856842997,29.4457815462588,5.42639673690182,0.0293,0.85138
"3","PC16",-0.0533327791320294,26.73834001181,5.17091287992846,0.02661,0.87799
"3","PC17",-0.00903614682716959,26.3318954241486,5.13146133417651,0.0262,0.90419
"3","PC18",-0.0123916406701996,25.720637321386,5.07155176660813,0.02559,0.92978
"3","PC19",0.032984809418045,25.0764289159149,5.00763705912428,0.02495,0.95473
"3","PC20",0.032260069857082,23.1794583373206,4.81450499400723,0.02306,0.97779
"3","PC21",-0.0275400148353724,22.3165118785948,4.72403555009854,0.02221,1
"3","PC22",0.101382111269293,1.61382120149931e-28,1.27036262598492e-14,0,1
"4","PC1",0.0109062703564208,143.774299937228,11.9905921428939,0.14306,0.14306
"4","PC2",-0.0188920179756453,101.489583316951,10.0742038552409,0.10098,0.24404
"4","PC3",-0.013462941616695,78.1307277647967,8.83915877019961,0.07774,0.32179
"4","PC4",0.0245279741643534,69.3312296551443,8.32653767511709,0.06899,0.39077
"4","PC5",0.0241232973989226,59.2218532428553,7.6955736136337,0.05893,0.4497
"4","PC6",0.0142452208480135,57.9045480843128,7.60950380013787,0.05762,0.50732
"4","PC7",-0.0460357025215195,49.7622364836795,7.05423535783146,0.04951,0.55683
"4","PC8",-0.0319620846369132,46.7655449837492,6.83853383290229,0.04653,0.60336
"4","PC9",-0.0283111605231777,41.5393927083848,6.44510610528522,0.04133,0.6447
"4","PC10",-0.0391638110480516,39.2395818855196,6.26415053183746,0.03904,0.68374
"4","PC11",0.0403627111727853,37.1267944606612,6.09317605692312,0.03694,0.72068
"4","PC12",-0.0251674620233064,35.184726747206,5.93167149690591,0.03501,0.75569
"4","PC13",0.00794722761944836,34.2705714111064,5.8541072257951,0.0341,0.78979
"4","PC14",0.00414446531230278,32.4498558829729,5.69647749780274,0.03229,0.82208
"4","PC15",0.0280243593309905,29.4457815462588,5.42639673690182,0.0293,0.85138
