"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"1","PC1",0.00821781474661878,86.9113920697961,9.32262795942196,0.16618,0.16618
"1","PC2",-0.0462089825625251,37.3624688851951,6.11248467361637,0.07144,0.23762
"1","PC3",-0.00435436112172655,29.2418164107183,5.40757028717318,0.05591,0.29353
"1","PC4",-0.052088090154492,28.5035957537556,5.33887588858887,0.0545,0.34803
"1","PC5",-0.00411301826588961,26.6692093831483,5.16422398653934,0.05099,0.39902
"1","PC6",-0.0607977726832859,26.03487663139,5.10243830255595,0.04978,0.4488
"1","PC7",0.0407698852913072,23.1202606555691,4.80835321659808,0.04421,0.49301
"1","PC8",0.0517777469763012,22.2196711308097,4.71377461603859,0.04249,0.53549
"1","PC9",-0.00167105969494287,21.2252016035593,4.60708167971432,0.04058,0.57608
"1","PC10",-0.0301672910871123,20.3963861686086,4.51623584067623,0.039,0.61508
"1","PC11",0.0712159360495259,20.113705684364,4.48483061936168,0.03846,0.65353
"1","PC12",-0.0558799717828873,19.3809821469864,4.40238368920593,0.03706,0.69059
"1","PC13",-0.0142645557358805,18.452300857921,4.29561414211298,0.03528,0.72587
"1","PC14",-0.0466080724435808,17.5354440081172,4.18753435903721,0.03353,0.7594
"1","PC15",0.029739183708661,17.1119555510681,4.13665995110404,0.03272,0.79212
"1","PC16",-0.021226220541324,16.7043275046964,4.08709279374672,0.03194,0.82406
"1","PC17",0.0238092913423721,15.3542735055378,3.91845294798059,0.02936,0.85342
"1","PC18",-0.0547502277897228,14.8573194010824,3.85451934760774,0.02841,0.88183
"1","PC19",-0.084713876787879,13.9891947278319,3.74021319283165,0.02675,0.90857
"1","PC20",-0.0667335495080213,13.6239090489833,3.69105798504755,0.02605,0.93462
"1","PC21",0.0867776708811698,12.3729362417389,3.51751847781058,0.02366,0.95828
"1","PC22",-0.0511024534126216,11.45796806009,3.38496204706788,0.02191,0.98019
"1","PC23",-0.0752822347287741,10.3608045690328,3.21882036917763,0.01981,1
"1","PC24",-0.0775805182674242,1.50234341581186e-29,3.87600750233002e-15,0,1
"2","PC1",-0.0260059820067964,86.9113920697961,9.32262795942196,0.16618,0.16618
"2","PC2",-0.0245491829708178,37.3624688851951,6.11248467361637,0.07144,0.23762
"2","PC3",-0.0783448827058636,29.2418164107183,5.40757028717318,0.05591,0.29353
"2","PC4",-0.0396889387831136,28.5035957537556,5.33887588858887,0.0545,0.34803
"2","PC5",-0.0152553041634135,26.6692093831483,5.16422398653934,0.05099,0.39902
"2","PC6",0.0261322247803594,26.03487663139,5.10243830255595,0.04978,0.4488
"2","PC7",0.0458512286336325,23.1202606555691,4.80835321659808,0.04421,0.49301
"2","PC8",-0.0047238640170863,22.2196711308097,4.71377461603859,0.04249,0.53549
"2","PC9",0.0858720407499958,21.2252016035593,4.60708167971432,0.04058,0.57608
"2","PC10",0.00702053474868453,20.3963861686086,4.51623584067623,0.039,0.61508
"2","PC11",0.0112857626258755,20.113705684364,4.48483061936168,0.03846,0.65353
