"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"1","PC1",-0.0102598828741018,124.658051651532,11.1650370197117,0.12404,0.12404
"1","PC2",-0.00851584425817929,88.5851798083811,9.41197002802182,0.08814,0.21218
"1","PC3",-0.0679989965302388,76.1398862193126,8.72581722357927,0.07576,0.28794
"1","PC4",-0.0124843037600985,66.6072858299449,8.16132868042605,0.06628,0.35422
"1","PC5",0.0428374760152055,56.1591450981351,7.49394055875379,0.05588,0.4101
"1","PC6",0.0752703295938763,52.2819752861368,7.23062758591098,0.05202,0.46212
"1","PC7",0.0130057919192386,47.3935194963893,6.88429513431762,0.04716,0.50928
"1","PC8",-0.00180740875786511,44.8331237095219,6.69575415539743,0.04461,0.55389
"1","PC9",0.0119321361045766,40.9349103098612,6.3980395677005,0.04073,0.59462
"1","PC10",-0.0172363692329923,38.8674029929822,6.23437270244427,0.03867,0.63329
"1","PC11",-0.0418305394566104,36.0283630350147,6.00236312088953,0.03585,0.66914
"1","PC12",0.00914207005793343,34.6702575245895,5.88814550810266,0.0345,0.70364
"1","PC13",0.00674444591384648,33.9048239274084,5.82278489448205,0.03374,0.73738
"1","PC14",-0.00414887042401351,31.3525045688865,5.5993307250855,0.0312,0.76857
"1","PC15",0.00184203016155811,30.1160372570056,5.48780805577287,0.02997,0.79854
"1","PC16",0.0485087360303629,29.247708290704,5.40811504044654,0.0291,0.82764
"1","PC17",5.43462656404427e-05,27.701036713256,5.26317743509147,0.02756,0.85521
"1","PC18",0.0056681932930691,27.1363651046503,5.20925763469713,0.027,0.88221
"1","PC19",0.0121343442949626,26.3246766417839,5.13075790130307,0.02619,0.9084
"1","PC20",0.00133282821847297,24.7704293201799,4.9769899859433,0.02465,0.93305
"1","PC21",0.0385405955066319,23.6655866667112,4.86472883794269,0.02355,0.9566
"1","PC22",-0.0185884044307142,22.1527756466473,4.70667352241977,0.02204,0.97864
"1","PC23",0.0200879835041134,21.4689549009655,4.63346035927421,0.02136,1
"1","PC24",0.181215209174346,1.56749288417035e-28,1.25199556076304e-14,0,1
"2","PC1",0.0162186877168723,124.658051651532,11.1650370197117,0.12404,0.12404
"2","PC2",-0.0101190591357957,88.5851798083811,9.41197002802182,0.08814,0.21218
"2","PC3",0.031916197934606,76.1398862193126,8.72581722357927,0.07576,0.28794
"2","PC4",0.00946046669546943,66.6072858299449,8.16132868042605,0.06628,0.35422
"2","PC5",-0.0170498475196773,56.1591450981351,7.49394055875379,0.05588,0.4101
"2","PC6",-0.0414404939276926,52.2819752861368,7.23062758591098,0.05202,0.46212
"2","PC7",-0.0183424111225805,47.3935194963893,6.88429513431762,0.04716,0.50928
"2","PC8",-0.03905892409325,44.8331237095219,6.69575415539743,0.04461,0.55389
"2","PC9",-0.0384808396322367,40.9349103098612,6.3980395677005,0.04073,0.59462
"2","PC10",0.0455777622864649,38.8674029929822,6.23437270244427,0.03867,0.63329
"2","PC11",-0.0580691502197739,36.0283630350147,6.00236312088953,0.03585,0.66914
"2","PC12",0.00552981929339642,34.6702575245895,5.88814550810266,0.0345,0.70364
"2","PC13",0.00673913714145327,33.9048239274084,5.82278489448205,0.03374,0.73738
"2","PC14",0.048468674293288,31.3525045688865,5.5993307250855,0.0312,0.76857
"2","PC15",0.0731216128670668,30.1160372570056,5.48780805577287,0.02997,0.79854
"2","PC16",-0.00160368704343883,29.247708290704,5.40811504044654,0.0291,0.82764
"2","PC17",0.00219119760118107,27.701036713256,5.26317743509147,0.02756,0.85521
"2","PC18",0.0321579272540071,27.1363651046503,5.20925763469713,0.027,0.88221
"2","PC19",-0.0129545786999967,26.3246766417839,5.13075790130307,0.02619,0.9084
"2","PC20",-0.0757205013881405,24.7704293201799,4.9769899859433,0.02465,0.93305
"2","PC21",0.0190127261985332,23.6655866667112,4.86472883794269,0.02355,0.9566
"2","PC22",-0.0053201115536527,22.1527756466473,4.70667352241977,0.02204,0.97864
"2","PC23",0.00263846535772031,21.4689549009655,4.63346035927421,0.02136,1
"2","PC24",0.00902247943695433,1.56749288417035e-28,1.25199556076304e-14,0,1
"3","PC1",-0.0107897769392748,124.658051651532,11.1650370197117,0.12404,0.12404
"3","PC2",0.00373708755335915,88.5851798083811,9.41197002802182,0.08814,0.21218
"3","PC3",-0.0433078191390535,76.1398862193126,8.72581722357927,0.07576,0.28794
"3","PC4",-0.00925081372862765,66.6072858299449,8.16132868042605,0.06628,0.35422
"3","PC5",-0.000517091553206588,56.1591450981351,7.49394055875379,0.05588,0.4101
"3","PC6",-0.0228037656982201,52.2819752861368,7.23062758591098,0.05202,0.46212
"3","PC7",0.0170554007910508,47.3935194963893,6.88429513431762,0.04716,0.50928
"3","PC8",0.0212467184405314,44.8331237095219,6.69575415539743,0.04461,0.55389
"3","PC9",-0.0153008176977278,40.9349103098612,6.3980395677005,0.04073,0.59462
"3","PC10",0.00135649577488749,38.8674029929822,6.23437270244427,0.03867,0.63329
"3","PC11",-0.0342194884208548,36.0283630350147,6.00236312088953,0.03585,0.66914
"3","PC12",-0.0196987820346167,34.6702575245895,5.88814550810266,0.0345,0.70364
"3","PC13",0.0313442191396511,33.9048239274084,5.82278489448205,0.03374,0.73738
"3","PC14",0.0544901610681397,31.3525045688865,5.5993307250855,0.0312,0.76857
"3","PC15",0.0159508200170308,30.1160372570056,5.48780805577287,0.02997,0.79854
"3","PC16",0.034354047816541,29.247708290704,5.40811504044654,0.0291,0.82764
"3","PC17",-0.0439800776841653,27.701036713256,5.26317743509147,0.02756,0.85521
"3","PC18",0.0378013021552411,27.1363651046503,5.20925763469713,0.027,0.88221
"3","PC19",-0.0260145178826961,26.3246766417839,5.13075790130307,0.02619,0.9084
"3","PC20",0.0221198494215811,24.7704293201799,4.9769899859433,0.02465,0.93305
"3","PC21",-0.0970353685513952,23.6655866667112,4.86472883794269,0.02355,0.9566
"3","PC22",0.0624170068567091,22.1527756466473,4.70667352241977,0.02204,0.97864
"3","PC23",-0.0713224825511738,21.4689549009655,4.63346035927421,0.02136,1
"3","PC24",-0.0278119285913077,1.56749288417035e-28,1.25199556076304e-14,0,1
"4","PC1",0.0081332834036287,124.658051651532,11.1650370197117,0.12404,0.12404
"4","PC2",-0.039282543034548,88.5851798083811,9.41197002802182,0.08814,0.21218
"4","PC3",-0.000277221610167849,76.1398862193126,8.72581722357927,0.07576,0.28794
"4","PC4",0.0333401720682917,66.6072858299449,8.16132868042605,0.06628,0.35422
"4","PC5",0.0598711408520223,56.1591450981351,7.49394055875379,0.05588,0.4101
"4","PC6",0.0198034446675018,52.2819752861368,7.23062758591098,0.05202,0.46212
"4","PC7",0.00697493451957638,47.3935194963893,6.88429513431762,0.04716,0.50928
"4","PC8",0.0533086693294584,44.8331237095219,6.69575415539743,0.04461,0.55389
"4","PC9",0.00739292361567374,40.9349103098612,6.3980395677005,0.04073,0.59462
"4","PC10",0.0242015836101671,38.8674029929822,6.23437270244427,0.03867,0.63329
"4","PC11",0.0222525793968454,36.0283630350147,6.00236312088953,0.03585,0.66914
"4","PC12",-0.0138591415348588,34.6702575245895,5.88814550810266,0.0345,0.70364
"4","PC13",-0.0285158860767591,33.9048239274084,5.82278489448205,0.03374,0.73738
"4","PC14",-0.035602705685722,31.3525045688865,5.5993307250855,0.0312,0.76857
"4","PC15",-0.0703755107879564,30.1160372570056,5.48780805577287,0.02997,0.79854
"4","PC16",0.0186301855663802,29.247708290704,5.40811504044654,0.0291,0.82764
"4","PC17",-0.0135860809476716,27.701036713256,5.26317743509147,0.02756,0.85521
"4","PC18",-0.057361990350875,27.1363651046503,5.20925763469713,0.027,0.88221
"4","PC19",-0.00770503905460685,26.3246766417839,5.13075790130307,0.02619,0.9084
"4","PC20",-0.0376553348631968,24.7704293201799,4.9769899859433,0.02465,0.93305
"4","PC21",-0.0153489258595202,23.6655866667112,4.86472883794269,0.02355,0.9566
"4","PC22",-0.002994995090739,22.1527756466473,4.70667352241977,0.02204,0.97864
"4","PC23",0.0277287180724099,21.4689549009655,4.63346035927421,0.02136,1
"4","PC24",0.0944269025877791,1.56749288417035e-28,1.25199556076304e-14,0,1
"5","PC1",-0.0468318720030932,124.658051651532,11.1650370197117,0.12404,0.12404
"5","PC2",-0.0196941342633065,88.5851798083811,9.41197002802182,0.08814,0.21218
"5","PC3",0.0249255931030811,76.1398862193126,8.72581722357927,0.07576,0.28794
"5","PC4",0.0039312990979412,66.6072858299449,8.16132868042605,0.06628,0.35422
"5","PC5",-0.01696709598677,56.1591450981351,7.49394055875379,0.05588,0.4101
"5","PC6",-0.0708410295171059,52.2819752861368,7.23062758591098,0.05202,0.46212
"5","PC7",-0.00858883150436854,47.3935194963893,6.88429513431762,0.04716,0.50928
"5","PC8",0.0274752744603289,44.8331237095219,6.69575415539743,0.04461,0.55389
"5","PC9",-0.000230973809428082,40.9349103098612,6.3980395677005,0.04073,0.59462
"5","PC10",-0.00494237407773341,38.8674029929822,6.23437270244427,0.03867,0.63329
"5","PC11",-8.85690789806454e-05,36.0283630350147,6.00236312088953,0.03585,0.66914
"5","PC12",-0.0522700481613233,34.6702575245895,5.88814550810266,0.0345,0.70364
"5","PC13",0.0147416188351192,33.9048239274084,5.82278489448205,0.03374,0.73738
"5","PC14",-0.045818492532031,31.3525045688865,5.5993307250855,0.0312,0.76857
"5","PC15",-0.00499477181138481,30.1160372570056,5.48780805577287,0.02997,0.79854
"5","PC16",0.0297638451904519,29.247708290704,5.40811504044654,0.0291,0.82764
"5","PC17",0.0253201702343374,27.701036713256,5.26317743509147,0.02756,0.85521
"5","PC18",-0.0101676498377567,27.1363651046503,5.20925763469713,0.027,0.88221
"5","PC19",-0.0168983120197705,26.3246766417839,5.13075790130307,0.02619,0.9084
"5","PC20",-0.0252539984678718,24.7704293201799,4.9769899859433,0.02465,0.93305
"5","PC21",0.0399332768138078,23.6655866667112,4.86472883794269,0.02355,0.9566
"5","PC22",-0.0294544022638203,22.1527756466473,4.70667352241977,0.02204,0.97864
"5","PC23",-0.0384014920928092,21.4689549009655,4.63346035927421,0.02136,1
"5","PC24",0.079649063595764,1.56749288417035e-28,1.25199556076304e-14,0,1
"6","PC1",-0.037423690384932,124.658051651532,11.1650370197117,0.12404,0.12404
"6","PC2",-0.00943834472055267,88.5851798083811,9.41197002802182,0.08814,0.21218
"6","PC3",0.0163638171236681,76.1398862193126,8.72581722357927,0.07576,0.28794
"6","PC4",-0.00439130850931863,66.6072858299449,8.16132868042605,0.06628,0.35422
"6","PC5",0.0287856754922626,56.1591450981351,7.49394055875379,0.05588,0.4101
"6","PC6",-0.0297902702080377,52.2819752861368,7.23062758591098,0.05202,0.46212
"6","PC7",0.0124084403191998,47.3935194963893,6.88429513431762,0.04716,0.50928
"6","PC8",-8.55322302165989e-05,44.8331237095219,6.69575415539743,0.04461,0.55389
"6","PC9",-0.0424490763839473,40.9349103098612,6.3980395677005,0.04073,0.59462
"6","PC10",-0.0414180409757897,38.8674029929822,6.23437270244427,0.03867,0.63329
"6","PC11",0.0848172422713845,36.0283630350147,6.00236312088953,0.03585,0.66914
"6","PC12",0.0167002429489643,34.6702575245895,5.88814550810266,0.0345,0.70364
"6","PC13",-0.00317612581871311,33.9048239274084,5.82278489448205,0.03374,0.73738
"6","PC14",-0.0401392771827553,31.3525045688865,5.5993307250855,0.0312,0.76857
"6","PC15",-0.0367518905409647,30.1160372570056,5.48780805577287,0.02997,0.79854
"6","PC16",0.0562087449146117,29.247708290704,5.40811504044654,0.0291,0.82764
"6","PC17",-0.00227910910822455,27.701036713256,5.26317743509147,0.02756,0.85521
"6","PC18",-0.0236940063559748,27.1363651046503,5.20925763469713,0.027,0.88221
"6","PC19",-0.0246703665699921,26.3246766417839,5.13075790130307,0.02619,0.9084
"6","PC20",-0.0178407696661114,24.7704293201799,4.9769899859433,0.02465,0.93305
"6","PC21",0.0484096279462699,23.6655866667112,4.86472883794269,0.02355,0.9566
"6","PC22",0.00234437935567861,22.1527756466473,4.70667352241977,0.02204,0.97864
"6","PC23",-0.0187144506825048,21.4689549009655,4.63346035927421,0.02136,1
"6","PC24",0.0715091599225514,1.56749288417035e-28,1.25199556076304e-14,0,1
"7","PC1",0.0346016163757584,124.658051651532,11.1650370197117,0.12404,0.12404
"7","PC2",-0.00856175484105881,88.5851798083811,9.41197002802182,0.08814,0.21218
"7","PC3",-0.025847296013858,76.1398862193126,8.72581722357927,0.07576,0.28794
"7","PC4",-0.00558441795538818,66.6072858299449,8.16132868042605,0.06628,0.35422
"7","PC5",-0.0455529880879882,56.1591450981351,7.49394055875379,0.05588,0.4101
"7","PC6",-0.0181849159066833,52.2819752861368,7.23062758591098,0.05202,0.46212
"7","PC7",0.0589217938465893,47.3935194963893,6.88429513431762,0.04716,0.50928
"7","PC8",0.0294260279676251,44.8331237095219,6.69575415539743,0.04461,0.55389
"7","PC9",-0.019966488948798,40.9349103098612,6.3980395677005,0.04073,0.59462
"7","PC10",0.0228493443799989,38.8674029929822,6.23437270244427,0.03867,0.63329
"7","PC11",-0.0139593300005038,36.0283630350147,6.00236312088953,0.03585,0.66914
"7","PC12",-0.015604444651954,34.6702575245895,5.88814550810266,0.0345,0.70364
"7","PC13",-0.0498807911519041,33.9048239274084,5.82278489448205,0.03374,0.73738
"7","PC14",0.0304265483327274,31.3525045688865,5.5993307250855,0.0312,0.76857
"7","PC15",-0.0131753577920708,30.1160372570056,5.48780805577287,0.02997,0.79854
"7","PC16",0.0397299311690484,29.247708290704,5.40811504044654,0.0291,0.82764
"7","PC17",-0.0246967100198744,27.701036713256,5.26317743509147,0.02756,0.85521
"7","PC18",0.0360138068583373,27.1363651046503,5.20925763469713,0.027,0.88221
"7","PC19",-0.0581225264671308,26.3246766417839,5.13075790130307,0.02619,0.9084
"7","PC20",-0.00708116254048089,24.7704293201799,4.9769899859433,0.02465,0.93305
"7","PC21",0.0305647498075597,23.6655866667112,4.86472883794269,0.02355,0.9566
"7","PC22",0.0158927552349088,22.1527756466473,4.70667352241977,0.02204,0.97864
