"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"1","PC1",0.0519347974463441,163.448362306626,12.7846924994943,0.16264,0.16264
"1","PC2",0.0108554960210487,109.881291313256,10.4824277394722,0.10933,0.27197
"1","PC3",-0.000762592165770122,89.8762160699212,9.48030674977984,0.08943,0.3614
"1","PC4",0.0484747469599687,76.1274801508328,8.72510631172095,0.07575,0.43715
"1","PC5",0.0397921518429356,72.8487894850915,8.53515023213367,0.07249,0.50963
"1","PC6",-0.0447761613825575,60.3207997580715,7.7666466224537,0.06002,0.56965
"1","PC7",0.000400705848078081,51.6703799802739,7.18821118083449,0.05141,0.62107
"1","PC8",-0.0164402726205303,49.9991892807203,7.07101048512306,0.04975,0.67082
"1","PC9",0.031046787992305,47.5345616162026,6.89453128328551,0.0473,0.71812
"1","PC10",-0.00621713457466334,44.4996780233561,6.67080789884974,0.04428,0.76239
"1","PC11",-0.00686173838216264,40.6803481396159,6.37811477943255,0.04048,0.80287
"1","PC12",-0.0231566722679571,38.3330721480503,6.19137078101855,0.03814,0.84102
"1","PC13",-0.0156707066237987,35.7243572408674,5.97698563164305,0.03555,0.87656
"1","PC14",0.019068061656585,33.4846063375411,5.78658848869877,0.03332,0.90988
"1","PC15",0.0154481552742865,32.0878626508659,5.66461496051284,0.03193,0.94181
"1","PC16",0.0233231668675053,29.7322391100079,5.4527276761276,0.02958,0.97139
"1","PC17",0.00961918418735301,28.7507663887002,5.36197411302034,0.02861,1
"1","PC18",-0.0800363864567374,1.84739737978967e-28,1.35918997192801e-14,0,1
"2","PC1",0.00361749014511113,163.448362306626,12.7846924994943,0.16264,0.16264
"2","PC2",0.0101067881414023,109.881291313256,10.4824277394722,0.10933,0.27197
"2","PC3",0.0197249384589071,89.8762160699212,9.48030674977984,0.08943,0.3614
"2","PC4",-0.0484272160768503,76.1274801508328,8.72510631172095,0.07575,0.43715
"2","PC5",-0.0578771931608189,72.8487894850915,8.53515023213367,0.07249,0.50963
"2","PC6",-0.0218315005400823,60.3207997580715,7.7666466224537,0.06002,0.56965
"2","PC7",-0.0393021327765514,51.6703799802739,7.18821118083449,0.05141,0.62107
"2","PC8",0.0153636285097424,49.9991892807203,7.07101048512306,0.04975,0.67082
"2","PC9",0.0302562519605887,47.5345616162026,6.89453128328551,0.0473,0.71812
"2","PC10",0.0124183115060635,44.4996780233561,6.67080789884974,0.04428,0.76239
"2","PC11",-0.0226135622778156,40.6803481396159,6.37811477943255,0.04048,0.80287
"2","PC12",0.00165539914386705,38.3330721480503,6.19137078101855,0.03814,0.84102
"2","PC13",0.0330754020925501,35.7243572408674,5.97698563164305,0.03555,0.87656
"2","PC14",-0.0272562048250602,33.4846063375411,5.78658848869877,0.03332,0.90988
"2","PC15",-0.0837487777557188,32.0878626508659,5.66461496051284,0.03193,0.94181
"2","PC16",-0.0371792869502362,29.7322391100079,5.4527276761276,0.02958,0.97139
"2","PC17",0.0159800912312706,28.7507663887002,5.36197411302034,0.02861,1
"2","PC18",-0.0116237529734608,1.84739737978967e-28,1.35918997192801e-14,0,1
"3","PC1",-0.0390095756576907,163.448362306626,12.7846924994943,0.16264,0.16264
"3","PC2",0.0338295318742933,109.881291313256,10.4824277394722,0.10933,0.27197
"3","PC3",-0.0245751758636654,89.8762160699212,9.48030674977984,0.08943,0.3614
"3","PC4",-0.00224392240737387,76.1274801508328,8.72510631172095,0.07575,0.43715
"3","PC5",0.0342578547745389,72.8487894850915,8.53515023213367,0.07249,0.50963
"3","PC6",0.0264721634244698,60.3207997580715,7.7666466224537,0.06002,0.56965
"3","PC7",0.0354656490593001,51.6703799802739,7.18821118083449,0.05141,0.62107
"3","PC8",-0.0269847338684118,49.9991892807203,7.07101048512306,0.04975,0.67082
"3","PC9",-0.0236573235264014,47.5345616162026,6.89453128328551,0.0473,0.71812
"3","PC10",-0.00399359169070994,44.4996780233561,6.67080789884974,0.04428,0.76239
"3","PC11",-0.0590055090277114,40.6803481396159,6.37811477943255,0.04048,0.80287
"3","PC12",0.0336223643508284,38.3330721480503,6.19137078101855,0.03814,0.84102
"3","PC13",-0.0100050672768002,35.7243572408674,5.97698563164305,0.03555,0.87656
"3","PC14",0.0195440180653628,33.4846063375411,5.78658848869877,0.03332,0.90988
"3","PC15",0.037072587844898,32.0878626508659,5.66461496051284,0.03193,0.94181
"3","PC16",0.0333954841192415,29.7322391100079,5.4527276761276,0.02958,0.97139
"3","PC17",-0.0352786799475259,28.7507663887002,5.36197411302034,0.02861,1
"3","PC18",-0.0523019950873585,1.84739737978967e-28,1.35918997192801e-14,0,1
"4","PC1",0.0054619194356307,163.448362306626,12.7846924994943,0.16264,0.16264
"4","PC2",-0.0227619111994269,109.881291313256,10.4824277394722,0.10933,0.27197
"4","PC3",-0.0182039824788415,89.8762160699212,9.48030674977984,0.08943,0.3614
"4","PC4",0.0189297727927511,76.1274801508328,8.72510631172095,0.07575,0.43715
"4","PC5",-0.0272912453597318,72.8487894850915,8.53515023213367,0.07249,0.50963
"4","PC6",0.048124741501948,60.3207997580715,7.7666466224537,0.06002,0.56965
"4","PC7",0.033367609826377,51.6703799802739,7.18821118083449,0.05141,0.62107
"4","PC8",-0.0262607082314923,49.9991892807203,7.07101048512306,0.04975,0.67082
"4","PC9",0.0237917442875632,47.5345616162026,6.89453128328551,0.0473,0.71812
"4","PC10",0.0274890293615317,44.4996780233561,6.67080789884974,0.04428,0.76239
"4","PC11",-0.0102641841916679,40.6803481396159,6.37811477943255,0.04048,0.80287
"4","PC12",-0.0230251136240096,38.3330721480503,6.19137078101855,0.03814,0.84102
"4","PC13",-0.104650274910968,35.7243572408674,5.97698563164305,0.03555,0.87656
"4","PC14",0.0243279042391081,33.4846063375411,5.78658848869877,0.03332,0.90988
"4","PC15",-0.0155561869252677,32.0878626508659,5.66461496051284,0.03193,0.94181
"4","PC16",-0.0379945634859313,29.7322391100079,5.4527276761276,0.02958,0.97139
"4","PC17",-0.0409757185425402,28.7507663887002,5.36197411302034,0.02861,1
"4","PC18",-0.103655683779318,1.84739737978967e-28,1.35918997192801e-14,0,1
"5","PC1",-0.041003513046205,163.448362306626,12.7846924994943,0.16264,0.16264
"5","PC2",0.00906556393481578,109.881291313256,10.4824277394722,0.10933,0.27197
"5","PC3",0.00243126957692078,89.8762160699212,9.48030674977984,0.08943,0.3614
"5","PC4",0.00903499213740474,76.1274801508328,8.72510631172095,0.07575,0.43715
"5","PC5",-0.00590734715108031,72.8487894850915,8.53515023213367,0.07249,0.50963
"5","PC6",0.0142113270524775,60.3207997580715,7.7666466224537,0.06002,0.56965
"5","PC7",0.0105517063137249,51.6703799802739,7.18821118083449,0.05141,0.62107
"5","PC8",0.0487285316542739,49.9991892807203,7.07101048512306,0.04975,0.67082
"5","PC9",-0.043733180923367,47.5345616162026,6.89453128328551,0.0473,0.71812
"5","PC10",0.0711716488234793,44.4996780233561,6.67080789884974,0.04428,0.76239
"5","PC11",-0.0210299230818279,40.6803481396159,6.37811477943255,0.04048,0.80287
"5","PC12",0.0672850858504637,38.3330721480503,6.19137078101855,0.03814,0.84102
