"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"1","PC1",0.00420442505640849,95.5383667606171,9.77437295997125,0.18267,0.18267
"1","PC2",0.0543979336760017,38.3493089785792,6.19268188901862,0.07333,0.256
"1","PC3",0.0336076325732902,34.1385848829734,5.84282336571742,0.06527,0.32127
"1","PC4",-0.0526775641792417,31.9614757517094,5.65344812939054,0.06111,0.38239
"1","PC5",0.0149904432378345,28.9706172522126,5.38243599610925,0.05539,0.43778
"1","PC6",0.0200017019863283,28.342848315464,5.3238001761396,0.05419,0.49197
"1","PC7",0.0589532673736601,26.4062962540788,5.13870569833288,0.05049,0.54246
"1","PC8",-0.0180671140389197,25.6840943702644,5.06794774738892,0.04911,0.59157
"1","PC9",0.0716591286168456,24.9294184697593,4.99293685817869,0.04767,0.63924
"1","PC10",-0.0275657994640715,23.4072701977193,4.83810605482345,0.04476,0.68399
"1","PC11",0.0193757656590086,22.8613873116463,4.78135831240938,0.04371,0.7277
"1","PC12",-0.0481538979386928,21.8019312692279,4.66925382360264,0.04169,0.76939
"1","PC13",0.100297387478879,20.532061838566,4.53123182352944,0.03926,0.80865
"1","PC14",-0.0111082730287639,19.0807078113398,4.36814695395425,0.03648,0.84513
"1","PC15",-0.04806116947722,18.7155790831227,4.32615060800277,0.03579,0.88092
"1","PC16",-0.00416443600286823,17.5917532218311,4.19425240320979,0.03364,0.91455
"1","PC17",0.0902207252705049,16.7584862879768,4.09371301973854,0.03204,0.9466
"1","PC18",0.0351267213891116,14.8978488936707,3.85977316609029,0.02849,0.97508
"1","PC19",-0.0458616845183724,13.0319630492409,3.60998103170099,0.02492,1
"1","PC20",0.269741170373619,1.94705524554755e-29,4.41254489557619e-15,0,1
"2","PC1",-0.0144011760960167,95.5383667606171,9.77437295997125,0.18267,0.18267
"2","PC2",0.0431321297371565,38.3493089785792,6.19268188901862,0.07333,0.256
"2","PC3",0.039718754425318,34.1385848829734,5.84282336571742,0.06527,0.32127
"2","PC4",-0.00795790322014978,31.9614757517094,5.65344812939054,0.06111,0.38239
"2","PC5",0.0803776791863906,28.9706172522126,5.38243599610925,0.05539,0.43778
"2","PC6",-0.0389886013551212,28.342848315464,5.3238001761396,0.05419,0.49197
"2","PC7",0.0624298845979088,26.4062962540788,5.13870569833288,0.05049,0.54246
"2","PC8",0.0225943108050756,25.6840943702644,5.06794774738892,0.04911,0.59157
"2","PC9",-0.00810446086076018,24.9294184697593,4.99293685817869,0.04767,0.63924
"2","PC10",0.0574266364804712,23.4072701977193,4.83810605482345,0.04476,0.68399
"2","PC11",0.0173899012447391,22.8613873116463,4.78135831240938,0.04371,0.7277
"2","PC12",0.0340304454934683,21.8019312692279,4.66925382360264,0.04169,0.76939
"2","PC13",-0.023765657486294,20.532061838566,4.53123182352944,0.03926,0.80865
"2","PC14",-0.022069292040464,19.0807078113398,4.36814695395425,0.03648,0.84513
"2","PC15",-0.0745006320911085,18.7155790831227,4.32615060800277,0.03579,0.88092
"2","PC16",-0.116825845498275,17.5917532218311,4.19425240320979,0.03364,0.91455
