"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"1","PC1",0.038485040987444,109.952640343078,10.4858304555757,0.21023,0.21023
"1","PC2",0.0141910371248048,42.5517767152431,6.52317228925031,0.08136,0.2916
"1","PC3",0.00791227815432104,36.2399924762237,6.01996615241512,0.06929,0.36089
"1","PC4",-0.0313285916529593,33.0191159816206,5.74622623829071,0.06313,0.42402
"1","PC5",-0.0292781039913438,30.0189051403196,5.47895109855158,0.0574,0.48142
"1","PC6",-0.0447536029579654,28.2791235907024,5.31781191757497,0.05407,0.53549
"1","PC7",-0.066222899387526,26.8975370331901,5.18628354731884,0.05143,0.58692
"1","PC8",-0.0142450426134305,25.6905308166317,5.06858272267818,0.04912,0.63604
"1","PC9",-0.0608105949583183,24.7162272939866,4.9715417421547,0.04726,0.6833
"1","PC10",0.0814774467454905,22.828280383497,4.77789497409654,0.04365,0.72695
"1","PC11",-0.0772034078488747,21.5870195436434,4.64618333082579,0.04128,0.76822
"1","PC12",-0.0233147787245771,21.3326052666904,4.61872333731848,0.04079,0.80901
"1","PC13",-0.0279409879683807,19.692276720204,4.43759808006583,0.03765,0.84667
"1","PC14",0.0337569629009389,19.148666095601,4.37591888585712,0.03661,0.88328
"1","PC15",0.0532233281005844,17.2174235864791,4.14938833883732,0.03292,0.9162
"1","PC16",0.0166931168862456,15.7859813144962,3.97315760000735,0.03018,0.94638
"1","PC17",-0.0850313213756999,14.1308412961744,3.75910112875065,0.02702,0.9734
"1","PC18",-0.0301139756909721,13.9110564022187,3.72975286074274,0.0266,1
"1","PC19",-0.108464365938029,2.77509935624818e-29,5.26792118035965e-15,0,1
"2","PC1",0.0135028532620645,109.952640343078,10.4858304555757,0.21023,0.21023
"2","PC2",0.0778245026736187,42.5517767152431,6.52317228925031,0.08136,0.2916
"2","PC3",-0.0336663592455063,36.2399924762237,6.01996615241512,0.06929,0.36089
"2","PC4",-0.0923075591830771,33.0191159816206,5.74622623829071,0.06313,0.42402
"2","PC5",-0.0333999005203825,30.0189051403196,5.47895109855158,0.0574,0.48142
"2","PC6",-0.0222378594040637,28.2791235907024,5.31781191757497,0.05407,0.53549
"2","PC7",-0.0356117729365633,26.8975370331901,5.18628354731884,0.05143,0.58692
"2","PC8",0.00198263849061999,25.6905308166317,5.06858272267818,0.04912,0.63604
"2","PC9",0.0487220644607136,24.7162272939866,4.9715417421547,0.04726,0.6833
"2","PC10",0.0418171120012377,22.828280383497,4.77789497409654,0.04365,0.72695
"2","PC11",0.0410974993799383,21.5870195436434,4.64618333082579,0.04128,0.76822
"2","PC12",0.04006348059317,21.3326052666904,4.61872333731848,0.04079,0.80901
"2","PC13",0.0552481458976496,19.692276720204,4.43759808006583,0.03765,0.84667
"2","PC14",-0.00907712168806694,19.148666095601,4.37591888585712,0.03661,0.88328
"2","PC15",0.0392649510857745,17.2174235864791,4.14938833883732,0.03292,0.9162
"2","PC16",-0.0225509381088496,15.7859813144962,3.97315760000735,0.03018,0.94638
"2","PC17",0.035829700564834,14.1308412961744,3.75910112875065,0.02702,0.9734
"2","PC18",0.0497524937062133,13.9110564022187,3.72975286074274,0.0266,1
"2","PC19",0.257617818222122,2.77509935624818e-29,5.26792118035965e-15,0,1
"3","PC1",-0.0292619345165275,109.952640343078,10.4858304555757,0.21023,0.21023
"3","PC2",-0.0364319978830703,42.5517767152431,6.52317228925031,0.08136,0.2916
"3","PC3",0.0594747061232813,36.2399924762237,6.01996615241512,0.06929,0.36089
"3","PC4",0.0721482227916301,33.0191159816206,5.74622623829071,0.06313,0.42402
"3","PC5",-0.0199802502283129,30.0189051403196,5.47895109855158,0.0574,0.48142
"3","PC6",-0.0171645804579751,28.2791235907024,5.31781191757497,0.05407,0.53549
"3","PC7",0.024501560216381,26.8975370331901,5.18628354731884,0.05143,0.58692
"3","PC8",-0.0294269838084879,25.6905308166317,5.06858272267818,0.04912,0.63604
"3","PC9",-0.0785289123484192,24.7162272939866,4.9715417421547,0.04726,0.6833
"3","PC10",-0.0411315044517513,22.828280383497,4.77789497409654,0.04365,0.72695
"3","PC11",0.00773275125568079,21.5870195436434,4.64618333082579,0.04128,0.76822
"3","PC12",-0.0115528445155733,21.3326052666904,4.61872333731848,0.04079,0.80901
"3","PC13",0.0441762377680327,19.692276720204,4.43759808006583,0.03765,0.84667
"3","PC14",-0.0755995583888108,19.148666095601,4.37591888585712,0.03661,0.88328
"3","PC15",-0.0167001061211405,17.2174235864791,4.14938833883732,0.03292,0.9162
"3","PC16",0.0298140539619547,15.7859813144962,3.97315760000735,0.03018,0.94638
"3","PC17",-0.0719083013941077,14.1308412961744,3.75910112875065,0.02702,0.9734
